episodes,mean-path-return_agent_1,max-path-return_agent_0,last-path-return_agent_0,last-path-return_agent_1,total-samples,max-path-return_agent_1,episode_reward,mean-path-return_agent_0
1,3.3333333333333335,50.0,50.0,10.0,3,10.0,1,16.666666666666668
2,3.3333333333333335,50.0,50.0,10.0,6,10.0,2,16.666666666666668
3,-1.6666666666666667,50.0,-5.0,-5.0,9,10.0,3,-1.6666666666666667
4,3.3333333333333335,50.0,50.0,10.0,12,10.0,4,16.666666666666668
5,3.3333333333333335,50.0,50.0,10.0,15,10.0,5,16.666666666666668
6,-1.6666666666666667,50.0,-5.0,-5.0,18,10.0,6,-1.6666666666666667
7,3.3333333333333335,50.0,50.0,10.0,21,10.0,7,16.666666666666668
8,25.0,50.0,10.0,50.0,23,50.0,8,5.0
9,-1.6666666666666667,50.0,-5.0,-5.0,26,50.0,9,-1.6666666666666667
10,16.666666666666668,50.0,10.0,50.0,29,50.0,10,3.3333333333333335
11,-2.5,50.0,-5.0,-5.0,31,50.0,11,-2.5
12,16.666666666666668,50.0,10.0,50.0,34,50.0,12,3.3333333333333335
13,3.3333333333333335,50.0,50.0,10.0,37,50.0,13,16.666666666666668
14,3.3333333333333335,50.0,50.0,10.0,40,50.0,14,16.666666666666668
15,-1.6666666666666667,50.0,-5.0,-5.0,43,50.0,15,-1.6666666666666667
16,16.666666666666668,50.0,10.0,50.0,46,50.0,16,3.3333333333333335
17,3.3333333333333335,50.0,50.0,10.0,49,50.0,17,16.666666666666668
18,-1.6666666666666667,50.0,-5.0,-5.0,52,50.0,18,-1.6666666666666667
19,3.3333333333333335,50.0,50.0,10.0,55,50.0,19,16.666666666666668
20,-2.5,50.0,-5.0,-5.0,57,50.0,20,-2.5
21,-1.6666666666666667,50.0,-5.0,-5.0,60,50.0,21,-1.6666666666666667
22,3.3333333333333335,50.0,50.0,10.0,63,50.0,22,16.666666666666668
23,16.666666666666668,50.0,10.0,50.0,66,50.0,23,3.3333333333333335
24,-1.6666666666666667,50.0,-5.0,-5.0,69,50.0,24,-1.6666666666666667
25,3.3333333333333335,50.0,50.0,10.0,72,50.0,25,16.666666666666668
26,3.3333333333333335,50.0,50.0,10.0,75,50.0,26,16.666666666666668
27,-1.6666666666666667,50.0,-5.0,-5.0,78,50.0,27,-1.6666666666666667
28,16.666666666666668,50.0,10.0,50.0,81,50.0,28,3.3333333333333335
29,-1.6666666666666667,50.0,-5.0,-5.0,84,50.0,29,-1.6666666666666667
30,-1.6666666666666667,50.0,-5.0,-5.0,87,50.0,30,-1.6666666666666667
31,-1.6666666666666667,50.0,-5.0,-5.0,90,50.0,31,-1.6666666666666667
32,-1.6666666666666667,50.0,-5.0,-5.0,93,50.0,32,-1.6666666666666667
33,-1.6666666666666667,50.0,-5.0,-5.0,96,50.0,33,-1.6666666666666667
34,16.666666666666668,50.0,10.0,50.0,99,50.0,34,3.3333333333333335
35,-1.6666666666666667,50.0,-5.0,-5.0,102,50.0,35,-1.6666666666666667
36,16.666666666666668,50.0,10.0,50.0,105,50.0,36,3.3333333333333335
37,-5.0,50.0,-10.0,-10.0,107,50.0,37,-5.0
38,3.3333333333333335,50.0,50.0,10.0,110,50.0,38,16.666666666666668
39,-2.5,50.0,-5.0,-5.0,112,50.0,39,-2.5
40,-5.0,50.0,-10.0,-10.0,114,50.0,40,-5.0
41,3.3333333333333335,50.0,50.0,10.0,117,50.0,41,16.666666666666668
42,-2.5,50.0,-5.0,-5.0,119,50.0,42,-2.5
43,16.666666666666668,50.0,10.0,50.0,122,50.0,43,3.3333333333333335
44,25.0,50.0,10.0,50.0,124,50.0,44,5.0
45,16.666666666666668,50.0,10.0,50.0,127,50.0,45,3.3333333333333335
46,3.3333333333333335,50.0,50.0,10.0,130,50.0,46,16.666666666666668
47,16.666666666666668,50.0,10.0,50.0,133,50.0,47,3.3333333333333335
48,-1.6666666666666667,50.0,-5.0,-5.0,136,50.0,48,-1.6666666666666667
49,16.666666666666668,50.0,10.0,50.0,139,50.0,49,3.3333333333333335
50,-1.6666666666666667,50.0,-5.0,-5.0,142,50.0,50,-1.6666666666666667
51,3.3333333333333335,50.0,50.0,10.0,145,50.0,51,16.666666666666668
52,16.666666666666668,50.0,10.0,50.0,148,50.0,52,3.3333333333333335
53,16.666666666666668,50.0,10.0,50.0,151,50.0,53,3.3333333333333335
54,3.3333333333333335,50.0,50.0,10.0,154,50.0,54,16.666666666666668
55,3.3333333333333335,50.0,50.0,10.0,157,50.0,55,16.666666666666668
56,-5.0,50.0,-10.0,-10.0,159,50.0,56,-5.0
57,-1.6666666666666667,50.0,-5.0,-5.0,162,50.0,57,-1.6666666666666667
58,-1.6666666666666667,50.0,-5.0,-5.0,165,50.0,58,-1.6666666666666667
59,3.3333333333333335,50.0,50.0,10.0,168,50.0,59,16.666666666666668
60,3.3333333333333335,50.0,50.0,10.0,171,50.0,60,16.666666666666668
61,3.3333333333333335,50.0,50.0,10.0,174,50.0,61,16.666666666666668
62,25.0,50.0,10.0,50.0,176,50.0,62,5.0
63,16.666666666666668,50.0,10.0,50.0,179,50.0,63,3.3333333333333335
64,16.666666666666668,50.0,10.0,50.0,182,50.0,64,3.3333333333333335
65,5.0,50.0,50.0,10.0,184,50.0,65,25.0
66,3.3333333333333335,50.0,50.0,10.0,187,50.0,66,16.666666666666668
67,3.3333333333333335,50.0,50.0,10.0,190,50.0,67,16.666666666666668
68,3.3333333333333335,50.0,50.0,10.0,193,50.0,68,16.666666666666668
69,3.3333333333333335,50.0,50.0,10.0,196,50.0,69,16.666666666666668
70,-1.6666666666666667,50.0,-5.0,-5.0,199,50.0,70,-1.6666666666666667
71,16.666666666666668,50.0,10.0,50.0,202,50.0,71,3.3333333333333335
72,3.3333333333333335,50.0,50.0,10.0,205,50.0,72,16.666666666666668
73,-2.5,50.0,-5.0,-5.0,207,50.0,73,-2.5
74,16.666666666666668,50.0,10.0,50.0,210,50.0,74,3.3333333333333335
75,3.3333333333333335,50.0,50.0,10.0,213,50.0,75,16.666666666666668
76,3.3333333333333335,50.0,50.0,10.0,216,50.0,76,16.666666666666668
77,25.0,50.0,10.0,50.0,218,50.0,77,5.0
78,16.666666666666668,50.0,10.0,50.0,221,50.0,78,3.3333333333333335
79,3.3333333333333335,50.0,50.0,10.0,224,50.0,79,16.666666666666668
80,16.666666666666668,50.0,10.0,50.0,227,50.0,80,3.3333333333333335
