episodes,max-path-return_agent_1,mean-path-return_agent_0,mean-path-return_agent_1,last-path-return_agent_0,last-path-return_agent_1,episode_reward,max-path-return_agent_0,total-samples
1,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,1,10.0,3
2,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,2,10.0,6
3,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,3,50.0,9
4,50.0,25.0,5.0,50.0,10.0,4,50.0,11
5,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,5,50.0,14
6,50.0,5.0,25.0,10.0,50.0,6,50.0,16
7,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,7,50.0,19
8,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,8,50.0,22
9,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,9,50.0,25
10,50.0,5.0,25.0,10.0,50.0,10,50.0,27
11,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,11,50.0,30
12,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,12,50.0,33
13,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,13,50.0,36
14,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,14,50.0,39
15,50.0,5.0,25.0,10.0,50.0,15,50.0,41
16,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,16,50.0,44
17,50.0,25.0,5.0,50.0,10.0,17,50.0,46
18,50.0,5.0,25.0,10.0,50.0,18,50.0,48
19,50.0,-5.0,-5.0,-10.0,-10.0,19,50.0,50
20,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,20,50.0,53
21,50.0,-5.0,-5.0,-10.0,-10.0,21,50.0,55
22,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,22,50.0,58
23,50.0,-2.5,-2.5,-5.0,-5.0,23,50.0,60
24,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,24,50.0,63
25,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,25,50.0,66
26,50.0,5.0,25.0,10.0,50.0,26,50.0,68
27,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,27,50.0,71
28,50.0,-2.5,-2.5,-5.0,-5.0,28,50.0,73
29,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,29,50.0,76
30,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,30,50.0,79
31,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,31,50.0,82
32,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,32,50.0,85
33,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,33,50.0,88
34,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,34,50.0,91
35,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,35,50.0,94
36,50.0,25.0,5.0,50.0,10.0,36,50.0,96
37,50.0,25.0,5.0,50.0,10.0,37,50.0,98
38,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,38,50.0,101
39,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,39,50.0,104
