total-samples,last-path-return_agent_0,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,episode_reward,episodes,mean-path-return_agent_1,max-path-return_agent_1
3,50.0,50.0,16.666666666666668,10.0,1,1,3.3333333333333335,10.0
6,10.0,50.0,3.3333333333333335,50.0,2,2,16.666666666666668,50.0
9,10.0,50.0,3.3333333333333335,50.0,3,3,16.666666666666668,50.0
12,-5.0,50.0,-1.6666666666666667,-5.0,4,4,-1.6666666666666667,50.0
15,50.0,50.0,16.666666666666668,10.0,5,5,3.3333333333333335,50.0
18,50.0,50.0,16.666666666666668,10.0,6,6,3.3333333333333335,50.0
21,10.0,50.0,3.3333333333333335,50.0,7,7,16.666666666666668,50.0
25,-5.0,50.0,-1.25,-5.0,8,8,-1.25,50.0
27,-10.0,50.0,-5.0,-10.0,9,9,-5.0,50.0
30,10.0,50.0,3.3333333333333335,50.0,10,10,16.666666666666668,50.0
33,-5.0,50.0,-1.6666666666666667,-5.0,11,11,-1.6666666666666667,50.0
36,10.0,50.0,3.3333333333333335,50.0,12,12,16.666666666666668,50.0
39,50.0,50.0,16.666666666666668,10.0,13,13,3.3333333333333335,50.0
42,10.0,50.0,3.3333333333333335,50.0,14,14,16.666666666666668,50.0
44,50.0,50.0,25.0,10.0,15,15,5.0,50.0
47,50.0,50.0,16.666666666666668,10.0,16,16,3.3333333333333335,50.0
49,10.0,50.0,5.0,50.0,17,17,25.0,50.0
51,-5.0,50.0,-2.5,-5.0,18,18,-2.5,50.0
54,-5.0,50.0,-1.6666666666666667,-5.0,19,19,-1.6666666666666667,50.0
57,10.0,50.0,3.3333333333333335,50.0,20,20,16.666666666666668,50.0
60,10.0,50.0,3.3333333333333335,50.0,21,21,16.666666666666668,50.0
62,10.0,50.0,5.0,50.0,22,22,25.0,50.0
65,10.0,50.0,3.3333333333333335,50.0,23,23,16.666666666666668,50.0
68,50.0,50.0,16.666666666666668,10.0,24,24,3.3333333333333335,50.0
70,-10.0,50.0,-5.0,-10.0,25,25,-5.0,50.0
72,50.0,50.0,25.0,10.0,26,26,5.0,50.0
74,-5.0,50.0,-2.5,-5.0,27,27,-2.5,50.0
77,-5.0,50.0,-1.6666666666666667,-5.0,28,28,-1.6666666666666667,50.0
79,-5.0,50.0,-2.5,-5.0,29,29,-2.5,50.0
82,10.0,50.0,3.3333333333333335,50.0,30,30,16.666666666666668,50.0
85,-5.0,50.0,-1.6666666666666667,-5.0,31,31,-1.6666666666666667,50.0
88,10.0,50.0,3.3333333333333335,50.0,32,32,16.666666666666668,50.0
90,-5.0,50.0,-2.5,-5.0,33,33,-2.5,50.0
93,-5.0,50.0,-1.6666666666666667,-5.0,34,34,-1.6666666666666667,50.0
96,50.0,50.0,16.666666666666668,10.0,35,35,3.3333333333333335,50.0
99,50.0,50.0,16.666666666666668,10.0,36,36,3.3333333333333335,50.0
102,-5.0,50.0,-1.6666666666666667,-5.0,37,37,-1.6666666666666667,50.0
105,-5.0,50.0,-1.6666666666666667,-5.0,38,38,-1.6666666666666667,50.0
108,-5.0,50.0,-1.6666666666666667,-5.0,39,39,-1.6666666666666667,50.0
111,10.0,50.0,3.3333333333333335,50.0,40,40,16.666666666666668,50.0
114,10.0,50.0,3.3333333333333335,50.0,41,41,16.666666666666668,50.0
117,50.0,50.0,16.666666666666668,10.0,42,42,3.3333333333333335,50.0
120,-5.0,50.0,-1.6666666666666667,-5.0,43,43,-1.6666666666666667,50.0
123,-5.0,50.0,-1.6666666666666667,-5.0,44,44,-1.6666666666666667,50.0
126,10.0,50.0,3.3333333333333335,50.0,45,45,16.666666666666668,50.0
129,-5.0,50.0,-1.6666666666666667,-5.0,46,46,-1.6666666666666667,50.0
132,10.0,50.0,3.3333333333333335,50.0,47,47,16.666666666666668,50.0
134,10.0,50.0,5.0,50.0,48,48,25.0,50.0
137,50.0,50.0,16.666666666666668,10.0,49,49,3.3333333333333335,50.0
140,-5.0,50.0,-1.6666666666666667,-5.0,50,50,-1.6666666666666667,50.0
143,50.0,50.0,16.666666666666668,10.0,51,51,3.3333333333333335,50.0
146,50.0,50.0,16.666666666666668,10.0,52,52,3.3333333333333335,50.0
149,50.0,50.0,16.666666666666668,10.0,53,53,3.3333333333333335,50.0
152,50.0,50.0,16.666666666666668,10.0,54,54,3.3333333333333335,50.0
155,50.0,50.0,16.666666666666668,10.0,55,55,3.3333333333333335,50.0
158,-5.0,50.0,-1.6666666666666667,-5.0,56,56,-1.6666666666666667,50.0
161,50.0,50.0,16.666666666666668,10.0,57,57,3.3333333333333335,50.0
164,10.0,50.0,3.3333333333333335,50.0,58,58,16.666666666666668,50.0
167,50.0,50.0,16.666666666666668,10.0,59,59,3.3333333333333335,50.0
170,10.0,50.0,3.3333333333333335,50.0,60,60,16.666666666666668,50.0
173,10.0,50.0,3.3333333333333335,50.0,61,61,16.666666666666668,50.0
176,50.0,50.0,16.666666666666668,10.0,62,62,3.3333333333333335,50.0
178,50.0,50.0,25.0,10.0,63,63,5.0,50.0
181,-5.0,50.0,-1.6666666666666667,-5.0,64,64,-1.6666666666666667,50.0
184,-5.0,50.0,-1.6666666666666667,-5.0,65,65,-1.6666666666666667,50.0
187,50.0,50.0,16.666666666666668,10.0,66,66,3.3333333333333335,50.0
190,10.0,50.0,3.3333333333333335,50.0,67,67,16.666666666666668,50.0
193,10.0,50.0,3.3333333333333335,50.0,68,68,16.666666666666668,50.0
195,-5.0,50.0,-2.5,-5.0,69,69,-2.5,50.0
198,50.0,50.0,16.666666666666668,10.0,70,70,3.3333333333333335,50.0
201,-5.0,50.0,-1.6666666666666667,-5.0,71,71,-1.6666666666666667,50.0
204,-5.0,50.0,-1.6666666666666667,-5.0,72,72,-1.6666666666666667,50.0
207,-5.0,50.0,-1.6666666666666667,-5.0,73,73,-1.6666666666666667,50.0
210,10.0,50.0,3.3333333333333335,50.0,74,74,16.666666666666668,50.0
213,-5.0,50.0,-1.6666666666666667,-5.0,75,75,-1.6666666666666667,50.0
216,10.0,50.0,3.3333333333333335,50.0,76,76,16.666666666666668,50.0
219,10.0,50.0,3.3333333333333335,50.0,77,77,16.666666666666668,50.0
222,50.0,50.0,16.666666666666668,10.0,78,78,3.3333333333333335,50.0
225,-5.0,50.0,-1.6666666666666667,-5.0,79,79,-1.6666666666666667,50.0
228,50.0,50.0,16.666666666666668,10.0,80,80,3.3333333333333335,50.0
231,50.0,50.0,16.666666666666668,10.0,81,81,3.3333333333333335,50.0
234,50.0,50.0,16.666666666666668,10.0,82,82,3.3333333333333335,50.0
237,-5.0,50.0,-1.6666666666666667,-5.0,83,83,-1.6666666666666667,50.0
