episode_reward,max-path-return_agent_0,total-samples,max-path-return_agent_1,mean-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_0,episodes,last-path-return_agent_0
1,10.0,2,50.0,25.0,50.0,5.0,1,10.0
2,10.0,4,50.0,-5.0,-10.0,-5.0,2,-10.0
3,50.0,7,50.0,3.3333333333333335,10.0,16.666666666666668,3,50.0
4,50.0,10,50.0,16.666666666666668,50.0,3.3333333333333335,4,10.0
5,50.0,13,50.0,3.3333333333333335,10.0,16.666666666666668,5,50.0
6,50.0,16,50.0,3.3333333333333335,10.0,16.666666666666668,6,50.0
7,50.0,19,50.0,3.3333333333333335,10.0,16.666666666666668,7,50.0
8,50.0,22,50.0,3.3333333333333335,10.0,16.666666666666668,8,50.0
9,50.0,25,50.0,3.3333333333333335,10.0,16.666666666666668,9,50.0
10,50.0,28,50.0,16.666666666666668,50.0,3.3333333333333335,10,10.0
11,50.0,31,50.0,3.3333333333333335,10.0,16.666666666666668,11,50.0
12,50.0,33,50.0,5.0,10.0,25.0,12,50.0
13,50.0,36,50.0,3.3333333333333335,10.0,16.666666666666668,13,50.0
14,50.0,39,50.0,3.3333333333333335,10.0,16.666666666666668,14,50.0
15,50.0,42,50.0,3.3333333333333335,10.0,16.666666666666668,15,50.0
16,50.0,44,50.0,5.0,10.0,25.0,16,50.0
17,50.0,47,50.0,3.3333333333333335,10.0,16.666666666666668,17,50.0
18,50.0,50,50.0,3.3333333333333335,10.0,16.666666666666668,18,50.0
19,50.0,53,50.0,3.3333333333333335,10.0,16.666666666666668,19,50.0
20,50.0,56,50.0,3.3333333333333335,10.0,16.666666666666668,20,50.0
21,50.0,59,50.0,3.3333333333333335,10.0,16.666666666666668,21,50.0
22,50.0,62,50.0,3.3333333333333335,10.0,16.666666666666668,22,50.0
23,50.0,65,50.0,3.3333333333333335,10.0,16.666666666666668,23,50.0
24,50.0,68,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,24,-5.0
25,50.0,71,50.0,3.3333333333333335,10.0,16.666666666666668,25,50.0
26,50.0,74,50.0,3.3333333333333335,10.0,16.666666666666668,26,50.0
27,50.0,76,50.0,5.0,10.0,25.0,27,50.0
28,50.0,79,50.0,3.3333333333333335,10.0,16.666666666666668,28,50.0
29,50.0,82,50.0,3.3333333333333335,10.0,16.666666666666668,29,50.0
30,50.0,85,50.0,3.3333333333333335,10.0,16.666666666666668,30,50.0
31,50.0,88,50.0,16.666666666666668,50.0,3.3333333333333335,31,10.0
32,50.0,91,50.0,3.3333333333333335,10.0,16.666666666666668,32,50.0
33,50.0,94,50.0,16.666666666666668,50.0,3.3333333333333335,33,10.0
34,50.0,97,50.0,3.3333333333333335,10.0,16.666666666666668,34,50.0
35,50.0,99,50.0,25.0,50.0,5.0,35,10.0
36,50.0,102,50.0,3.3333333333333335,10.0,16.666666666666668,36,50.0
37,50.0,105,50.0,3.3333333333333335,10.0,16.666666666666668,37,50.0
38,50.0,107,50.0,-2.5,-5.0,-2.5,38,-5.0
39,50.0,110,50.0,3.3333333333333335,10.0,16.666666666666668,39,50.0
40,50.0,113,50.0,3.3333333333333335,10.0,16.666666666666668,40,50.0
41,50.0,116,50.0,3.3333333333333335,10.0,16.666666666666668,41,50.0
42,50.0,119,50.0,3.3333333333333335,10.0,16.666666666666668,42,50.0
43,50.0,122,50.0,3.3333333333333335,10.0,16.666666666666668,43,50.0
44,50.0,125,50.0,3.3333333333333335,10.0,16.666666666666668,44,50.0
45,50.0,128,50.0,16.666666666666668,50.0,3.3333333333333335,45,10.0
46,50.0,131,50.0,3.3333333333333335,10.0,16.666666666666668,46,50.0
47,50.0,134,50.0,3.3333333333333335,10.0,16.666666666666668,47,50.0
48,50.0,137,50.0,3.3333333333333335,10.0,16.666666666666668,48,50.0
49,50.0,140,50.0,3.3333333333333335,10.0,16.666666666666668,49,50.0
50,50.0,143,50.0,3.3333333333333335,10.0,16.666666666666668,50,50.0
51,50.0,145,50.0,5.0,10.0,25.0,51,50.0
52,50.0,148,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,52,-5.0
53,50.0,151,50.0,3.3333333333333335,10.0,16.666666666666668,53,50.0
54,50.0,154,50.0,3.3333333333333335,10.0,16.666666666666668,54,50.0
55,50.0,157,50.0,3.3333333333333335,10.0,16.666666666666668,55,50.0
56,50.0,160,50.0,3.3333333333333335,10.0,16.666666666666668,56,50.0
57,50.0,163,50.0,3.3333333333333335,10.0,16.666666666666668,57,50.0
58,50.0,166,50.0,3.3333333333333335,10.0,16.666666666666668,58,50.0
59,50.0,169,50.0,16.666666666666668,50.0,3.3333333333333335,59,10.0
60,50.0,172,50.0,3.3333333333333335,10.0,16.666666666666668,60,50.0
61,50.0,175,50.0,3.3333333333333335,10.0,16.666666666666668,61,50.0
62,50.0,178,50.0,3.3333333333333335,10.0,16.666666666666668,62,50.0
63,50.0,181,50.0,3.3333333333333335,10.0,16.666666666666668,63,50.0
64,50.0,184,50.0,3.3333333333333335,10.0,16.666666666666668,64,50.0
65,50.0,187,50.0,3.3333333333333335,10.0,16.666666666666668,65,50.0
66,50.0,190,50.0,3.3333333333333335,10.0,16.666666666666668,66,50.0
67,50.0,193,50.0,3.3333333333333335,10.0,16.666666666666668,67,50.0
68,50.0,196,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,68,-5.0
69,50.0,199,50.0,3.3333333333333335,10.0,16.666666666666668,69,50.0
70,50.0,202,50.0,3.3333333333333335,10.0,16.666666666666668,70,50.0
71,50.0,205,50.0,3.3333333333333335,10.0,16.666666666666668,71,50.0
72,50.0,208,50.0,3.3333333333333335,10.0,16.666666666666668,72,50.0
73,50.0,211,50.0,3.3333333333333335,10.0,16.666666666666668,73,50.0
74,50.0,214,50.0,3.3333333333333335,10.0,16.666666666666668,74,50.0
75,50.0,217,50.0,3.3333333333333335,10.0,16.666666666666668,75,50.0
76,50.0,220,50.0,3.3333333333333335,10.0,16.666666666666668,76,50.0
77,50.0,223,50.0,3.3333333333333335,10.0,16.666666666666668,77,50.0
78,50.0,226,50.0,3.3333333333333335,10.0,16.666666666666668,78,50.0
79,50.0,229,50.0,3.3333333333333335,10.0,16.666666666666668,79,50.0
80,50.0,232,50.0,3.3333333333333335,10.0,16.666666666666668,80,50.0
81,50.0,234,50.0,5.0,10.0,25.0,81,50.0
82,50.0,237,50.0,3.3333333333333335,10.0,16.666666666666668,82,50.0
83,50.0,240,50.0,3.3333333333333335,10.0,16.666666666666668,83,50.0
84,50.0,242,50.0,5.0,10.0,25.0,84,50.0
85,50.0,245,50.0,3.3333333333333335,10.0,16.666666666666668,85,50.0
86,50.0,248,50.0,3.3333333333333335,10.0,16.666666666666668,86,50.0
87,50.0,251,50.0,3.3333333333333335,10.0,16.666666666666668,87,50.0
88,50.0,254,50.0,3.3333333333333335,10.0,16.666666666666668,88,50.0
89,50.0,257,50.0,3.3333333333333335,10.0,16.666666666666668,89,50.0
90,50.0,260,50.0,3.3333333333333335,10.0,16.666666666666668,90,50.0
91,50.0,263,50.0,3.3333333333333335,10.0,16.666666666666668,91,50.0
92,50.0,266,50.0,16.666666666666668,50.0,3.3333333333333335,92,10.0
93,50.0,269,50.0,3.3333333333333335,10.0,16.666666666666668,93,50.0
94,50.0,272,50.0,3.3333333333333335,10.0,16.666666666666668,94,50.0
95,50.0,275,50.0,3.3333333333333335,10.0,16.666666666666668,95,50.0
96,50.0,278,50.0,3.3333333333333335,10.0,16.666666666666668,96,50.0
97,50.0,281,50.0,3.3333333333333335,10.0,16.666666666666668,97,50.0
98,50.0,284,50.0,3.3333333333333335,10.0,16.666666666666668,98,50.0
99,50.0,287,50.0,16.666666666666668,50.0,3.3333333333333335,99,10.0
100,50.0,289,50.0,5.0,10.0,25.0,100,50.0
101,50.0,291,50.0,25.0,50.0,5.0,101,10.0
102,50.0,294,50.0,3.3333333333333335,10.0,16.666666666666668,102,50.0
103,50.0,297,50.0,3.3333333333333335,10.0,16.666666666666668,103,50.0
104,50.0,300,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,104,-5.0
105,50.0,303,50.0,3.3333333333333335,10.0,16.666666666666668,105,50.0
106,50.0,306,50.0,3.3333333333333335,10.0,16.666666666666668,106,50.0
107,50.0,309,50.0,3.3333333333333335,10.0,16.666666666666668,107,50.0
108,50.0,312,50.0,3.3333333333333335,10.0,16.666666666666668,108,50.0
109,50.0,315,50.0,3.3333333333333335,10.0,16.666666666666668,109,50.0
110,50.0,318,50.0,3.3333333333333335,10.0,16.666666666666668,110,50.0
111,50.0,321,50.0,16.666666666666668,50.0,3.3333333333333335,111,10.0
112,50.0,324,50.0,3.3333333333333335,10.0,16.666666666666668,112,50.0
113,50.0,327,50.0,3.3333333333333335,10.0,16.666666666666668,113,50.0
114,50.0,330,50.0,3.3333333333333335,10.0,16.666666666666668,114,50.0
115,50.0,333,50.0,3.3333333333333335,10.0,16.666666666666668,115,50.0
116,50.0,336,50.0,3.3333333333333335,10.0,16.666666666666668,116,50.0
117,50.0,339,50.0,3.3333333333333335,10.0,16.666666666666668,117,50.0
118,50.0,342,50.0,3.3333333333333335,10.0,16.666666666666668,118,50.0
119,50.0,345,50.0,3.3333333333333335,10.0,16.666666666666668,119,50.0
120,50.0,348,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,120,-5.0
121,50.0,351,50.0,3.3333333333333335,10.0,16.666666666666668,121,50.0
122,50.0,354,50.0,3.3333333333333335,10.0,16.666666666666668,122,50.0
123,50.0,357,50.0,3.3333333333333335,10.0,16.666666666666668,123,50.0
124,50.0,360,50.0,3.3333333333333335,10.0,16.666666666666668,124,50.0
125,50.0,364,50.0,2.5,10.0,12.5,125,50.0
126,50.0,367,50.0,16.666666666666668,50.0,3.3333333333333335,126,10.0
127,50.0,370,50.0,3.3333333333333335,10.0,16.666666666666668,127,50.0
128,50.0,373,50.0,3.3333333333333335,10.0,16.666666666666668,128,50.0
129,50.0,376,50.0,16.666666666666668,50.0,3.3333333333333335,129,10.0
130,50.0,379,50.0,3.3333333333333335,10.0,16.666666666666668,130,50.0
131,50.0,382,50.0,16.666666666666668,50.0,3.3333333333333335,131,10.0
132,50.0,385,50.0,3.3333333333333335,10.0,16.666666666666668,132,50.0
133,50.0,388,50.0,3.3333333333333335,10.0,16.666666666666668,133,50.0
134,50.0,391,50.0,3.3333333333333335,10.0,16.666666666666668,134,50.0
135,50.0,394,50.0,3.3333333333333335,10.0,16.666666666666668,135,50.0
136,50.0,397,50.0,16.666666666666668,50.0,3.3333333333333335,136,10.0
137,50.0,400,50.0,16.666666666666668,50.0,3.3333333333333335,137,10.0
138,50.0,402,50.0,-5.0,-10.0,-5.0,138,-10.0
139,50.0,405,50.0,3.3333333333333335,10.0,16.666666666666668,139,50.0
140,50.0,408,50.0,3.3333333333333335,10.0,16.666666666666668,140,50.0
141,50.0,411,50.0,3.3333333333333335,10.0,16.666666666666668,141,50.0
142,50.0,414,50.0,3.3333333333333335,10.0,16.666666666666668,142,50.0
143,50.0,417,50.0,3.3333333333333335,10.0,16.666666666666668,143,50.0
144,50.0,420,50.0,3.3333333333333335,10.0,16.666666666666668,144,50.0
145,50.0,422,50.0,5.0,10.0,25.0,145,50.0
146,50.0,425,50.0,16.666666666666668,50.0,3.3333333333333335,146,10.0
147,50.0,428,50.0,3.3333333333333335,10.0,16.666666666666668,147,50.0
148,50.0,431,50.0,3.3333333333333335,10.0,16.666666666666668,148,50.0
149,50.0,434,50.0,3.3333333333333335,10.0,16.666666666666668,149,50.0
150,50.0,437,50.0,3.3333333333333335,10.0,16.666666666666668,150,50.0
151,50.0,440,50.0,3.3333333333333335,10.0,16.666666666666668,151,50.0
152,50.0,443,50.0,3.3333333333333335,10.0,16.666666666666668,152,50.0
153,50.0,446,50.0,3.3333333333333335,10.0,16.666666666666668,153,50.0
154,50.0,449,50.0,3.3333333333333335,10.0,16.666666666666668,154,50.0
155,50.0,452,50.0,3.3333333333333335,10.0,16.666666666666668,155,50.0
156,50.0,455,50.0,3.3333333333333335,10.0,16.666666666666668,156,50.0
157,50.0,458,50.0,3.3333333333333335,10.0,16.666666666666668,157,50.0
158,50.0,461,50.0,3.3333333333333335,10.0,16.666666666666668,158,50.0
159,50.0,464,50.0,16.666666666666668,50.0,3.3333333333333335,159,10.0
160,50.0,467,50.0,3.3333333333333335,10.0,16.666666666666668,160,50.0
161,50.0,470,50.0,3.3333333333333335,10.0,16.666666666666668,161,50.0
162,50.0,473,50.0,3.3333333333333335,10.0,16.666666666666668,162,50.0
163,50.0,476,50.0,16.666666666666668,50.0,3.3333333333333335,163,10.0
164,50.0,479,50.0,3.3333333333333335,10.0,16.666666666666668,164,50.0
165,50.0,482,50.0,3.3333333333333335,10.0,16.666666666666668,165,50.0
166,50.0,485,50.0,3.3333333333333335,10.0,16.666666666666668,166,50.0
167,50.0,487,50.0,-5.0,-10.0,-5.0,167,-10.0
168,50.0,490,50.0,3.3333333333333335,10.0,16.666666666666668,168,50.0
169,50.0,492,50.0,5.0,10.0,25.0,169,50.0
170,50.0,495,50.0,3.3333333333333335,10.0,16.666666666666668,170,50.0
171,50.0,498,50.0,3.3333333333333335,10.0,16.666666666666668,171,50.0
172,50.0,501,50.0,16.666666666666668,50.0,3.3333333333333335,172,10.0
173,50.0,504,50.0,3.3333333333333335,10.0,16.666666666666668,173,50.0
174,50.0,507,50.0,3.3333333333333335,10.0,16.666666666666668,174,50.0
175,50.0,510,50.0,3.3333333333333335,10.0,16.666666666666668,175,50.0
176,50.0,513,50.0,3.3333333333333335,10.0,16.666666666666668,176,50.0
177,50.0,516,50.0,3.3333333333333335,10.0,16.666666666666668,177,50.0
178,50.0,519,50.0,3.3333333333333335,10.0,16.666666666666668,178,50.0
179,50.0,521,50.0,5.0,10.0,25.0,179,50.0
180,50.0,524,50.0,3.3333333333333335,10.0,16.666666666666668,180,50.0
181,50.0,527,50.0,3.3333333333333335,10.0,16.666666666666668,181,50.0
182,50.0,530,50.0,3.3333333333333335,10.0,16.666666666666668,182,50.0
183,50.0,533,50.0,3.3333333333333335,10.0,16.666666666666668,183,50.0
184,50.0,536,50.0,3.3333333333333335,10.0,16.666666666666668,184,50.0
185,50.0,539,50.0,3.3333333333333335,10.0,16.666666666666668,185,50.0
186,50.0,542,50.0,3.3333333333333335,10.0,16.666666666666668,186,50.0
187,50.0,545,50.0,3.3333333333333335,10.0,16.666666666666668,187,50.0
