total-samples,max-path-return_agent_0,episodes,mean-path-return_agent_0,episode_reward,last-path-return_agent_0,mean-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_1
3,-5.0,1,-1.6666666666666667,1,-5.0,-1.6666666666666667,-5.0,-5.0
6,10.0,2,3.3333333333333335,2,10.0,16.666666666666668,50.0,50.0
9,50.0,3,16.666666666666668,3,50.0,3.3333333333333335,10.0,50.0
12,50.0,4,3.3333333333333335,4,10.0,16.666666666666668,50.0,50.0
15,50.0,5,-1.6666666666666667,5,-5.0,-1.6666666666666667,-5.0,50.0
18,50.0,6,-1.6666666666666667,6,-5.0,-1.6666666666666667,-5.0,50.0
21,50.0,7,16.666666666666668,7,50.0,3.3333333333333335,10.0,50.0
24,50.0,8,3.3333333333333335,8,10.0,16.666666666666668,50.0,50.0
27,50.0,9,16.666666666666668,9,50.0,3.3333333333333335,10.0,50.0
29,50.0,10,-5.0,10,-10.0,-5.0,-10.0,50.0
32,50.0,11,16.666666666666668,11,50.0,3.3333333333333335,10.0,50.0
34,50.0,12,-2.5,12,-5.0,-2.5,-5.0,50.0
37,50.0,13,-1.6666666666666667,13,-5.0,-1.6666666666666667,-5.0,50.0
39,50.0,14,-5.0,14,-10.0,-5.0,-10.0,50.0
42,50.0,15,3.3333333333333335,15,10.0,16.666666666666668,50.0,50.0
45,50.0,16,-1.6666666666666667,16,-5.0,-1.6666666666666667,-5.0,50.0
48,50.0,17,-1.6666666666666667,17,-5.0,-1.6666666666666667,-5.0,50.0
51,50.0,18,-1.6666666666666667,18,-5.0,-1.6666666666666667,-5.0,50.0
53,50.0,19,5.0,19,10.0,25.0,50.0,50.0
56,50.0,20,16.666666666666668,20,50.0,3.3333333333333335,10.0,50.0
58,50.0,21,-5.0,21,-10.0,-5.0,-10.0,50.0
61,50.0,22,-1.6666666666666667,22,-5.0,-1.6666666666666667,-5.0,50.0
64,50.0,23,-1.6666666666666667,23,-5.0,-1.6666666666666667,-5.0,50.0
67,50.0,24,-1.6666666666666667,24,-5.0,-1.6666666666666667,-5.0,50.0
70,50.0,25,-1.6666666666666667,25,-5.0,-1.6666666666666667,-5.0,50.0
73,50.0,26,-1.6666666666666667,26,-5.0,-1.6666666666666667,-5.0,50.0
76,50.0,27,16.666666666666668,27,50.0,3.3333333333333335,10.0,50.0
79,50.0,28,-1.6666666666666667,28,-5.0,-1.6666666666666667,-5.0,50.0
82,50.0,29,-1.6666666666666667,29,-5.0,-1.6666666666666667,-5.0,50.0
85,50.0,30,3.3333333333333335,30,10.0,16.666666666666668,50.0,50.0
88,50.0,31,3.3333333333333335,31,10.0,16.666666666666668,50.0,50.0
91,50.0,32,-1.6666666666666667,32,-5.0,-1.6666666666666667,-5.0,50.0
94,50.0,33,-1.6666666666666667,33,-5.0,-1.6666666666666667,-5.0,50.0
96,50.0,34,25.0,34,50.0,5.0,10.0,50.0
99,50.0,35,16.666666666666668,35,50.0,3.3333333333333335,10.0,50.0
102,50.0,36,-1.6666666666666667,36,-5.0,-1.6666666666666667,-5.0,50.0
105,50.0,37,-1.6666666666666667,37,-5.0,-1.6666666666666667,-5.0,50.0
108,50.0,38,3.3333333333333335,38,10.0,16.666666666666668,50.0,50.0
111,50.0,39,3.3333333333333335,39,10.0,16.666666666666668,50.0,50.0
114,50.0,40,-1.6666666666666667,40,-5.0,-1.6666666666666667,-5.0,50.0
117,50.0,41,-1.6666666666666667,41,-5.0,-1.6666666666666667,-5.0,50.0
120,50.0,42,16.666666666666668,42,50.0,3.3333333333333335,10.0,50.0
123,50.0,43,16.666666666666668,43,50.0,3.3333333333333335,10.0,50.0
126,50.0,44,-1.6666666666666667,44,-5.0,-1.6666666666666667,-5.0,50.0
129,50.0,45,-1.6666666666666667,45,-5.0,-1.6666666666666667,-5.0,50.0
132,50.0,46,3.3333333333333335,46,10.0,16.666666666666668,50.0,50.0
135,50.0,47,-1.6666666666666667,47,-5.0,-1.6666666666666667,-5.0,50.0
138,50.0,48,-1.6666666666666667,48,-5.0,-1.6666666666666667,-5.0,50.0
141,50.0,49,-1.6666666666666667,49,-5.0,-1.6666666666666667,-5.0,50.0
144,50.0,50,-1.6666666666666667,50,-5.0,-1.6666666666666667,-5.0,50.0
147,50.0,51,-1.6666666666666667,51,-5.0,-1.6666666666666667,-5.0,50.0
150,50.0,52,-1.6666666666666667,52,-5.0,-1.6666666666666667,-5.0,50.0
153,50.0,53,3.3333333333333335,53,10.0,16.666666666666668,50.0,50.0
156,50.0,54,-1.6666666666666667,54,-5.0,-1.6666666666666667,-5.0,50.0
159,50.0,55,-1.6666666666666667,55,-5.0,-1.6666666666666667,-5.0,50.0
162,50.0,56,-1.6666666666666667,56,-5.0,-1.6666666666666667,-5.0,50.0
165,50.0,57,3.3333333333333335,57,10.0,16.666666666666668,50.0,50.0
