last-path-return_agent_1,mean-path-return_agent_1,mean-path-return_agent_0,last-path-return_agent_0,total-samples,episodes,max-path-return_agent_0,episode_reward,max-path-return_agent_1
-10.0,-5.0,-5.0,-10.0,2,1,-10.0,1,-10.0
10.0,3.3333333333333335,16.666666666666668,50.0,5,2,50.0,2,10.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,8,3,50.0,3,10.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,11,4,50.0,4,10.0
10.0,3.3333333333333335,16.666666666666668,50.0,14,5,50.0,5,10.0
10.0,3.3333333333333335,16.666666666666668,50.0,17,6,50.0,6,10.0
-10.0,-5.0,-5.0,-10.0,19,7,50.0,7,10.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,22,8,50.0,8,10.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,25,9,50.0,9,10.0
50.0,16.666666666666668,3.3333333333333335,10.0,28,10,50.0,10,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,31,11,50.0,11,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,34,12,50.0,12,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,37,13,50.0,13,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,40,14,50.0,14,50.0
-10.0,-5.0,-5.0,-10.0,42,15,50.0,15,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,45,16,50.0,16,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,48,17,50.0,17,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,51,18,50.0,18,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,54,19,50.0,19,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,57,20,50.0,20,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,60,21,50.0,21,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,63,22,50.0,22,50.0
-10.0,-5.0,-5.0,-10.0,65,23,50.0,23,50.0
-10.0,-5.0,-5.0,-10.0,67,24,50.0,24,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,70,25,50.0,25,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,73,26,50.0,26,50.0
50.0,25.0,5.0,10.0,75,27,50.0,27,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,78,28,50.0,28,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,81,29,50.0,29,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,84,30,50.0,30,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,87,31,50.0,31,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,90,32,50.0,32,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,93,33,50.0,33,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,96,34,50.0,34,50.0
50.0,25.0,5.0,10.0,98,35,50.0,35,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,101,36,50.0,36,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,104,37,50.0,37,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,107,38,50.0,38,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,110,39,50.0,39,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,113,40,50.0,40,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,116,41,50.0,41,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,119,42,50.0,42,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,122,43,50.0,43,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,125,44,50.0,44,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,128,45,50.0,45,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,131,46,50.0,46,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,134,47,50.0,47,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,137,48,50.0,48,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,140,49,50.0,49,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,143,50,50.0,50,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,146,51,50.0,51,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,149,52,50.0,52,50.0
50.0,25.0,5.0,10.0,151,53,50.0,53,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,154,54,50.0,54,50.0
10.0,5.0,25.0,50.0,156,55,50.0,55,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,159,56,50.0,56,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,162,57,50.0,57,50.0
50.0,16.666666666666668,3.3333333333333335,10.0,165,58,50.0,58,50.0
-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,168,59,50.0,59,50.0
10.0,3.3333333333333335,16.666666666666668,50.0,171,60,50.0,60,50.0
-5.0,-2.5,-2.5,-5.0,173,61,50.0,61,50.0
10.0,5.0,25.0,50.0,175,62,50.0,62,50.0
