episodes,max-path-return_agent_1,last-path-return_agent_0,last-path-return_agent_1,episode_reward,max-path-return_agent_0,mean-path-return_agent_0,total-samples,mean-path-return_agent_1
1,-10.0,-10.0,-10.0,1,-10.0,-5.0,2,-5.0
2,50.0,10.0,50.0,2,10.0,5.0,4,25.0
3,50.0,10.0,50.0,3,10.0,3.3333333333333335,7,16.666666666666668
4,50.0,10.0,50.0,4,10.0,3.3333333333333335,10,16.666666666666668
5,50.0,-5.0,-5.0,5,10.0,-2.5,12,-2.5
6,50.0,50.0,10.0,6,50.0,16.666666666666668,15,3.3333333333333335
7,50.0,10.0,50.0,7,50.0,3.3333333333333335,18,16.666666666666668
8,50.0,50.0,10.0,8,50.0,16.666666666666668,21,3.3333333333333335
9,50.0,50.0,10.0,9,50.0,16.666666666666668,24,3.3333333333333335
10,50.0,-10.0,-10.0,10,50.0,-5.0,26,-5.0
11,50.0,-5.0,-5.0,11,50.0,-1.6666666666666667,29,-1.6666666666666667
12,50.0,-10.0,-10.0,12,50.0,-5.0,31,-5.0
13,50.0,-5.0,-5.0,13,50.0,-2.5,33,-2.5
14,50.0,-5.0,-5.0,14,50.0,-1.6666666666666667,36,-1.6666666666666667
15,50.0,50.0,10.0,15,50.0,16.666666666666668,39,3.3333333333333335
16,50.0,-5.0,-5.0,16,50.0,-1.6666666666666667,42,-1.6666666666666667
17,50.0,10.0,50.0,17,50.0,3.3333333333333335,45,16.666666666666668
18,50.0,50.0,10.0,18,50.0,16.666666666666668,48,3.3333333333333335
19,50.0,50.0,10.0,19,50.0,16.666666666666668,51,3.3333333333333335
20,50.0,10.0,50.0,20,50.0,3.3333333333333335,54,16.666666666666668
21,50.0,50.0,10.0,21,50.0,16.666666666666668,57,3.3333333333333335
22,50.0,10.0,50.0,22,50.0,3.3333333333333335,60,16.666666666666668
23,50.0,-10.0,-10.0,23,50.0,-5.0,62,-5.0
24,50.0,50.0,10.0,24,50.0,16.666666666666668,65,3.3333333333333335
25,50.0,50.0,10.0,25,50.0,16.666666666666668,68,3.3333333333333335
26,50.0,50.0,10.0,26,50.0,16.666666666666668,71,3.3333333333333335
27,50.0,-5.0,-5.0,27,50.0,-2.5,73,-2.5
28,50.0,10.0,50.0,28,50.0,3.3333333333333335,76,16.666666666666668
29,50.0,10.0,50.0,29,50.0,3.3333333333333335,79,16.666666666666668
30,50.0,-5.0,-5.0,30,50.0,-1.6666666666666667,82,-1.6666666666666667
31,50.0,10.0,50.0,31,50.0,3.3333333333333335,85,16.666666666666668
32,50.0,10.0,50.0,32,50.0,3.3333333333333335,88,16.666666666666668
33,50.0,-5.0,-5.0,33,50.0,-2.5,90,-2.5
34,50.0,-10.0,-10.0,34,50.0,-5.0,92,-5.0
35,50.0,50.0,10.0,35,50.0,16.666666666666668,95,3.3333333333333335
36,50.0,50.0,10.0,36,50.0,16.666666666666668,98,3.3333333333333335
37,50.0,50.0,10.0,37,50.0,16.666666666666668,101,3.3333333333333335
38,50.0,-5.0,-5.0,38,50.0,-2.5,103,-2.5
39,50.0,-5.0,-5.0,39,50.0,-1.6666666666666667,106,-1.6666666666666667
40,50.0,50.0,10.0,40,50.0,16.666666666666668,109,3.3333333333333335
41,50.0,10.0,50.0,41,50.0,3.3333333333333335,112,16.666666666666668
42,50.0,10.0,50.0,42,50.0,3.3333333333333335,115,16.666666666666668
43,50.0,50.0,10.0,43,50.0,16.666666666666668,118,3.3333333333333335
44,50.0,-10.0,-10.0,44,50.0,-5.0,120,-5.0
45,50.0,-10.0,-10.0,45,50.0,-5.0,122,-5.0
46,50.0,10.0,50.0,46,50.0,3.3333333333333335,125,16.666666666666668
47,50.0,-10.0,-10.0,47,50.0,-5.0,127,-5.0
48,50.0,-5.0,-5.0,48,50.0,-2.5,129,-2.5
49,50.0,-5.0,-5.0,49,50.0,-1.6666666666666667,132,-1.6666666666666667
50,50.0,50.0,10.0,50,50.0,16.666666666666668,135,3.3333333333333335
51,50.0,10.0,50.0,51,50.0,3.3333333333333335,138,16.666666666666668
52,50.0,50.0,10.0,52,50.0,16.666666666666668,141,3.3333333333333335
53,50.0,-5.0,-5.0,53,50.0,-1.6666666666666667,144,-1.6666666666666667
54,50.0,50.0,10.0,54,50.0,16.666666666666668,147,3.3333333333333335
55,50.0,10.0,50.0,55,50.0,3.3333333333333335,150,16.666666666666668
56,50.0,10.0,50.0,56,50.0,3.3333333333333335,153,16.666666666666668
57,50.0,10.0,50.0,57,50.0,3.3333333333333335,156,16.666666666666668
58,50.0,10.0,50.0,58,50.0,3.3333333333333335,159,16.666666666666668
59,50.0,10.0,50.0,59,50.0,3.3333333333333335,162,16.666666666666668
60,50.0,-10.0,-10.0,60,50.0,-5.0,164,-5.0
61,50.0,-5.0,-5.0,61,50.0,-1.6666666666666667,167,-1.6666666666666667
62,50.0,-5.0,-5.0,62,50.0,-1.6666666666666667,170,-1.6666666666666667
63,50.0,50.0,10.0,63,50.0,12.5,174,2.5
64,50.0,10.0,50.0,64,50.0,3.3333333333333335,177,16.666666666666668
