total-samples,episodes,episode_reward,last-path-return_agent_0,max-path-return_agent_0,mean-path-return_agent_0,max-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_1
3,1,1,50.0,50.0,16.666666666666668,10.0,10.0,3.3333333333333335
6,2,2,-5.0,50.0,-1.6666666666666667,10.0,-5.0,-1.6666666666666667
9,3,3,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
12,4,4,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
15,5,5,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
18,6,6,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
21,7,7,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
23,8,8,-10.0,50.0,-5.0,50.0,-10.0,-5.0
26,9,9,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
29,10,10,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
32,11,11,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
35,12,12,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
38,13,13,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
41,14,14,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
43,15,15,-5.0,50.0,-2.5,50.0,-5.0,-2.5
46,16,16,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
49,17,17,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
52,18,18,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
55,19,19,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
58,20,20,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
61,21,21,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
64,22,22,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
67,23,23,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
70,24,24,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
73,25,25,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
76,26,26,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
79,27,27,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
82,28,28,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
85,29,29,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
87,30,30,-10.0,50.0,-5.0,50.0,-10.0,-5.0
90,31,31,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
92,32,32,10.0,50.0,5.0,50.0,50.0,25.0
95,33,33,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
98,34,34,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
101,35,35,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
104,36,36,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
107,37,37,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
110,38,38,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
113,39,39,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
116,40,40,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
119,41,41,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
122,42,42,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
125,43,43,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
128,44,44,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
131,45,45,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
133,46,46,-10.0,50.0,-5.0,50.0,-10.0,-5.0
136,47,47,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
139,48,48,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
141,49,49,10.0,50.0,5.0,50.0,50.0,25.0
144,50,50,50.0,50.0,16.666666666666668,50.0,10.0,3.3333333333333335
147,51,51,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
150,52,52,-5.0,50.0,-1.6666666666666667,50.0,-5.0,-1.6666666666666667
153,53,53,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
156,54,54,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
159,55,55,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
162,56,56,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
165,57,57,10.0,50.0,3.3333333333333335,50.0,50.0,16.666666666666668
