episodes,total-samples,mean-path-return_agent_1,episode_reward,last-path-return_agent_0,max-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0
1,3,3.3333333333333335,1,50.0,10.0,10.0,50.0,16.666666666666668
2,5,-2.5,2,-5.0,10.0,-5.0,50.0,-2.5
3,8,16.666666666666668,3,10.0,50.0,50.0,50.0,3.3333333333333335
4,11,16.666666666666668,4,10.0,50.0,50.0,50.0,3.3333333333333335
5,13,-5.0,5,-10.0,50.0,-10.0,50.0,-5.0
6,16,3.3333333333333335,6,50.0,50.0,10.0,50.0,16.666666666666668
7,18,-5.0,7,-10.0,50.0,-10.0,50.0,-5.0
8,21,3.3333333333333335,8,50.0,50.0,10.0,50.0,16.666666666666668
9,24,3.3333333333333335,9,50.0,50.0,10.0,50.0,16.666666666666668
10,26,-5.0,10,-10.0,50.0,-10.0,50.0,-5.0
11,29,3.3333333333333335,11,50.0,50.0,10.0,50.0,16.666666666666668
12,32,3.3333333333333335,12,50.0,50.0,10.0,50.0,16.666666666666668
13,35,3.3333333333333335,13,50.0,50.0,10.0,50.0,16.666666666666668
14,38,16.666666666666668,14,10.0,50.0,50.0,50.0,3.3333333333333335
15,41,16.666666666666668,15,10.0,50.0,50.0,50.0,3.3333333333333335
16,44,16.666666666666668,16,10.0,50.0,50.0,50.0,3.3333333333333335
17,47,16.666666666666668,17,10.0,50.0,50.0,50.0,3.3333333333333335
18,50,3.3333333333333335,18,50.0,50.0,10.0,50.0,16.666666666666668
19,53,16.666666666666668,19,10.0,50.0,50.0,50.0,3.3333333333333335
20,55,5.0,20,50.0,50.0,10.0,50.0,25.0
21,58,3.3333333333333335,21,50.0,50.0,10.0,50.0,16.666666666666668
22,61,16.666666666666668,22,10.0,50.0,50.0,50.0,3.3333333333333335
23,64,-1.6666666666666667,23,-5.0,50.0,-5.0,50.0,-1.6666666666666667
24,67,16.666666666666668,24,10.0,50.0,50.0,50.0,3.3333333333333335
25,70,3.3333333333333335,25,50.0,50.0,10.0,50.0,16.666666666666668
26,73,16.666666666666668,26,10.0,50.0,50.0,50.0,3.3333333333333335
27,75,-2.5,27,-5.0,50.0,-5.0,50.0,-2.5
28,78,16.666666666666668,28,10.0,50.0,50.0,50.0,3.3333333333333335
29,81,16.666666666666668,29,10.0,50.0,50.0,50.0,3.3333333333333335
30,83,-2.5,30,-5.0,50.0,-5.0,50.0,-2.5
31,85,-5.0,31,-10.0,50.0,-10.0,50.0,-5.0
32,87,-5.0,32,-10.0,50.0,-10.0,50.0,-5.0
33,90,3.3333333333333335,33,50.0,50.0,10.0,50.0,16.666666666666668
34,93,16.666666666666668,34,10.0,50.0,50.0,50.0,3.3333333333333335
