last-path-return_agent_0,last-path-return_agent_1,mean-path-return_agent_0,mean-path-return_agent_1,episode_reward,total-samples,max-path-return_agent_0,max-path-return_agent_1,episodes
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,1,3,-5.0,-5.0,1
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,2,6,-5.0,-5.0,2
50.0,10.0,16.666666666666668,3.3333333333333335,3,9,50.0,10.0,3
10.0,50.0,3.3333333333333335,16.666666666666668,4,12,50.0,50.0,4
10.0,50.0,3.3333333333333335,16.666666666666668,5,15,50.0,50.0,5
10.0,50.0,3.3333333333333335,16.666666666666668,6,18,50.0,50.0,6
50.0,10.0,16.666666666666668,3.3333333333333335,7,21,50.0,50.0,7
10.0,50.0,3.3333333333333335,16.666666666666668,8,24,50.0,50.0,8
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,9,27,50.0,50.0,9
50.0,10.0,16.666666666666668,3.3333333333333335,10,30,50.0,50.0,10
50.0,10.0,16.666666666666668,3.3333333333333335,11,33,50.0,50.0,11
10.0,50.0,3.3333333333333335,16.666666666666668,12,36,50.0,50.0,12
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,13,39,50.0,50.0,13
10.0,50.0,3.3333333333333335,16.666666666666668,14,42,50.0,50.0,14
50.0,10.0,16.666666666666668,3.3333333333333335,15,45,50.0,50.0,15
10.0,50.0,3.3333333333333335,16.666666666666668,16,48,50.0,50.0,16
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,17,51,50.0,50.0,17
10.0,50.0,3.3333333333333335,16.666666666666668,18,54,50.0,50.0,18
10.0,50.0,3.3333333333333335,16.666666666666668,19,57,50.0,50.0,19
50.0,10.0,16.666666666666668,3.3333333333333335,20,60,50.0,50.0,20
10.0,50.0,3.3333333333333335,16.666666666666668,21,63,50.0,50.0,21
50.0,10.0,16.666666666666668,3.3333333333333335,22,66,50.0,50.0,22
10.0,50.0,3.3333333333333335,16.666666666666668,23,69,50.0,50.0,23
50.0,10.0,25.0,5.0,24,71,50.0,50.0,24
50.0,10.0,16.666666666666668,3.3333333333333335,25,74,50.0,50.0,25
50.0,10.0,16.666666666666668,3.3333333333333335,26,77,50.0,50.0,26
10.0,50.0,3.3333333333333335,16.666666666666668,27,80,50.0,50.0,27
-10.0,-10.0,-5.0,-5.0,28,82,50.0,50.0,28
10.0,50.0,3.3333333333333335,16.666666666666668,29,85,50.0,50.0,29
50.0,10.0,16.666666666666668,3.3333333333333335,30,88,50.0,50.0,30
-10.0,-10.0,-5.0,-5.0,31,90,50.0,50.0,31
50.0,10.0,25.0,5.0,32,92,50.0,50.0,32
10.0,50.0,3.3333333333333335,16.666666666666668,33,95,50.0,50.0,33
50.0,10.0,16.666666666666668,3.3333333333333335,34,98,50.0,50.0,34
50.0,10.0,16.666666666666668,3.3333333333333335,35,101,50.0,50.0,35
50.0,10.0,16.666666666666668,3.3333333333333335,36,104,50.0,50.0,36
10.0,50.0,5.0,25.0,37,106,50.0,50.0,37
10.0,50.0,3.3333333333333335,16.666666666666668,38,109,50.0,50.0,38
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,39,112,50.0,50.0,39
10.0,50.0,3.3333333333333335,16.666666666666668,40,115,50.0,50.0,40
50.0,10.0,16.666666666666668,3.3333333333333335,41,118,50.0,50.0,41
50.0,10.0,16.666666666666668,3.3333333333333335,42,121,50.0,50.0,42
50.0,10.0,16.666666666666668,3.3333333333333335,43,124,50.0,50.0,43
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,44,127,50.0,50.0,44
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,45,130,50.0,50.0,45
50.0,10.0,16.666666666666668,3.3333333333333335,46,133,50.0,50.0,46
-10.0,-10.0,-5.0,-5.0,47,135,50.0,50.0,47
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,48,138,50.0,50.0,48
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,49,141,50.0,50.0,49
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,50,144,50.0,50.0,50
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,51,147,50.0,50.0,51
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,52,150,50.0,50.0,52
10.0,50.0,5.0,25.0,53,152,50.0,50.0,53
10.0,50.0,3.3333333333333335,16.666666666666668,54,155,50.0,50.0,54
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,55,158,50.0,50.0,55
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,56,161,50.0,50.0,56
-5.0,-5.0,-1.6666666666666667,-1.6666666666666667,57,164,50.0,50.0,57
50.0,10.0,16.666666666666668,3.3333333333333335,58,167,50.0,50.0,58
50.0,10.0,16.666666666666668,3.3333333333333335,59,170,50.0,50.0,59
50.0,10.0,16.666666666666668,3.3333333333333335,60,173,50.0,50.0,60
50.0,10.0,16.666666666666668,3.3333333333333335,61,176,50.0,50.0,61
50.0,10.0,16.666666666666668,3.3333333333333335,62,179,50.0,50.0,62
50.0,10.0,16.666666666666668,3.3333333333333335,63,182,50.0,50.0,63
50.0,10.0,16.666666666666668,3.3333333333333335,64,185,50.0,50.0,64
50.0,10.0,16.666666666666668,3.3333333333333335,65,188,50.0,50.0,65
50.0,10.0,16.666666666666668,3.3333333333333335,66,191,50.0,50.0,66
50.0,10.0,16.666666666666668,3.3333333333333335,67,194,50.0,50.0,67
50.0,10.0,16.666666666666668,3.3333333333333335,68,197,50.0,50.0,68
50.0,10.0,16.666666666666668,3.3333333333333335,69,200,50.0,50.0,69
