episodes,last-path-return_agent_0,total-samples,max-path-return_agent_0,mean-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_0,episode_reward,max-path-return_agent_1
1,50.0,3,50.0,3.3333333333333335,10.0,16.666666666666668,1,10.0
2,-5.0,5,50.0,-2.5,-5.0,-2.5,2,10.0
3,-5.0,7,50.0,-2.5,-5.0,-2.5,3,10.0
4,10.0,10,50.0,16.666666666666668,50.0,3.3333333333333335,4,50.0
5,-5.0,13,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,5,50.0
6,10.0,16,50.0,16.666666666666668,50.0,3.3333333333333335,6,50.0
7,50.0,19,50.0,3.3333333333333335,10.0,16.666666666666668,7,50.0
8,-5.0,22,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,8,50.0
9,-5.0,25,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,9,50.0
10,50.0,28,50.0,3.3333333333333335,10.0,16.666666666666668,10,50.0
11,10.0,31,50.0,16.666666666666668,50.0,3.3333333333333335,11,50.0
12,10.0,34,50.0,16.666666666666668,50.0,3.3333333333333335,12,50.0
13,50.0,37,50.0,3.3333333333333335,10.0,16.666666666666668,13,50.0
14,-5.0,39,50.0,-2.5,-5.0,-2.5,14,50.0
15,50.0,42,50.0,3.3333333333333335,10.0,16.666666666666668,15,50.0
16,-5.0,45,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,16,50.0
17,-10.0,47,50.0,-5.0,-10.0,-5.0,17,50.0
18,-5.0,50,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,18,50.0
19,50.0,53,50.0,3.3333333333333335,10.0,16.666666666666668,19,50.0
20,50.0,56,50.0,3.3333333333333335,10.0,16.666666666666668,20,50.0
21,-5.0,58,50.0,-2.5,-5.0,-2.5,21,50.0
22,10.0,60,50.0,25.0,50.0,5.0,22,50.0
23,-5.0,63,50.0,-1.6666666666666667,-5.0,-1.6666666666666667,23,50.0
24,50.0,66,50.0,3.3333333333333335,10.0,16.666666666666668,24,50.0
25,10.0,69,50.0,16.666666666666668,50.0,3.3333333333333335,25,50.0
26,-10.0,71,50.0,-5.0,-10.0,-5.0,26,50.0
27,50.0,73,50.0,5.0,10.0,25.0,27,50.0
28,50.0,76,50.0,3.3333333333333335,10.0,16.666666666666668,28,50.0
29,10.0,79,50.0,16.666666666666668,50.0,3.3333333333333335,29,50.0
30,50.0,82,50.0,3.3333333333333335,10.0,16.666666666666668,30,50.0
31,-10.0,84,50.0,-5.0,-10.0,-5.0,31,50.0
32,50.0,87,50.0,3.3333333333333335,10.0,16.666666666666668,32,50.0
33,50.0,90,50.0,3.3333333333333335,10.0,16.666666666666668,33,50.0
34,50.0,93,50.0,3.3333333333333335,10.0,16.666666666666668,34,50.0
35,50.0,96,50.0,3.3333333333333335,10.0,16.666666666666668,35,50.0
36,-5.0,98,50.0,-2.5,-5.0,-2.5,36,50.0
37,10.0,101,50.0,16.666666666666668,50.0,3.3333333333333335,37,50.0
