last-path-return_agent_0,max-path-return_agent_0,mean-path-return_agent_1,last-path-return_agent_1,episodes,total-samples,episode_reward,max-path-return_agent_1,mean-path-return_agent_0
-5.0,-5.0,-1.6666666666666667,-5.0,1,3,1,-5.0,-1.6666666666666667
50.0,50.0,3.3333333333333335,10.0,2,6,2,10.0,16.666666666666668
10.0,50.0,16.666666666666668,50.0,3,9,3,50.0,3.3333333333333335
10.0,50.0,25.0,50.0,4,11,4,50.0,5.0
-10.0,50.0,-5.0,-10.0,5,13,5,50.0,-5.0
50.0,50.0,3.3333333333333335,10.0,6,16,6,50.0,16.666666666666668
50.0,50.0,3.3333333333333335,10.0,7,19,7,50.0,16.666666666666668
10.0,50.0,16.666666666666668,50.0,8,22,8,50.0,3.3333333333333335
50.0,50.0,3.3333333333333335,10.0,9,25,9,50.0,16.666666666666668
10.0,50.0,25.0,50.0,10,27,10,50.0,5.0
-5.0,50.0,-1.6666666666666667,-5.0,11,30,11,50.0,-1.6666666666666667
10.0,50.0,16.666666666666668,50.0,12,33,12,50.0,3.3333333333333335
10.0,50.0,16.666666666666668,50.0,13,36,13,50.0,3.3333333333333335
-5.0,50.0,-1.6666666666666667,-5.0,14,39,14,50.0,-1.6666666666666667
-10.0,50.0,-5.0,-10.0,15,41,15,50.0,-5.0
50.0,50.0,3.3333333333333335,10.0,16,44,16,50.0,16.666666666666668
-5.0,50.0,-1.6666666666666667,-5.0,17,47,17,50.0,-1.6666666666666667
50.0,50.0,3.3333333333333335,10.0,18,50,18,50.0,16.666666666666668
10.0,50.0,16.666666666666668,50.0,19,53,19,50.0,3.3333333333333335
-5.0,50.0,-1.6666666666666667,-5.0,20,56,20,50.0,-1.6666666666666667
-5.0,50.0,-1.6666666666666667,-5.0,21,59,21,50.0,-1.6666666666666667
10.0,50.0,16.666666666666668,50.0,22,62,22,50.0,3.3333333333333335
50.0,50.0,3.3333333333333335,10.0,23,65,23,50.0,16.666666666666668
50.0,50.0,3.3333333333333335,10.0,24,68,24,50.0,16.666666666666668
50.0,50.0,3.3333333333333335,10.0,25,71,25,50.0,16.666666666666668
-5.0,50.0,-1.6666666666666667,-5.0,26,74,26,50.0,-1.6666666666666667
50.0,50.0,3.3333333333333335,10.0,27,77,27,50.0,16.666666666666668
-5.0,50.0,-1.6666666666666667,-5.0,28,80,28,50.0,-1.6666666666666667
10.0,50.0,16.666666666666668,50.0,29,83,29,50.0,3.3333333333333335
-10.0,50.0,-5.0,-10.0,30,85,30,50.0,-5.0
50.0,50.0,3.3333333333333335,10.0,31,88,31,50.0,16.666666666666668
-5.0,50.0,-1.6666666666666667,-5.0,32,91,32,50.0,-1.6666666666666667
50.0,50.0,3.3333333333333335,10.0,33,94,33,50.0,16.666666666666668
50.0,50.0,3.3333333333333335,10.0,34,97,34,50.0,16.666666666666668
-10.0,50.0,-5.0,-10.0,35,99,35,50.0,-5.0
