last-path-return_agent_1,total-samples,episodes,max-path-return_agent_0,mean-path-return_agent_1,max-path-return_agent_1,mean-path-return_agent_0,episode_reward,last-path-return_agent_0
10.0,3,1,50.0,3.3333333333333335,10.0,16.666666666666668,1,50.0
50.0,6,2,50.0,16.666666666666668,50.0,3.3333333333333335,2,10.0
10.0,8,3,50.0,5.0,50.0,25.0,3,50.0
50.0,11,4,50.0,16.666666666666668,50.0,3.3333333333333335,4,10.0
50.0,14,5,50.0,16.666666666666668,50.0,3.3333333333333335,5,10.0
-10.0,16,6,50.0,-5.0,50.0,-5.0,6,-10.0
-5.0,19,7,50.0,-1.6666666666666667,50.0,-1.6666666666666667,7,-5.0
10.0,22,8,50.0,3.3333333333333335,50.0,16.666666666666668,8,50.0
10.0,25,9,50.0,3.3333333333333335,50.0,16.666666666666668,9,50.0
10.0,28,10,50.0,3.3333333333333335,50.0,16.666666666666668,10,50.0
10.0,31,11,50.0,3.3333333333333335,50.0,16.666666666666668,11,50.0
10.0,34,12,50.0,3.3333333333333335,50.0,16.666666666666668,12,50.0
50.0,37,13,50.0,16.666666666666668,50.0,3.3333333333333335,13,10.0
50.0,40,14,50.0,16.666666666666668,50.0,3.3333333333333335,14,10.0
10.0,43,15,50.0,3.3333333333333335,50.0,16.666666666666668,15,50.0
-10.0,45,16,50.0,-5.0,50.0,-5.0,16,-10.0
50.0,48,17,50.0,16.666666666666668,50.0,3.3333333333333335,17,10.0
-5.0,51,18,50.0,-1.6666666666666667,50.0,-1.6666666666666667,18,-5.0
50.0,54,19,50.0,16.666666666666668,50.0,3.3333333333333335,19,10.0
10.0,57,20,50.0,3.3333333333333335,50.0,16.666666666666668,20,50.0
50.0,59,21,50.0,25.0,50.0,5.0,21,10.0
50.0,62,22,50.0,16.666666666666668,50.0,3.3333333333333335,22,10.0
50.0,65,23,50.0,16.666666666666668,50.0,3.3333333333333335,23,10.0
50.0,68,24,50.0,16.666666666666668,50.0,3.3333333333333335,24,10.0
10.0,71,25,50.0,3.3333333333333335,50.0,16.666666666666668,25,50.0
10.0,74,26,50.0,3.3333333333333335,50.0,16.666666666666668,26,50.0
10.0,77,27,50.0,3.3333333333333335,50.0,16.666666666666668,27,50.0
10.0,80,28,50.0,3.3333333333333335,50.0,16.666666666666668,28,50.0
50.0,82,29,50.0,25.0,50.0,5.0,29,10.0
10.0,85,30,50.0,3.3333333333333335,50.0,16.666666666666668,30,50.0
10.0,88,31,50.0,3.3333333333333335,50.0,16.666666666666668,31,50.0
-5.0,91,32,50.0,-1.6666666666666667,50.0,-1.6666666666666667,32,-5.0
10.0,94,33,50.0,3.3333333333333335,50.0,16.666666666666668,33,50.0
50.0,97,34,50.0,16.666666666666668,50.0,3.3333333333333335,34,10.0
10.0,100,35,50.0,3.3333333333333335,50.0,16.666666666666668,35,50.0
