last-path-return_agent_1,max-path-return_agent_1,episodes,episode_reward,max-path-return_agent_0,last-path-return_agent_0,total-samples,mean-path-return_agent_1,mean-path-return_agent_0
-5.0,-5.0,1,1,-5.0,-5.0,3,-1.6666666666666667,-1.6666666666666667
-5.0,-5.0,2,2,-5.0,-5.0,6,-1.6666666666666667,-1.6666666666666667
-10.0,-5.0,3,3,-5.0,-10.0,8,-5.0,-5.0
-5.0,-5.0,4,4,-5.0,-5.0,11,-1.6666666666666667,-1.6666666666666667
10.0,10.0,5,5,50.0,50.0,14,3.3333333333333335,16.666666666666668
10.0,10.0,6,6,50.0,50.0,17,3.3333333333333335,16.666666666666668
50.0,50.0,7,7,50.0,10.0,19,25.0,5.0
10.0,50.0,8,8,50.0,50.0,22,3.3333333333333335,16.666666666666668
10.0,50.0,9,9,50.0,50.0,25,3.3333333333333335,16.666666666666668
-5.0,50.0,10,10,50.0,-5.0,28,-1.6666666666666667,-1.6666666666666667
50.0,50.0,11,11,50.0,10.0,31,16.666666666666668,3.3333333333333335
-10.0,50.0,12,12,50.0,-10.0,33,-5.0,-5.0
-5.0,50.0,13,13,50.0,-5.0,36,-1.6666666666666667,-1.6666666666666667
10.0,50.0,14,14,50.0,50.0,38,5.0,25.0
50.0,50.0,15,15,50.0,10.0,41,16.666666666666668,3.3333333333333335
10.0,50.0,16,16,50.0,50.0,44,3.3333333333333335,16.666666666666668
50.0,50.0,17,17,50.0,10.0,47,16.666666666666668,3.3333333333333335
50.0,50.0,18,18,50.0,10.0,50,16.666666666666668,3.3333333333333335
10.0,50.0,19,19,50.0,50.0,53,3.3333333333333335,16.666666666666668
10.0,50.0,20,20,50.0,50.0,56,3.3333333333333335,16.666666666666668
-5.0,50.0,21,21,50.0,-5.0,59,-1.6666666666666667,-1.6666666666666667
-10.0,50.0,22,22,50.0,-10.0,61,-5.0,-5.0
50.0,50.0,23,23,50.0,10.0,64,16.666666666666668,3.3333333333333335
50.0,50.0,24,24,50.0,10.0,67,16.666666666666668,3.3333333333333335
50.0,50.0,25,25,50.0,10.0,70,16.666666666666668,3.3333333333333335
-5.0,50.0,26,26,50.0,-5.0,73,-1.6666666666666667,-1.6666666666666667
50.0,50.0,27,27,50.0,10.0,75,25.0,5.0
10.0,50.0,28,28,50.0,50.0,78,3.3333333333333335,16.666666666666668
-10.0,50.0,29,29,50.0,-10.0,80,-5.0,-5.0
50.0,50.0,30,30,50.0,10.0,83,16.666666666666668,3.3333333333333335
-5.0,50.0,31,31,50.0,-5.0,86,-1.6666666666666667,-1.6666666666666667
50.0,50.0,32,32,50.0,10.0,88,25.0,5.0
10.0,50.0,33,33,50.0,50.0,91,3.3333333333333335,16.666666666666668
50.0,50.0,34,34,50.0,10.0,94,16.666666666666668,3.3333333333333335
10.0,50.0,35,35,50.0,50.0,97,3.3333333333333335,16.666666666666668
50.0,50.0,36,36,50.0,10.0,100,16.666666666666668,3.3333333333333335
