last-path-return_agent_0,episodes,episode_reward,mean-path-return_agent_1,total-samples,last-path-return_agent_1,max-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0
50.0,1,1,3.3333333333333335,3,10.0,10.0,50.0,16.666666666666668
-5.0,2,2,-1.6666666666666667,6,-5.0,10.0,50.0,-1.6666666666666667
10.0,3,3,16.666666666666668,9,50.0,50.0,50.0,3.3333333333333335
-5.0,4,4,-1.6666666666666667,12,-5.0,50.0,50.0,-1.6666666666666667
50.0,5,5,3.3333333333333335,15,10.0,50.0,50.0,16.666666666666668
50.0,6,6,5.0,17,10.0,50.0,50.0,25.0
10.0,7,7,16.666666666666668,20,50.0,50.0,50.0,3.3333333333333335
10.0,8,8,16.666666666666668,23,50.0,50.0,50.0,3.3333333333333335
50.0,9,9,3.3333333333333335,26,10.0,50.0,50.0,16.666666666666668
50.0,10,10,3.3333333333333335,29,10.0,50.0,50.0,16.666666666666668
50.0,11,11,3.3333333333333335,32,10.0,50.0,50.0,16.666666666666668
10.0,12,12,16.666666666666668,35,50.0,50.0,50.0,3.3333333333333335
-5.0,13,13,-1.6666666666666667,38,-5.0,50.0,50.0,-1.6666666666666667
50.0,14,14,3.3333333333333335,41,10.0,50.0,50.0,16.666666666666668
50.0,15,15,3.3333333333333335,44,10.0,50.0,50.0,16.666666666666668
10.0,16,16,16.666666666666668,47,50.0,50.0,50.0,3.3333333333333335
-5.0,17,17,-1.6666666666666667,50,-5.0,50.0,50.0,-1.6666666666666667
50.0,18,18,3.3333333333333335,53,10.0,50.0,50.0,16.666666666666668
50.0,19,19,3.3333333333333335,56,10.0,50.0,50.0,16.666666666666668
10.0,20,20,16.666666666666668,59,50.0,50.0,50.0,3.3333333333333335
-5.0,21,21,-1.6666666666666667,62,-5.0,50.0,50.0,-1.6666666666666667
-5.0,22,22,-2.5,64,-5.0,50.0,50.0,-2.5
10.0,23,23,16.666666666666668,67,50.0,50.0,50.0,3.3333333333333335
-5.0,24,24,-1.6666666666666667,70,-5.0,50.0,50.0,-1.6666666666666667
50.0,25,25,3.3333333333333335,73,10.0,50.0,50.0,16.666666666666668
-5.0,26,26,-2.5,75,-5.0,50.0,50.0,-2.5
10.0,27,27,25.0,77,50.0,50.0,50.0,5.0
50.0,28,28,3.3333333333333335,80,10.0,50.0,50.0,16.666666666666668
10.0,29,29,16.666666666666668,83,50.0,50.0,50.0,3.3333333333333335
50.0,30,30,3.3333333333333335,86,10.0,50.0,50.0,16.666666666666668
50.0,31,31,3.3333333333333335,89,10.0,50.0,50.0,16.666666666666668
50.0,32,32,3.3333333333333335,92,10.0,50.0,50.0,16.666666666666668
50.0,33,33,3.3333333333333335,95,10.0,50.0,50.0,16.666666666666668
50.0,34,34,3.3333333333333335,98,10.0,50.0,50.0,16.666666666666668
50.0,35,35,3.3333333333333335,101,10.0,50.0,50.0,16.666666666666668
50.0,36,36,3.3333333333333335,104,10.0,50.0,50.0,16.666666666666668
-5.0,37,37,-1.6666666666666667,107,-5.0,50.0,50.0,-1.6666666666666667
