last-path-return_agent_1,episodes,episode_reward,total-samples,last-path-return_agent_0,mean-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0,max-path-return_agent_1
-5.0,1,1,2,-5.0,-2.5,-5.0,-2.5,-5.0
50.0,2,2,5,10.0,16.666666666666668,10.0,3.3333333333333335,50.0
50.0,3,3,8,10.0,16.666666666666668,10.0,3.3333333333333335,50.0
50.0,4,4,11,10.0,16.666666666666668,10.0,3.3333333333333335,50.0
10.0,5,5,14,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,6,6,17,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
50.0,7,7,20,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
10.0,8,8,23,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,9,9,26,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,10,10,28,-5.0,-2.5,50.0,-2.5,50.0
10.0,11,11,31,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,12,12,34,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
10.0,13,13,37,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,14,14,40,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
50.0,15,15,43,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
10.0,16,16,46,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,17,17,49,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
-5.0,18,18,52,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
50.0,19,19,55,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,20,20,58,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,21,21,61,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
10.0,22,22,63,50.0,5.0,50.0,25.0,50.0
50.0,23,23,66,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
10.0,24,24,69,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,25,25,72,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
50.0,26,26,75,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,27,27,78,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,28,28,81,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
10.0,29,29,84,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,30,30,86,-5.0,-2.5,50.0,-2.5,50.0
10.0,31,31,89,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
50.0,32,32,92,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
10.0,33,33,94,50.0,5.0,50.0,25.0,50.0
10.0,34,34,97,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,35,35,100,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,36,36,103,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,37,37,106,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,38,38,109,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
50.0,39,39,112,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
-5.0,40,40,115,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
10.0,41,41,118,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,42,42,121,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
50.0,43,43,124,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
-5.0,44,44,127,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
10.0,45,45,130,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
50.0,46,46,133,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
-5.0,47,47,136,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
-5.0,48,48,139,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
50.0,49,49,142,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,50,50,145,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,51,51,148,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,52,52,151,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
-5.0,53,53,154,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
10.0,54,54,157,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,55,55,160,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,56,56,163,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
-5.0,57,57,166,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
50.0,58,58,169,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
-10.0,59,59,171,-10.0,-5.0,50.0,-5.0,50.0
-5.0,60,60,173,-5.0,-2.5,50.0,-2.5,50.0
-5.0,61,61,176,-5.0,-1.6666666666666667,50.0,-1.6666666666666667,50.0
10.0,62,62,179,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
10.0,63,63,181,50.0,5.0,50.0,25.0,50.0
10.0,64,64,184,50.0,3.3333333333333335,50.0,16.666666666666668,50.0
50.0,65,65,187,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,66,66,190,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,67,67,193,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
50.0,68,68,196,10.0,16.666666666666668,50.0,3.3333333333333335,50.0
-10.0,69,69,198,-10.0,-5.0,50.0,-5.0,50.0
-10.0,70,70,200,-10.0,-5.0,50.0,-5.0,50.0
