last-path-return_agent_1,mean-path-return_agent_0,max-path-return_agent_1,episode_reward,last-path-return_agent_0,max-path-return_agent_0,total-samples,mean-path-return_agent_1,episodes
50.0,3.3333333333333335,50.0,1,10.0,10.0,3,16.666666666666668,1
-5.0,-1.6666666666666667,50.0,2,-5.0,10.0,6,-1.6666666666666667,2
10.0,16.666666666666668,50.0,3,50.0,50.0,9,3.3333333333333335,3
10.0,16.666666666666668,50.0,4,50.0,50.0,12,3.3333333333333335,4
-5.0,-1.6666666666666667,50.0,5,-5.0,50.0,15,-1.6666666666666667,5
10.0,16.666666666666668,50.0,6,50.0,50.0,18,3.3333333333333335,6
-10.0,-5.0,50.0,7,-10.0,50.0,20,-5.0,7
10.0,16.666666666666668,50.0,8,50.0,50.0,23,3.3333333333333335,8
10.0,16.666666666666668,50.0,9,50.0,50.0,26,3.3333333333333335,9
-5.0,-1.6666666666666667,50.0,10,-5.0,50.0,29,-1.6666666666666667,10
10.0,16.666666666666668,50.0,11,50.0,50.0,32,3.3333333333333335,11
10.0,16.666666666666668,50.0,12,50.0,50.0,35,3.3333333333333335,12
50.0,3.3333333333333335,50.0,13,10.0,50.0,38,16.666666666666668,13
10.0,16.666666666666668,50.0,14,50.0,50.0,41,3.3333333333333335,14
10.0,16.666666666666668,50.0,15,50.0,50.0,44,3.3333333333333335,15
50.0,3.3333333333333335,50.0,16,10.0,50.0,47,16.666666666666668,16
50.0,3.3333333333333335,50.0,17,10.0,50.0,50,16.666666666666668,17
-5.0,-2.5,50.0,18,-5.0,50.0,52,-2.5,18
50.0,3.3333333333333335,50.0,19,10.0,50.0,55,16.666666666666668,19
10.0,16.666666666666668,50.0,20,50.0,50.0,58,3.3333333333333335,20
-5.0,-1.6666666666666667,50.0,21,-5.0,50.0,61,-1.6666666666666667,21
50.0,3.3333333333333335,50.0,22,10.0,50.0,64,16.666666666666668,22
-10.0,-5.0,50.0,23,-10.0,50.0,66,-5.0,23
-5.0,-1.6666666666666667,50.0,24,-5.0,50.0,69,-1.6666666666666667,24
-5.0,-2.5,50.0,25,-5.0,50.0,71,-2.5,25
10.0,16.666666666666668,50.0,26,50.0,50.0,74,3.3333333333333335,26
10.0,16.666666666666668,50.0,27,50.0,50.0,77,3.3333333333333335,27
50.0,3.3333333333333335,50.0,28,10.0,50.0,80,16.666666666666668,28
50.0,3.3333333333333335,50.0,29,10.0,50.0,83,16.666666666666668,29
50.0,3.3333333333333335,50.0,30,10.0,50.0,86,16.666666666666668,30
-10.0,-5.0,50.0,31,-10.0,50.0,88,-5.0,31
50.0,3.3333333333333335,50.0,32,10.0,50.0,91,16.666666666666668,32
10.0,16.666666666666668,50.0,33,50.0,50.0,94,3.3333333333333335,33
10.0,16.666666666666668,50.0,34,50.0,50.0,97,3.3333333333333335,34
-5.0,-1.6666666666666667,50.0,35,-5.0,50.0,100,-1.6666666666666667,35
-5.0,-1.6666666666666667,50.0,36,-5.0,50.0,103,-1.6666666666666667,36
10.0,16.666666666666668,50.0,37,50.0,50.0,106,3.3333333333333335,37
10.0,16.666666666666668,50.0,38,50.0,50.0,109,3.3333333333333335,38
-5.0,-2.5,50.0,39,-5.0,50.0,111,-2.5,39
10.0,16.666666666666668,50.0,40,50.0,50.0,114,3.3333333333333335,40
-10.0,-5.0,50.0,41,-10.0,50.0,116,-5.0,41
10.0,25.0,50.0,42,50.0,50.0,118,5.0,42
-5.0,-1.6666666666666667,50.0,43,-5.0,50.0,121,-1.6666666666666667,43
10.0,16.666666666666668,50.0,44,50.0,50.0,124,3.3333333333333335,44
10.0,16.666666666666668,50.0,45,50.0,50.0,127,3.3333333333333335,45
50.0,3.3333333333333335,50.0,46,10.0,50.0,130,16.666666666666668,46
50.0,3.3333333333333335,50.0,47,10.0,50.0,133,16.666666666666668,47
10.0,16.666666666666668,50.0,48,50.0,50.0,136,3.3333333333333335,48
50.0,3.3333333333333335,50.0,49,10.0,50.0,139,16.666666666666668,49
-5.0,-1.6666666666666667,50.0,50,-5.0,50.0,142,-1.6666666666666667,50
10.0,16.666666666666668,50.0,51,50.0,50.0,145,3.3333333333333335,51
50.0,3.3333333333333335,50.0,52,10.0,50.0,148,16.666666666666668,52
50.0,3.3333333333333335,50.0,53,10.0,50.0,151,16.666666666666668,53
10.0,16.666666666666668,50.0,54,50.0,50.0,154,3.3333333333333335,54
10.0,16.666666666666668,50.0,55,50.0,50.0,157,3.3333333333333335,55
10.0,25.0,50.0,56,50.0,50.0,159,5.0,56
50.0,3.3333333333333335,50.0,57,10.0,50.0,162,16.666666666666668,57
10.0,16.666666666666668,50.0,58,50.0,50.0,165,3.3333333333333335,58
-5.0,-1.6666666666666667,50.0,59,-5.0,50.0,168,-1.6666666666666667,59
-5.0,-2.5,50.0,60,-5.0,50.0,170,-2.5,60
50.0,3.3333333333333335,50.0,61,10.0,50.0,173,16.666666666666668,61
50.0,5.0,50.0,62,10.0,50.0,175,25.0,62
-5.0,-2.5,50.0,63,-5.0,50.0,177,-2.5,63
-5.0,-2.5,50.0,64,-5.0,50.0,179,-2.5,64
50.0,3.3333333333333335,50.0,65,10.0,50.0,182,16.666666666666668,65
-5.0,-1.6666666666666667,50.0,66,-5.0,50.0,185,-1.6666666666666667,66
-10.0,-5.0,50.0,67,-10.0,50.0,187,-5.0,67
50.0,5.0,50.0,68,10.0,50.0,189,25.0,68
