last-path-return_agent_1,last-path-return_agent_0,episode_reward,max-path-return_agent_0,total-samples,mean-path-return_agent_0,mean-path-return_agent_1,episodes,max-path-return_agent_1
-5.0,-5.0,1,-5.0,3,-1.6666666666666667,-1.6666666666666667,1,-5.0
-5.0,-5.0,2,-5.0,6,-1.6666666666666667,-1.6666666666666667,2,-5.0
50.0,10.0,3,10.0,9,3.3333333333333335,16.666666666666668,3,50.0
50.0,10.0,4,10.0,12,3.3333333333333335,16.666666666666668,4,50.0
10.0,50.0,5,50.0,15,16.666666666666668,3.3333333333333335,5,50.0
50.0,10.0,6,50.0,18,3.3333333333333335,16.666666666666668,6,50.0
50.0,10.0,7,50.0,21,3.3333333333333335,16.666666666666668,7,50.0
50.0,10.0,8,50.0,24,3.3333333333333335,16.666666666666668,8,50.0
10.0,50.0,9,50.0,27,16.666666666666668,3.3333333333333335,9,50.0
50.0,10.0,10,50.0,30,3.3333333333333335,16.666666666666668,10,50.0
50.0,10.0,11,50.0,33,3.3333333333333335,16.666666666666668,11,50.0
-5.0,-5.0,12,50.0,36,-1.6666666666666667,-1.6666666666666667,12,50.0
-5.0,-5.0,13,50.0,39,-1.6666666666666667,-1.6666666666666667,13,50.0
10.0,50.0,14,50.0,42,16.666666666666668,3.3333333333333335,14,50.0
10.0,50.0,15,50.0,45,16.666666666666668,3.3333333333333335,15,50.0
10.0,50.0,16,50.0,48,16.666666666666668,3.3333333333333335,16,50.0
10.0,50.0,17,50.0,51,16.666666666666668,3.3333333333333335,17,50.0
10.0,50.0,18,50.0,53,25.0,5.0,18,50.0
50.0,10.0,19,50.0,56,3.3333333333333335,16.666666666666668,19,50.0
-5.0,-5.0,20,50.0,58,-2.5,-2.5,20,50.0
50.0,10.0,21,50.0,61,3.3333333333333335,16.666666666666668,21,50.0
-10.0,-10.0,22,50.0,63,-5.0,-5.0,22,50.0
-5.0,-5.0,23,50.0,66,-1.6666666666666667,-1.6666666666666667,23,50.0
10.0,50.0,24,50.0,68,25.0,5.0,24,50.0
10.0,50.0,25,50.0,71,16.666666666666668,3.3333333333333335,25,50.0
-5.0,-5.0,26,50.0,74,-1.6666666666666667,-1.6666666666666667,26,50.0
-5.0,-5.0,27,50.0,76,-2.5,-2.5,27,50.0
-10.0,-10.0,28,50.0,78,-5.0,-5.0,28,50.0
50.0,10.0,29,50.0,81,3.3333333333333335,16.666666666666668,29,50.0
10.0,50.0,30,50.0,84,16.666666666666668,3.3333333333333335,30,50.0
50.0,10.0,31,50.0,87,3.3333333333333335,16.666666666666668,31,50.0
10.0,50.0,32,50.0,90,16.666666666666668,3.3333333333333335,32,50.0
50.0,10.0,33,50.0,93,3.3333333333333335,16.666666666666668,33,50.0
50.0,10.0,34,50.0,96,3.3333333333333335,16.666666666666668,34,50.0
10.0,50.0,35,50.0,99,16.666666666666668,3.3333333333333335,35,50.0
