max-path-return_agent_1,total-samples,mean-path-return_agent_1,mean-path-return_agent_0,episodes,last-path-return_agent_0,episode_reward,last-path-return_agent_1,max-path-return_agent_0
10.0,3,3.3333333333333335,16.666666666666668,1,50.0,1,10.0,50.0
10.0,6,3.3333333333333335,16.666666666666668,2,50.0,2,10.0,50.0
50.0,9,16.666666666666668,3.3333333333333335,3,10.0,3,50.0,50.0
50.0,12,-1.6666666666666667,-1.6666666666666667,4,-5.0,4,-5.0,50.0
50.0,14,-5.0,-5.0,5,-10.0,5,-10.0,50.0
50.0,17,3.3333333333333335,16.666666666666668,6,50.0,6,10.0,50.0
50.0,20,3.3333333333333335,16.666666666666668,7,50.0,7,10.0,50.0
50.0,23,-1.6666666666666667,-1.6666666666666667,8,-5.0,8,-5.0,50.0
50.0,26,16.666666666666668,3.3333333333333335,9,10.0,9,50.0,50.0
50.0,29,16.666666666666668,3.3333333333333335,10,10.0,10,50.0,50.0
50.0,32,3.3333333333333335,16.666666666666668,11,50.0,11,10.0,50.0
50.0,34,-2.5,-2.5,12,-5.0,12,-5.0,50.0
50.0,37,3.3333333333333335,16.666666666666668,13,50.0,13,10.0,50.0
50.0,39,-5.0,-5.0,14,-10.0,14,-10.0,50.0
50.0,42,-1.6666666666666667,-1.6666666666666667,15,-5.0,15,-5.0,50.0
50.0,45,16.666666666666668,3.3333333333333335,16,10.0,16,50.0,50.0
50.0,48,-1.6666666666666667,-1.6666666666666667,17,-5.0,17,-5.0,50.0
50.0,51,-1.6666666666666667,-1.6666666666666667,18,-5.0,18,-5.0,50.0
50.0,54,3.3333333333333335,16.666666666666668,19,50.0,19,10.0,50.0
50.0,57,3.3333333333333335,16.666666666666668,20,50.0,20,10.0,50.0
50.0,60,16.666666666666668,3.3333333333333335,21,10.0,21,50.0,50.0
50.0,62,5.0,25.0,22,50.0,22,10.0,50.0
50.0,64,5.0,25.0,23,50.0,23,10.0,50.0
50.0,67,16.666666666666668,3.3333333333333335,24,10.0,24,50.0,50.0
50.0,70,3.3333333333333335,16.666666666666668,25,50.0,25,10.0,50.0
50.0,73,3.3333333333333335,16.666666666666668,26,50.0,26,10.0,50.0
50.0,76,-1.6666666666666667,-1.6666666666666667,27,-5.0,27,-5.0,50.0
50.0,79,16.666666666666668,3.3333333333333335,28,10.0,28,50.0,50.0
50.0,82,-1.6666666666666667,-1.6666666666666667,29,-5.0,29,-5.0,50.0
50.0,85,16.666666666666668,3.3333333333333335,30,10.0,30,50.0,50.0
50.0,87,-2.5,-2.5,31,-5.0,31,-5.0,50.0
50.0,90,3.3333333333333335,16.666666666666668,32,50.0,32,10.0,50.0
50.0,93,3.3333333333333335,16.666666666666668,33,50.0,33,10.0,50.0
50.0,96,16.666666666666668,3.3333333333333335,34,10.0,34,50.0,50.0
50.0,99,16.666666666666668,3.3333333333333335,35,10.0,35,50.0,50.0
50.0,102,3.3333333333333335,16.666666666666668,36,50.0,36,10.0,50.0
50.0,105,16.666666666666668,3.3333333333333335,37,10.0,37,50.0,50.0
50.0,108,-1.6666666666666667,-1.6666666666666667,38,-5.0,38,-5.0,50.0
50.0,111,3.3333333333333335,16.666666666666668,39,50.0,39,10.0,50.0
