last-path-return_agent_0,total-samples,mean-path-return_agent_0,max-path-return_agent_1,episodes,episode_reward,mean-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_0
50.0,3,16.666666666666668,10.0,1,1,3.3333333333333335,10.0,50.0
10.0,6,3.3333333333333335,50.0,2,2,16.666666666666668,50.0,50.0
-5.0,9,-1.6666666666666667,50.0,3,3,-1.6666666666666667,-5.0,50.0
-5.0,12,-1.6666666666666667,50.0,4,4,-1.6666666666666667,-5.0,50.0
10.0,15,3.3333333333333335,50.0,5,5,16.666666666666668,50.0,50.0
10.0,18,3.3333333333333335,50.0,6,6,16.666666666666668,50.0,50.0
-5.0,20,-2.5,50.0,7,7,-2.5,-5.0,50.0
10.0,23,3.3333333333333335,50.0,8,8,16.666666666666668,50.0,50.0
50.0,25,25.0,50.0,9,9,5.0,10.0,50.0
10.0,27,5.0,50.0,10,10,25.0,50.0,50.0
10.0,30,3.3333333333333335,50.0,11,11,16.666666666666668,50.0,50.0
10.0,33,3.3333333333333335,50.0,12,12,16.666666666666668,50.0,50.0
50.0,36,16.666666666666668,50.0,13,13,3.3333333333333335,10.0,50.0
50.0,38,25.0,50.0,14,14,5.0,10.0,50.0
10.0,41,3.3333333333333335,50.0,15,15,16.666666666666668,50.0,50.0
-5.0,44,-1.6666666666666667,50.0,16,16,-1.6666666666666667,-5.0,50.0
10.0,47,3.3333333333333335,50.0,17,17,16.666666666666668,50.0,50.0
10.0,50,3.3333333333333335,50.0,18,18,16.666666666666668,50.0,50.0
50.0,53,16.666666666666668,50.0,19,19,3.3333333333333335,10.0,50.0
10.0,56,3.3333333333333335,50.0,20,20,16.666666666666668,50.0,50.0
10.0,59,3.3333333333333335,50.0,21,21,16.666666666666668,50.0,50.0
10.0,61,5.0,50.0,22,22,25.0,50.0,50.0
50.0,63,25.0,50.0,23,23,5.0,10.0,50.0
10.0,66,3.3333333333333335,50.0,24,24,16.666666666666668,50.0,50.0
-5.0,69,-1.6666666666666667,50.0,25,25,-1.6666666666666667,-5.0,50.0
10.0,71,5.0,50.0,26,26,25.0,50.0,50.0
-10.0,73,-5.0,50.0,27,27,-5.0,-10.0,50.0
10.0,76,3.3333333333333335,50.0,28,28,16.666666666666668,50.0,50.0
50.0,78,25.0,50.0,29,29,5.0,10.0,50.0
50.0,81,16.666666666666668,50.0,30,30,3.3333333333333335,10.0,50.0
10.0,84,3.3333333333333335,50.0,31,31,16.666666666666668,50.0,50.0
50.0,87,16.666666666666668,50.0,32,32,3.3333333333333335,10.0,50.0
50.0,90,16.666666666666668,50.0,33,33,3.3333333333333335,10.0,50.0
50.0,93,16.666666666666668,50.0,34,34,3.3333333333333335,10.0,50.0
10.0,96,3.3333333333333335,50.0,35,35,16.666666666666668,50.0,50.0
10.0,99,3.3333333333333335,50.0,36,36,16.666666666666668,50.0,50.0
