total-samples,max-path-return_agent_1,last-path-return_agent_0,max-path-return_agent_0,episodes,mean-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_0,episode_reward
2,-10.0,-10.0,-10.0,1,-5.0,-10.0,-5.0,1
5,50.0,10.0,10.0,2,16.666666666666668,50.0,3.3333333333333335,2
8,50.0,10.0,10.0,3,16.666666666666668,50.0,3.3333333333333335,3
10,50.0,-10.0,10.0,4,-5.0,-10.0,-5.0,4
13,50.0,10.0,10.0,5,16.666666666666668,50.0,3.3333333333333335,5
15,50.0,-5.0,10.0,6,-2.5,-5.0,-2.5,6
18,50.0,50.0,50.0,7,3.3333333333333335,10.0,16.666666666666668,7
21,50.0,-5.0,50.0,8,-1.6666666666666667,-5.0,-1.6666666666666667,8
24,50.0,10.0,50.0,9,16.666666666666668,50.0,3.3333333333333335,9
27,50.0,10.0,50.0,10,16.666666666666668,50.0,3.3333333333333335,10
30,50.0,50.0,50.0,11,3.3333333333333335,10.0,16.666666666666668,11
33,50.0,50.0,50.0,12,3.3333333333333335,10.0,16.666666666666668,12
36,50.0,10.0,50.0,13,16.666666666666668,50.0,3.3333333333333335,13
38,50.0,50.0,50.0,14,5.0,10.0,25.0,14
41,50.0,-5.0,50.0,15,-1.6666666666666667,-5.0,-1.6666666666666667,15
44,50.0,-5.0,50.0,16,-1.6666666666666667,-5.0,-1.6666666666666667,16
47,50.0,10.0,50.0,17,16.666666666666668,50.0,3.3333333333333335,17
50,50.0,10.0,50.0,18,16.666666666666668,50.0,3.3333333333333335,18
52,50.0,-10.0,50.0,19,-5.0,-10.0,-5.0,19
54,50.0,10.0,50.0,20,25.0,50.0,5.0,20
57,50.0,10.0,50.0,21,16.666666666666668,50.0,3.3333333333333335,21
59,50.0,10.0,50.0,22,25.0,50.0,5.0,22
61,50.0,-5.0,50.0,23,-2.5,-5.0,-2.5,23
64,50.0,50.0,50.0,24,3.3333333333333335,10.0,16.666666666666668,24
67,50.0,50.0,50.0,25,3.3333333333333335,10.0,16.666666666666668,25
70,50.0,10.0,50.0,26,16.666666666666668,50.0,3.3333333333333335,26
73,50.0,50.0,50.0,27,3.3333333333333335,10.0,16.666666666666668,27
75,50.0,10.0,50.0,28,25.0,50.0,5.0,28
78,50.0,50.0,50.0,29,3.3333333333333335,10.0,16.666666666666668,29
81,50.0,50.0,50.0,30,3.3333333333333335,10.0,16.666666666666668,30
84,50.0,50.0,50.0,31,3.3333333333333335,10.0,16.666666666666668,31
87,50.0,50.0,50.0,32,3.3333333333333335,10.0,16.666666666666668,32
90,50.0,-5.0,50.0,33,-1.6666666666666667,-5.0,-1.6666666666666667,33
93,50.0,50.0,50.0,34,3.3333333333333335,10.0,16.666666666666668,34
96,50.0,10.0,50.0,35,16.666666666666668,50.0,3.3333333333333335,35
99,50.0,10.0,50.0,36,16.666666666666668,50.0,3.3333333333333335,36
