max-path-return_agent_1,mean-path-return_agent_0,episodes,max-path-return_agent_0,last-path-return_agent_1,mean-path-return_agent_1,total-samples,episode_reward,last-path-return_agent_0
50.0,5.0,1,10.0,50.0,25.0,2,1,10.0
50.0,16.666666666666668,2,50.0,10.0,3.3333333333333335,5,2,50.0
50.0,-1.6666666666666667,3,50.0,-5.0,-1.6666666666666667,8,3,-5.0
50.0,25.0,4,50.0,10.0,5.0,10,4,50.0
50.0,16.666666666666668,5,50.0,10.0,3.3333333333333335,13,5,50.0
50.0,16.666666666666668,6,50.0,10.0,3.3333333333333335,16,6,50.0
50.0,3.3333333333333335,7,50.0,50.0,16.666666666666668,19,7,10.0
50.0,-1.6666666666666667,8,50.0,-5.0,-1.6666666666666667,22,8,-5.0
50.0,3.3333333333333335,9,50.0,50.0,16.666666666666668,25,9,10.0
50.0,3.3333333333333335,10,50.0,50.0,16.666666666666668,28,10,10.0
50.0,3.3333333333333335,11,50.0,50.0,16.666666666666668,31,11,10.0
50.0,-2.5,12,50.0,-5.0,-2.5,33,12,-5.0
50.0,-1.6666666666666667,13,50.0,-5.0,-1.6666666666666667,36,13,-5.0
50.0,16.666666666666668,14,50.0,10.0,3.3333333333333335,39,14,50.0
50.0,5.0,15,50.0,50.0,25.0,41,15,10.0
50.0,3.3333333333333335,16,50.0,50.0,16.666666666666668,44,16,10.0
50.0,3.3333333333333335,17,50.0,50.0,16.666666666666668,47,17,10.0
50.0,16.666666666666668,18,50.0,10.0,3.3333333333333335,50,18,50.0
50.0,-5.0,19,50.0,-10.0,-5.0,52,19,-10.0
50.0,16.666666666666668,20,50.0,10.0,3.3333333333333335,55,20,50.0
50.0,3.3333333333333335,21,50.0,50.0,16.666666666666668,58,21,10.0
50.0,3.3333333333333335,22,50.0,50.0,16.666666666666668,61,22,10.0
50.0,16.666666666666668,23,50.0,10.0,3.3333333333333335,64,23,50.0
50.0,25.0,24,50.0,10.0,5.0,66,24,50.0
50.0,16.666666666666668,25,50.0,10.0,3.3333333333333335,69,25,50.0
50.0,-1.6666666666666667,26,50.0,-5.0,-1.6666666666666667,72,26,-5.0
50.0,16.666666666666668,27,50.0,10.0,3.3333333333333335,75,27,50.0
50.0,3.3333333333333335,28,50.0,50.0,16.666666666666668,78,28,10.0
50.0,3.3333333333333335,29,50.0,50.0,16.666666666666668,81,29,10.0
50.0,3.3333333333333335,30,50.0,50.0,16.666666666666668,84,30,10.0
50.0,3.3333333333333335,31,50.0,50.0,16.666666666666668,87,31,10.0
50.0,16.666666666666668,32,50.0,10.0,3.3333333333333335,90,32,50.0
50.0,-2.5,33,50.0,-5.0,-2.5,92,33,-5.0
50.0,-1.6666666666666667,34,50.0,-5.0,-1.6666666666666667,95,34,-5.0
50.0,16.666666666666668,35,50.0,10.0,3.3333333333333335,98,35,50.0
50.0,3.3333333333333335,36,50.0,50.0,16.666666666666668,101,36,10.0
