episodes,max-path-return_agent_0,episode_reward,total-samples,max-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,mean-path-return_agent_1
1,50.0,1,3,10.0,50.0,16.666666666666668,10.0,3.3333333333333335
2,50.0,2,5,50.0,10.0,5.0,50.0,25.0
3,50.0,3,8,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
4,50.0,4,10,50.0,-10.0,-5.0,-10.0,-5.0
5,50.0,5,13,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
6,50.0,6,16,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
7,50.0,7,18,50.0,10.0,5.0,50.0,25.0
8,50.0,8,21,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
9,50.0,9,24,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
10,50.0,10,27,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
11,50.0,11,30,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
12,50.0,12,33,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
13,50.0,13,35,50.0,-5.0,-2.5,-5.0,-2.5
14,50.0,14,38,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
15,50.0,15,41,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
16,50.0,16,44,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
17,50.0,17,47,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
18,50.0,18,49,50.0,10.0,5.0,50.0,25.0
19,50.0,19,51,50.0,50.0,25.0,10.0,5.0
20,50.0,20,54,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
21,50.0,21,57,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
22,50.0,22,60,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
23,50.0,23,63,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
24,50.0,24,65,50.0,-5.0,-2.5,-5.0,-2.5
25,50.0,25,68,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
26,50.0,26,71,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
27,50.0,27,74,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
28,50.0,28,77,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
29,50.0,29,80,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
30,50.0,30,83,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
31,50.0,31,86,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
32,50.0,32,89,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
33,50.0,33,92,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
34,50.0,34,95,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
35,50.0,35,98,50.0,10.0,3.3333333333333335,50.0,16.666666666666668
36,50.0,36,101,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
37,50.0,37,104,50.0,-5.0,-1.6666666666666667,-5.0,-1.6666666666666667
38,50.0,38,107,50.0,50.0,16.666666666666668,10.0,3.3333333333333335
