max-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_1,episode_reward,mean-path-return_agent_0,episodes,max-path-return_agent_0,total-samples,last-path-return_agent_1
-5.0,-5.0,-2.5,1,-2.5,1,-5.0,2,-5.0
50.0,10.0,16.666666666666668,2,3.3333333333333335,2,10.0,5,50.0
50.0,-5.0,-1.6666666666666667,3,-1.6666666666666667,3,10.0,8,-5.0
50.0,-5.0,-1.6666666666666667,4,-1.6666666666666667,4,10.0,11,-5.0
50.0,-5.0,-2.5,5,-2.5,5,10.0,13,-5.0
50.0,10.0,16.666666666666668,6,3.3333333333333335,6,10.0,16,50.0
50.0,10.0,16.666666666666668,7,3.3333333333333335,7,10.0,19,50.0
50.0,10.0,16.666666666666668,8,3.3333333333333335,8,10.0,22,50.0
50.0,50.0,3.3333333333333335,9,16.666666666666668,9,50.0,25,10.0
50.0,-10.0,-5.0,10,-5.0,10,50.0,27,-10.0
50.0,-5.0,-2.5,11,-2.5,11,50.0,29,-5.0
50.0,50.0,3.3333333333333335,12,16.666666666666668,12,50.0,32,10.0
50.0,10.0,16.666666666666668,13,3.3333333333333335,13,50.0,35,50.0
50.0,50.0,3.3333333333333335,14,16.666666666666668,14,50.0,38,10.0
50.0,10.0,16.666666666666668,15,3.3333333333333335,15,50.0,41,50.0
50.0,50.0,3.3333333333333335,16,16.666666666666668,16,50.0,44,10.0
50.0,10.0,16.666666666666668,17,3.3333333333333335,17,50.0,47,50.0
50.0,50.0,3.3333333333333335,18,16.666666666666668,18,50.0,50,10.0
50.0,-5.0,-2.5,19,-2.5,19,50.0,52,-5.0
50.0,50.0,3.3333333333333335,20,16.666666666666668,20,50.0,55,10.0
50.0,-5.0,-2.5,21,-2.5,21,50.0,57,-5.0
50.0,10.0,25.0,22,5.0,22,50.0,59,50.0
50.0,10.0,25.0,23,5.0,23,50.0,61,50.0
50.0,10.0,16.666666666666668,24,3.3333333333333335,24,50.0,64,50.0
50.0,10.0,16.666666666666668,25,3.3333333333333335,25,50.0,67,50.0
50.0,10.0,16.666666666666668,26,3.3333333333333335,26,50.0,70,50.0
50.0,50.0,3.3333333333333335,27,16.666666666666668,27,50.0,73,10.0
50.0,-10.0,-5.0,28,-5.0,28,50.0,75,-10.0
50.0,50.0,5.0,29,25.0,29,50.0,77,10.0
50.0,50.0,3.3333333333333335,30,16.666666666666668,30,50.0,80,10.0
50.0,-5.0,-1.6666666666666667,31,-1.6666666666666667,31,50.0,83,-5.0
50.0,-5.0,-1.6666666666666667,32,-1.6666666666666667,32,50.0,86,-5.0
50.0,10.0,16.666666666666668,33,3.3333333333333335,33,50.0,89,50.0
50.0,50.0,3.3333333333333335,34,16.666666666666668,34,50.0,92,10.0
50.0,10.0,25.0,35,5.0,35,50.0,94,50.0
50.0,50.0,3.3333333333333335,36,16.666666666666668,36,50.0,97,10.0
50.0,50.0,3.3333333333333335,37,16.666666666666668,37,50.0,100,10.0
