max-path-return_agent_1,episode_reward,total-samples,last-path-return_agent_1,mean-path-return_agent_0,last-path-return_agent_0,episodes,max-path-return_agent_0,mean-path-return_agent_1
50.0,1,3,50.0,3.3333333333333335,10.0,1,10.0,16.666666666666668
50.0,2,6,-5.0,-1.6666666666666667,-5.0,2,10.0,-1.6666666666666667
50.0,3,9,50.0,3.3333333333333335,10.0,3,10.0,16.666666666666668
50.0,4,12,50.0,3.3333333333333335,10.0,4,10.0,16.666666666666668
50.0,5,15,-5.0,-1.6666666666666667,-5.0,5,10.0,-1.6666666666666667
50.0,6,17,-10.0,-5.0,-10.0,6,10.0,-5.0
50.0,7,20,10.0,16.666666666666668,50.0,7,50.0,3.3333333333333335
50.0,8,23,50.0,3.3333333333333335,10.0,8,50.0,16.666666666666668
50.0,9,25,-10.0,-5.0,-10.0,9,50.0,-5.0
50.0,10,28,50.0,3.3333333333333335,10.0,10,50.0,16.666666666666668
50.0,11,31,50.0,3.3333333333333335,10.0,11,50.0,16.666666666666668
50.0,12,34,-5.0,-1.6666666666666667,-5.0,12,50.0,-1.6666666666666667
50.0,13,36,10.0,25.0,50.0,13,50.0,5.0
50.0,14,39,-5.0,-1.6666666666666667,-5.0,14,50.0,-1.6666666666666667
50.0,15,42,-5.0,-1.6666666666666667,-5.0,15,50.0,-1.6666666666666667
50.0,16,45,-5.0,-1.6666666666666667,-5.0,16,50.0,-1.6666666666666667
50.0,17,48,50.0,3.3333333333333335,10.0,17,50.0,16.666666666666668
50.0,18,51,50.0,3.3333333333333335,10.0,18,50.0,16.666666666666668
50.0,19,54,50.0,3.3333333333333335,10.0,19,50.0,16.666666666666668
50.0,20,57,10.0,16.666666666666668,50.0,20,50.0,3.3333333333333335
50.0,21,59,10.0,25.0,50.0,21,50.0,5.0
50.0,22,62,-5.0,-1.6666666666666667,-5.0,22,50.0,-1.6666666666666667
50.0,23,65,50.0,3.3333333333333335,10.0,23,50.0,16.666666666666668
50.0,24,67,50.0,5.0,10.0,24,50.0,25.0
50.0,25,70,-5.0,-1.6666666666666667,-5.0,25,50.0,-1.6666666666666667
50.0,26,73,50.0,3.3333333333333335,10.0,26,50.0,16.666666666666668
50.0,27,75,10.0,25.0,50.0,27,50.0,5.0
50.0,28,78,50.0,3.3333333333333335,10.0,28,50.0,16.666666666666668
50.0,29,81,-5.0,-1.6666666666666667,-5.0,29,50.0,-1.6666666666666667
50.0,30,84,10.0,16.666666666666668,50.0,30,50.0,3.3333333333333335
50.0,31,87,50.0,3.3333333333333335,10.0,31,50.0,16.666666666666668
50.0,32,90,50.0,3.3333333333333335,10.0,32,50.0,16.666666666666668
50.0,33,93,10.0,16.666666666666668,50.0,33,50.0,3.3333333333333335
50.0,34,95,-10.0,-5.0,-10.0,34,50.0,-5.0
50.0,35,98,50.0,3.3333333333333335,10.0,35,50.0,16.666666666666668
50.0,36,101,10.0,16.666666666666668,50.0,36,50.0,3.3333333333333335
50.0,37,103,-5.0,-2.5,-5.0,37,50.0,-2.5
50.0,38,106,10.0,16.666666666666668,50.0,38,50.0,3.3333333333333335
50.0,39,109,50.0,3.3333333333333335,10.0,39,50.0,16.666666666666668
50.0,40,112,10.0,16.666666666666668,50.0,40,50.0,3.3333333333333335
50.0,41,115,10.0,16.666666666666668,50.0,41,50.0,3.3333333333333335
50.0,42,118,-5.0,-1.6666666666666667,-5.0,42,50.0,-1.6666666666666667
50.0,43,121,-5.0,-1.6666666666666667,-5.0,43,50.0,-1.6666666666666667
50.0,44,124,50.0,3.3333333333333335,10.0,44,50.0,16.666666666666668
50.0,45,127,50.0,3.3333333333333335,10.0,45,50.0,16.666666666666668
50.0,46,130,50.0,3.3333333333333335,10.0,46,50.0,16.666666666666668
50.0,47,133,-5.0,-1.6666666666666667,-5.0,47,50.0,-1.6666666666666667
50.0,48,136,10.0,16.666666666666668,50.0,48,50.0,3.3333333333333335
50.0,49,139,50.0,3.3333333333333335,10.0,49,50.0,16.666666666666668
50.0,50,142,10.0,16.666666666666668,50.0,50,50.0,3.3333333333333335
50.0,51,145,10.0,16.666666666666668,50.0,51,50.0,3.3333333333333335
50.0,52,147,-10.0,-5.0,-10.0,52,50.0,-5.0
50.0,53,149,-10.0,-5.0,-10.0,53,50.0,-5.0
50.0,54,151,-10.0,-5.0,-10.0,54,50.0,-5.0
50.0,55,153,-10.0,-5.0,-10.0,55,50.0,-5.0
50.0,56,155,10.0,25.0,50.0,56,50.0,5.0
50.0,57,158,10.0,16.666666666666668,50.0,57,50.0,3.3333333333333335
50.0,58,161,50.0,3.3333333333333335,10.0,58,50.0,16.666666666666668
50.0,59,164,10.0,16.666666666666668,50.0,59,50.0,3.3333333333333335
50.0,60,167,50.0,3.3333333333333335,10.0,60,50.0,16.666666666666668
50.0,61,170,50.0,3.3333333333333335,10.0,61,50.0,16.666666666666668
50.0,62,173,10.0,16.666666666666668,50.0,62,50.0,3.3333333333333335
50.0,63,176,10.0,16.666666666666668,50.0,63,50.0,3.3333333333333335
50.0,64,179,50.0,3.3333333333333335,10.0,64,50.0,16.666666666666668
50.0,65,182,10.0,16.666666666666668,50.0,65,50.0,3.3333333333333335
50.0,66,185,50.0,3.3333333333333335,10.0,66,50.0,16.666666666666668
50.0,67,188,-5.0,-1.6666666666666667,-5.0,67,50.0,-1.6666666666666667
50.0,68,191,50.0,3.3333333333333335,10.0,68,50.0,16.666666666666668
50.0,69,194,50.0,3.3333333333333335,10.0,69,50.0,16.666666666666668
50.0,70,197,50.0,3.3333333333333335,10.0,70,50.0,16.666666666666668
50.0,71,200,50.0,3.3333333333333335,10.0,71,50.0,16.666666666666668
50.0,72,203,50.0,3.3333333333333335,10.0,72,50.0,16.666666666666668
50.0,73,206,50.0,3.3333333333333335,10.0,73,50.0,16.666666666666668
