max-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_1,max-path-return_agent_0,episode_reward,episodes,last-path-return_agent_1,total-samples,mean-path-return_agent_0
50.0,10.0,16.666666666666668,10.0,1,1,50.0,3,3.3333333333333335
50.0,50.0,3.3333333333333335,50.0,2,2,10.0,6,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,3,3,10.0,9,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,4,4,10.0,12,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,5,5,10.0,15,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,6,6,10.0,18,16.666666666666668
50.0,10.0,16.666666666666668,50.0,7,7,50.0,21,3.3333333333333335
50.0,10.0,16.666666666666668,50.0,8,8,50.0,24,3.3333333333333335
50.0,10.0,16.666666666666668,50.0,9,9,50.0,27,3.3333333333333335
50.0,10.0,16.666666666666668,50.0,10,10,50.0,30,3.3333333333333335
50.0,10.0,16.666666666666668,50.0,11,11,50.0,33,3.3333333333333335
50.0,50.0,3.3333333333333335,50.0,12,12,10.0,36,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,13,13,10.0,39,16.666666666666668
50.0,-5.0,-1.6666666666666667,50.0,14,14,-5.0,42,-1.6666666666666667
50.0,10.0,16.666666666666668,50.0,15,15,50.0,45,3.3333333333333335
50.0,-10.0,-5.0,50.0,16,16,-10.0,47,-5.0
50.0,50.0,3.3333333333333335,50.0,17,17,10.0,50,16.666666666666668
50.0,-5.0,-1.6666666666666667,50.0,18,18,-5.0,53,-1.6666666666666667
50.0,-5.0,-1.6666666666666667,50.0,19,19,-5.0,56,-1.6666666666666667
50.0,-5.0,-1.6666666666666667,50.0,20,20,-5.0,59,-1.6666666666666667
50.0,10.0,16.666666666666668,50.0,21,21,50.0,62,3.3333333333333335
50.0,10.0,16.666666666666668,50.0,22,22,50.0,65,3.3333333333333335
50.0,10.0,16.666666666666668,50.0,23,23,50.0,68,3.3333333333333335
50.0,-5.0,-2.5,50.0,24,24,-5.0,70,-2.5
50.0,50.0,3.3333333333333335,50.0,25,25,10.0,73,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,26,26,10.0,76,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,27,27,10.0,79,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,28,28,10.0,82,16.666666666666668
50.0,10.0,16.666666666666668,50.0,29,29,50.0,85,3.3333333333333335
50.0,-5.0,-1.6666666666666667,50.0,30,30,-5.0,88,-1.6666666666666667
50.0,-10.0,-5.0,50.0,31,31,-10.0,90,-5.0
50.0,10.0,16.666666666666668,50.0,32,32,50.0,93,3.3333333333333335
50.0,50.0,3.3333333333333335,50.0,33,33,10.0,96,16.666666666666668
50.0,10.0,16.666666666666668,50.0,34,34,50.0,99,3.3333333333333335
50.0,50.0,3.3333333333333335,50.0,35,35,10.0,102,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,36,36,10.0,105,16.666666666666668
50.0,10.0,16.666666666666668,50.0,37,37,50.0,108,3.3333333333333335
50.0,-5.0,-1.6666666666666667,50.0,38,38,-5.0,111,-1.6666666666666667
50.0,50.0,3.3333333333333335,50.0,39,39,10.0,114,16.666666666666668
50.0,50.0,3.3333333333333335,50.0,40,40,10.0,117,16.666666666666668
50.0,-10.0,-5.0,50.0,41,41,-10.0,119,-5.0
50.0,10.0,16.666666666666668,50.0,42,42,50.0,122,3.3333333333333335
50.0,10.0,16.666666666666668,50.0,43,43,50.0,125,3.3333333333333335
50.0,50.0,3.3333333333333335,50.0,44,44,10.0,128,16.666666666666668
