episode_reward,max-path-return_agent_0,last-path-return_agent_0,total-samples,mean-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_0,episodes,max-path-return_agent_1
1,50.0,50.0,3,3.3333333333333335,10.0,16.666666666666668,1,10.0
2,50.0,50.0,5,5.0,10.0,25.0,2,10.0
3,50.0,-10.0,7,-5.0,-10.0,-5.0,3,10.0
4,50.0,-5.0,10,-1.6666666666666667,-5.0,-1.6666666666666667,4,10.0
5,50.0,10.0,13,16.666666666666668,50.0,3.3333333333333335,5,50.0
6,50.0,-10.0,15,-5.0,-10.0,-5.0,6,50.0
7,50.0,50.0,18,3.3333333333333335,10.0,16.666666666666668,7,50.0
8,50.0,50.0,21,3.3333333333333335,10.0,16.666666666666668,8,50.0
9,50.0,-5.0,24,-1.6666666666666667,-5.0,-1.6666666666666667,9,50.0
10,50.0,10.0,27,16.666666666666668,50.0,3.3333333333333335,10,50.0
11,50.0,10.0,30,16.666666666666668,50.0,3.3333333333333335,11,50.0
12,50.0,10.0,33,16.666666666666668,50.0,3.3333333333333335,12,50.0
13,50.0,50.0,35,5.0,10.0,25.0,13,50.0
14,50.0,10.0,38,16.666666666666668,50.0,3.3333333333333335,14,50.0
15,50.0,-10.0,40,-5.0,-10.0,-5.0,15,50.0
16,50.0,-5.0,42,-2.5,-5.0,-2.5,16,50.0
17,50.0,10.0,45,16.666666666666668,50.0,3.3333333333333335,17,50.0
18,50.0,-5.0,48,-1.6666666666666667,-5.0,-1.6666666666666667,18,50.0
19,50.0,10.0,51,16.666666666666668,50.0,3.3333333333333335,19,50.0
20,50.0,50.0,53,5.0,10.0,25.0,20,50.0
21,50.0,-5.0,56,-1.6666666666666667,-5.0,-1.6666666666666667,21,50.0
22,50.0,-5.0,58,-2.5,-5.0,-2.5,22,50.0
23,50.0,10.0,61,16.666666666666668,50.0,3.3333333333333335,23,50.0
24,50.0,50.0,63,5.0,10.0,25.0,24,50.0
25,50.0,50.0,66,3.3333333333333335,10.0,16.666666666666668,25,50.0
26,50.0,-5.0,69,-1.6666666666666667,-5.0,-1.6666666666666667,26,50.0
27,50.0,10.0,72,16.666666666666668,50.0,3.3333333333333335,27,50.0
