total-samples,mean-path-return_agent_0,max-path-return_agent_1,episode_reward,mean-path-return_agent_1,last-path-return_agent_0,max-path-return_agent_0,last-path-return_agent_1,episodes
3,3.3333333333333335,50.0,1,16.666666666666668,10.0,10.0,50.0,1
5,-2.5,50.0,2,-2.5,-5.0,10.0,-5.0,2
7,-5.0,50.0,3,-5.0,-10.0,10.0,-10.0,3
10,16.666666666666668,50.0,4,3.3333333333333335,50.0,50.0,10.0,4
13,3.3333333333333335,50.0,5,16.666666666666668,10.0,50.0,50.0,5
16,16.666666666666668,50.0,6,3.3333333333333335,50.0,50.0,10.0,6
18,-2.5,50.0,7,-2.5,-5.0,50.0,-5.0,7
21,16.666666666666668,50.0,8,3.3333333333333335,50.0,50.0,10.0,8
24,16.666666666666668,50.0,9,3.3333333333333335,50.0,50.0,10.0,9
27,16.666666666666668,50.0,10,3.3333333333333335,50.0,50.0,10.0,10
29,-2.5,50.0,11,-2.5,-5.0,50.0,-5.0,11
32,3.3333333333333335,50.0,12,16.666666666666668,10.0,50.0,50.0,12
34,-2.5,50.0,13,-2.5,-5.0,50.0,-5.0,13
37,16.666666666666668,50.0,14,3.3333333333333335,50.0,50.0,10.0,14
39,-2.5,50.0,15,-2.5,-5.0,50.0,-5.0,15
42,16.666666666666668,50.0,16,3.3333333333333335,50.0,50.0,10.0,16
45,3.3333333333333335,50.0,17,16.666666666666668,10.0,50.0,50.0,17
47,-2.5,50.0,18,-2.5,-5.0,50.0,-5.0,18
49,-2.5,50.0,19,-2.5,-5.0,50.0,-5.0,19
51,-5.0,50.0,20,-5.0,-10.0,50.0,-10.0,20
54,3.3333333333333335,50.0,21,16.666666666666668,10.0,50.0,50.0,21
57,16.666666666666668,50.0,22,3.3333333333333335,50.0,50.0,10.0,22
60,-1.6666666666666667,50.0,23,-1.6666666666666667,-5.0,50.0,-5.0,23
64,12.5,50.0,24,2.5,50.0,50.0,10.0,24
67,16.666666666666668,50.0,25,3.3333333333333335,50.0,50.0,10.0,25
70,16.666666666666668,50.0,26,3.3333333333333335,50.0,50.0,10.0,26
73,3.3333333333333335,50.0,27,16.666666666666668,10.0,50.0,50.0,27
76,16.666666666666668,50.0,28,3.3333333333333335,50.0,50.0,10.0,28
79,16.666666666666668,50.0,29,3.3333333333333335,50.0,50.0,10.0,29
81,-2.5,50.0,30,-2.5,-5.0,50.0,-5.0,30
83,-2.5,50.0,31,-2.5,-5.0,50.0,-5.0,31
86,-1.6666666666666667,50.0,32,-1.6666666666666667,-5.0,50.0,-5.0,32
89,3.3333333333333335,50.0,33,16.666666666666668,10.0,50.0,50.0,33
91,-5.0,50.0,34,-5.0,-10.0,50.0,-10.0,34
94,16.666666666666668,50.0,35,3.3333333333333335,50.0,50.0,10.0,35
97,16.666666666666668,50.0,36,3.3333333333333335,50.0,50.0,10.0,36
100,16.666666666666668,50.0,37,3.3333333333333335,50.0,50.0,10.0,37
102,-2.5,50.0,38,-2.5,-5.0,50.0,-5.0,38
105,16.666666666666668,50.0,39,3.3333333333333335,50.0,50.0,10.0,39
107,-2.5,50.0,40,-2.5,-5.0,50.0,-5.0,40
110,3.3333333333333335,50.0,41,16.666666666666668,10.0,50.0,50.0,41
113,16.666666666666668,50.0,42,3.3333333333333335,50.0,50.0,10.0,42
116,3.3333333333333335,50.0,43,16.666666666666668,10.0,50.0,50.0,43
119,3.3333333333333335,50.0,44,16.666666666666668,10.0,50.0,50.0,44
122,3.3333333333333335,50.0,45,16.666666666666668,10.0,50.0,50.0,45
125,3.3333333333333335,50.0,46,16.666666666666668,10.0,50.0,50.0,46
128,16.666666666666668,50.0,47,3.3333333333333335,50.0,50.0,10.0,47
131,3.3333333333333335,50.0,48,16.666666666666668,10.0,50.0,50.0,48
134,16.666666666666668,50.0,49,3.3333333333333335,50.0,50.0,10.0,49
138,2.5,50.0,50,12.5,10.0,50.0,50.0,50
141,16.666666666666668,50.0,51,3.3333333333333335,50.0,50.0,10.0,51
144,16.666666666666668,50.0,52,3.3333333333333335,50.0,50.0,10.0,52
146,-2.5,50.0,53,-2.5,-5.0,50.0,-5.0,53
149,16.666666666666668,50.0,54,3.3333333333333335,50.0,50.0,10.0,54
151,-5.0,50.0,55,-5.0,-10.0,50.0,-10.0,55
154,16.666666666666668,50.0,56,3.3333333333333335,50.0,50.0,10.0,56
157,3.3333333333333335,50.0,57,16.666666666666668,10.0,50.0,50.0,57
160,16.666666666666668,50.0,58,3.3333333333333335,50.0,50.0,10.0,58
163,16.666666666666668,50.0,59,3.3333333333333335,50.0,50.0,10.0,59
166,16.666666666666668,50.0,60,3.3333333333333335,50.0,50.0,10.0,60
169,16.666666666666668,50.0,61,3.3333333333333335,50.0,50.0,10.0,61
171,-2.5,50.0,62,-2.5,-5.0,50.0,-5.0,62
174,16.666666666666668,50.0,63,3.3333333333333335,50.0,50.0,10.0,63
177,3.3333333333333335,50.0,64,16.666666666666668,10.0,50.0,50.0,64
180,3.3333333333333335,50.0,65,16.666666666666668,10.0,50.0,50.0,65
184,12.5,50.0,66,2.5,50.0,50.0,10.0,66
187,16.666666666666668,50.0,67,3.3333333333333335,50.0,50.0,10.0,67
190,16.666666666666668,50.0,68,3.3333333333333335,50.0,50.0,10.0,68
193,3.3333333333333335,50.0,69,16.666666666666668,10.0,50.0,50.0,69
196,3.3333333333333335,50.0,70,16.666666666666668,10.0,50.0,50.0,70
199,3.3333333333333335,50.0,71,16.666666666666668,10.0,50.0,50.0,71
202,16.666666666666668,50.0,72,3.3333333333333335,50.0,50.0,10.0,72
205,16.666666666666668,50.0,73,3.3333333333333335,50.0,50.0,10.0,73
208,-1.6666666666666667,50.0,74,-1.6666666666666667,-5.0,50.0,-5.0,74
211,16.666666666666668,50.0,75,3.3333333333333335,50.0,50.0,10.0,75
214,3.3333333333333335,50.0,76,16.666666666666668,10.0,50.0,50.0,76
217,3.3333333333333335,50.0,77,16.666666666666668,10.0,50.0,50.0,77
220,16.666666666666668,50.0,78,3.3333333333333335,50.0,50.0,10.0,78
223,16.666666666666668,50.0,79,3.3333333333333335,50.0,50.0,10.0,79
226,3.3333333333333335,50.0,80,16.666666666666668,10.0,50.0,50.0,80
229,16.666666666666668,50.0,81,3.3333333333333335,50.0,50.0,10.0,81
232,16.666666666666668,50.0,82,3.3333333333333335,50.0,50.0,10.0,82
235,16.666666666666668,50.0,83,3.3333333333333335,50.0,50.0,10.0,83
237,-5.0,50.0,84,-5.0,-10.0,50.0,-10.0,84
240,3.3333333333333335,50.0,85,16.666666666666668,10.0,50.0,50.0,85
242,-2.5,50.0,86,-2.5,-5.0,50.0,-5.0,86
245,16.666666666666668,50.0,87,3.3333333333333335,50.0,50.0,10.0,87
248,16.666666666666668,50.0,88,3.3333333333333335,50.0,50.0,10.0,88
251,16.666666666666668,50.0,89,3.3333333333333335,50.0,50.0,10.0,89
253,5.0,50.0,90,25.0,10.0,50.0,50.0,90
256,16.666666666666668,50.0,91,3.3333333333333335,50.0,50.0,10.0,91
259,16.666666666666668,50.0,92,3.3333333333333335,50.0,50.0,10.0,92
262,16.666666666666668,50.0,93,3.3333333333333335,50.0,50.0,10.0,93
265,3.3333333333333335,50.0,94,16.666666666666668,10.0,50.0,50.0,94
268,3.3333333333333335,50.0,95,16.666666666666668,10.0,50.0,50.0,95
271,16.666666666666668,50.0,96,3.3333333333333335,50.0,50.0,10.0,96
274,16.666666666666668,50.0,97,3.3333333333333335,50.0,50.0,10.0,97
277,16.666666666666668,50.0,98,3.3333333333333335,50.0,50.0,10.0,98
280,-1.6666666666666667,50.0,99,-1.6666666666666667,-5.0,50.0,-5.0,99
283,3.3333333333333335,50.0,100,16.666666666666668,10.0,50.0,50.0,100
286,16.666666666666668,50.0,101,3.3333333333333335,50.0,50.0,10.0,101
289,-1.6666666666666667,50.0,102,-1.6666666666666667,-5.0,50.0,-5.0,102
291,-2.5,50.0,103,-2.5,-5.0,50.0,-5.0,103
294,3.3333333333333335,50.0,104,16.666666666666668,10.0,50.0,50.0,104
297,-1.6666666666666667,50.0,105,-1.6666666666666667,-5.0,50.0,-5.0,105
300,-1.6666666666666667,50.0,106,-1.6666666666666667,-5.0,50.0,-5.0,106
303,3.3333333333333335,50.0,107,16.666666666666668,10.0,50.0,50.0,107
306,-1.6666666666666667,50.0,108,-1.6666666666666667,-5.0,50.0,-5.0,108
309,-1.6666666666666667,50.0,109,-1.6666666666666667,-5.0,50.0,-5.0,109
312,16.666666666666668,50.0,110,3.3333333333333335,50.0,50.0,10.0,110
315,3.3333333333333335,50.0,111,16.666666666666668,10.0,50.0,50.0,111
318,3.3333333333333335,50.0,112,16.666666666666668,10.0,50.0,50.0,112
320,25.0,50.0,113,5.0,50.0,50.0,10.0,113
322,5.0,50.0,114,25.0,10.0,50.0,50.0,114
325,3.3333333333333335,50.0,115,16.666666666666668,10.0,50.0,50.0,115
328,16.666666666666668,50.0,116,3.3333333333333335,50.0,50.0,10.0,116
331,-1.6666666666666667,50.0,117,-1.6666666666666667,-5.0,50.0,-5.0,117
334,16.666666666666668,50.0,118,3.3333333333333335,50.0,50.0,10.0,118
337,3.3333333333333335,50.0,119,16.666666666666668,10.0,50.0,50.0,119
340,3.3333333333333335,50.0,120,16.666666666666668,10.0,50.0,50.0,120
343,16.666666666666668,50.0,121,3.3333333333333335,50.0,50.0,10.0,121
345,-2.5,50.0,122,-2.5,-5.0,50.0,-5.0,122
347,-2.5,50.0,123,-2.5,-5.0,50.0,-5.0,123
350,3.3333333333333335,50.0,124,16.666666666666668,10.0,50.0,50.0,124
353,16.666666666666668,50.0,125,3.3333333333333335,50.0,50.0,10.0,125
355,-2.5,50.0,126,-2.5,-5.0,50.0,-5.0,126
358,3.3333333333333335,50.0,127,16.666666666666668,10.0,50.0,50.0,127
361,3.3333333333333335,50.0,128,16.666666666666668,10.0,50.0,50.0,128
364,16.666666666666668,50.0,129,3.3333333333333335,50.0,50.0,10.0,129
367,16.666666666666668,50.0,130,3.3333333333333335,50.0,50.0,10.0,130
370,3.3333333333333335,50.0,131,16.666666666666668,10.0,50.0,50.0,131
373,16.666666666666668,50.0,132,3.3333333333333335,50.0,50.0,10.0,132
376,-1.6666666666666667,50.0,133,-1.6666666666666667,-5.0,50.0,-5.0,133
379,3.3333333333333335,50.0,134,16.666666666666668,10.0,50.0,50.0,134
382,16.666666666666668,50.0,135,3.3333333333333335,50.0,50.0,10.0,135
385,3.3333333333333335,50.0,136,16.666666666666668,10.0,50.0,50.0,136
388,3.3333333333333335,50.0,137,16.666666666666668,10.0,50.0,50.0,137
391,16.666666666666668,50.0,138,3.3333333333333335,50.0,50.0,10.0,138
394,3.3333333333333335,50.0,139,16.666666666666668,10.0,50.0,50.0,139
