total-samples,mean-path-return_agent_1,max-path-return_agent_0,last-path-return_agent_1,episode_reward,last-path-return_agent_0,episodes,mean-path-return_agent_0,max-path-return_agent_1
3,3.3333333333333335,50.0,10.0,1,50.0,1,16.666666666666668,10.0
6,16.666666666666668,50.0,50.0,2,10.0,2,3.3333333333333335,50.0
8,-5.0,50.0,-10.0,3,-10.0,3,-5.0,50.0
10,5.0,50.0,10.0,4,50.0,4,25.0,50.0
13,16.666666666666668,50.0,50.0,5,10.0,5,3.3333333333333335,50.0
16,3.3333333333333335,50.0,10.0,6,50.0,6,16.666666666666668,50.0
19,3.3333333333333335,50.0,10.0,7,50.0,7,16.666666666666668,50.0
22,3.3333333333333335,50.0,10.0,8,50.0,8,16.666666666666668,50.0
25,3.3333333333333335,50.0,10.0,9,50.0,9,16.666666666666668,50.0
28,-1.6666666666666667,50.0,-5.0,10,-5.0,10,-1.6666666666666667,50.0
31,16.666666666666668,50.0,50.0,11,10.0,11,3.3333333333333335,50.0
34,3.3333333333333335,50.0,10.0,12,50.0,12,16.666666666666668,50.0
37,3.3333333333333335,50.0,10.0,13,50.0,13,16.666666666666668,50.0
40,3.3333333333333335,50.0,10.0,14,50.0,14,16.666666666666668,50.0
43,16.666666666666668,50.0,50.0,15,10.0,15,3.3333333333333335,50.0
46,-1.6666666666666667,50.0,-5.0,16,-5.0,16,-1.6666666666666667,50.0
49,3.3333333333333335,50.0,10.0,17,50.0,17,16.666666666666668,50.0
52,3.3333333333333335,50.0,10.0,18,50.0,18,16.666666666666668,50.0
55,16.666666666666668,50.0,50.0,19,10.0,19,3.3333333333333335,50.0
58,3.3333333333333335,50.0,10.0,20,50.0,20,16.666666666666668,50.0
61,3.3333333333333335,50.0,10.0,21,50.0,21,16.666666666666668,50.0
64,3.3333333333333335,50.0,10.0,22,50.0,22,16.666666666666668,50.0
66,25.0,50.0,50.0,23,10.0,23,5.0,50.0
69,16.666666666666668,50.0,50.0,24,10.0,24,3.3333333333333335,50.0
72,-1.6666666666666667,50.0,-5.0,25,-5.0,25,-1.6666666666666667,50.0
74,-5.0,50.0,-10.0,26,-10.0,26,-5.0,50.0
77,-1.6666666666666667,50.0,-5.0,27,-5.0,27,-1.6666666666666667,50.0
80,16.666666666666668,50.0,50.0,28,10.0,28,3.3333333333333335,50.0
83,-1.6666666666666667,50.0,-5.0,29,-5.0,29,-1.6666666666666667,50.0
86,16.666666666666668,50.0,50.0,30,10.0,30,3.3333333333333335,50.0
89,3.3333333333333335,50.0,10.0,31,50.0,31,16.666666666666668,50.0
92,16.666666666666668,50.0,50.0,32,10.0,32,3.3333333333333335,50.0
95,-1.6666666666666667,50.0,-5.0,33,-5.0,33,-1.6666666666666667,50.0
