mean-path-return_agent_1,max-path-return_agent_1,episodes,max-path-return_agent_0,last-path-return_agent_0,episode_reward,total-samples,last-path-return_agent_1,mean-path-return_agent_0
16.666666666666668,50.0,1,10.0,10.0,1,3,50.0,3.3333333333333335
-1.6666666666666667,50.0,2,10.0,-5.0,2,6,-5.0,-1.6666666666666667
-5.0,50.0,3,10.0,-10.0,3,8,-10.0,-5.0
3.3333333333333335,50.0,4,50.0,50.0,4,11,10.0,16.666666666666668
3.3333333333333335,50.0,5,50.0,50.0,5,14,10.0,16.666666666666668
-2.5,50.0,6,50.0,-5.0,6,16,-5.0,-2.5
3.3333333333333335,50.0,7,50.0,50.0,7,19,10.0,16.666666666666668
3.3333333333333335,50.0,8,50.0,50.0,8,22,10.0,16.666666666666668
16.666666666666668,50.0,9,50.0,10.0,9,25,50.0,3.3333333333333335
16.666666666666668,50.0,10,50.0,10.0,10,28,50.0,3.3333333333333335
16.666666666666668,50.0,11,50.0,10.0,11,31,50.0,3.3333333333333335
16.666666666666668,50.0,12,50.0,10.0,12,34,50.0,3.3333333333333335
16.666666666666668,50.0,13,50.0,10.0,13,37,50.0,3.3333333333333335
3.3333333333333335,50.0,14,50.0,50.0,14,40,10.0,16.666666666666668
-2.5,50.0,15,50.0,-5.0,15,42,-5.0,-2.5
3.3333333333333335,50.0,16,50.0,50.0,16,45,10.0,16.666666666666668
-1.6666666666666667,50.0,17,50.0,-5.0,17,48,-5.0,-1.6666666666666667
16.666666666666668,50.0,18,50.0,10.0,18,51,50.0,3.3333333333333335
25.0,50.0,19,50.0,10.0,19,53,50.0,5.0
25.0,50.0,20,50.0,10.0,20,55,50.0,5.0
16.666666666666668,50.0,21,50.0,10.0,21,58,50.0,3.3333333333333335
-2.5,50.0,22,50.0,-5.0,22,60,-5.0,-2.5
16.666666666666668,50.0,23,50.0,10.0,23,63,50.0,3.3333333333333335
16.666666666666668,50.0,24,50.0,10.0,24,66,50.0,3.3333333333333335
16.666666666666668,50.0,25,50.0,10.0,25,69,50.0,3.3333333333333335
16.666666666666668,50.0,26,50.0,10.0,26,72,50.0,3.3333333333333335
3.3333333333333335,50.0,27,50.0,50.0,27,75,10.0,16.666666666666668
16.666666666666668,50.0,28,50.0,10.0,28,78,50.0,3.3333333333333335
-1.6666666666666667,50.0,29,50.0,-5.0,29,81,-5.0,-1.6666666666666667
25.0,50.0,30,50.0,10.0,30,83,50.0,5.0
3.3333333333333335,50.0,31,50.0,50.0,31,86,10.0,16.666666666666668
