last-path-return_agent_1,last-path-return_agent_0,episode_reward,mean-path-return_agent_0,episodes,max-path-return_agent_0,total-samples,max-path-return_agent_1,mean-path-return_agent_1
-5.0,-5.0,1,-1.6666666666666667,1,-5.0,3,-5.0,-1.6666666666666667
50.0,10.0,2,3.3333333333333335,2,10.0,6,50.0,16.666666666666668
50.0,10.0,3,3.3333333333333335,3,10.0,9,50.0,16.666666666666668
10.0,50.0,4,25.0,4,50.0,11,50.0,5.0
-5.0,-5.0,5,-1.6666666666666667,5,50.0,14,50.0,-1.6666666666666667
50.0,10.0,6,3.3333333333333335,6,50.0,17,50.0,16.666666666666668
50.0,10.0,7,3.3333333333333335,7,50.0,20,50.0,16.666666666666668
-5.0,-5.0,8,-1.6666666666666667,8,50.0,23,50.0,-1.6666666666666667
50.0,10.0,9,3.3333333333333335,9,50.0,26,50.0,16.666666666666668
-5.0,-5.0,10,-1.6666666666666667,10,50.0,29,50.0,-1.6666666666666667
-5.0,-5.0,11,-1.6666666666666667,11,50.0,32,50.0,-1.6666666666666667
50.0,10.0,12,3.3333333333333335,12,50.0,35,50.0,16.666666666666668
10.0,50.0,13,16.666666666666668,13,50.0,38,50.0,3.3333333333333335
-5.0,-5.0,14,-1.6666666666666667,14,50.0,41,50.0,-1.6666666666666667
10.0,50.0,15,16.666666666666668,15,50.0,44,50.0,3.3333333333333335
10.0,50.0,16,25.0,16,50.0,46,50.0,5.0
50.0,10.0,17,3.3333333333333335,17,50.0,49,50.0,16.666666666666668
50.0,10.0,18,3.3333333333333335,18,50.0,52,50.0,16.666666666666668
50.0,10.0,19,3.3333333333333335,19,50.0,55,50.0,16.666666666666668
50.0,10.0,20,3.3333333333333335,20,50.0,58,50.0,16.666666666666668
10.0,50.0,21,16.666666666666668,21,50.0,61,50.0,3.3333333333333335
50.0,10.0,22,3.3333333333333335,22,50.0,64,50.0,16.666666666666668
-5.0,-5.0,23,-2.5,23,50.0,66,50.0,-2.5
10.0,50.0,24,16.666666666666668,24,50.0,69,50.0,3.3333333333333335
10.0,50.0,25,16.666666666666668,25,50.0,72,50.0,3.3333333333333335
10.0,50.0,26,16.666666666666668,26,50.0,75,50.0,3.3333333333333335
-5.0,-5.0,27,-1.6666666666666667,27,50.0,78,50.0,-1.6666666666666667
-5.0,-5.0,28,-1.6666666666666667,28,50.0,81,50.0,-1.6666666666666667
-5.0,-5.0,29,-1.6666666666666667,29,50.0,84,50.0,-1.6666666666666667
10.0,50.0,30,16.666666666666668,30,50.0,87,50.0,3.3333333333333335
-5.0,-5.0,31,-1.6666666666666667,31,50.0,90,50.0,-1.6666666666666667
50.0,10.0,32,3.3333333333333335,32,50.0,93,50.0,16.666666666666668
10.0,50.0,33,16.666666666666668,33,50.0,96,50.0,3.3333333333333335
-5.0,-5.0,34,-1.6666666666666667,34,50.0,99,50.0,-1.6666666666666667
-5.0,-5.0,35,-1.6666666666666667,35,50.0,102,50.0,-1.6666666666666667
50.0,10.0,36,3.3333333333333335,36,50.0,105,50.0,16.666666666666668
10.0,50.0,37,16.666666666666668,37,50.0,108,50.0,3.3333333333333335
-10.0,-10.0,38,-5.0,38,50.0,110,50.0,-5.0
10.0,50.0,39,16.666666666666668,39,50.0,113,50.0,3.3333333333333335
50.0,10.0,40,3.3333333333333335,40,50.0,116,50.0,16.666666666666668
-5.0,-5.0,41,-2.5,41,50.0,118,50.0,-2.5
10.0,50.0,42,16.666666666666668,42,50.0,121,50.0,3.3333333333333335
50.0,10.0,43,3.3333333333333335,43,50.0,124,50.0,16.666666666666668
-5.0,-5.0,44,-2.5,44,50.0,126,50.0,-2.5
-5.0,-5.0,45,-1.6666666666666667,45,50.0,129,50.0,-1.6666666666666667
-5.0,-5.0,46,-2.5,46,50.0,131,50.0,-2.5
50.0,10.0,47,3.3333333333333335,47,50.0,134,50.0,16.666666666666668
10.0,50.0,48,16.666666666666668,48,50.0,137,50.0,3.3333333333333335
10.0,50.0,49,16.666666666666668,49,50.0,140,50.0,3.3333333333333335
-5.0,-5.0,50,-2.5,50,50.0,142,50.0,-2.5
-5.0,-5.0,51,-1.6666666666666667,51,50.0,145,50.0,-1.6666666666666667
50.0,10.0,52,3.3333333333333335,52,50.0,148,50.0,16.666666666666668
10.0,50.0,53,16.666666666666668,53,50.0,151,50.0,3.3333333333333335
10.0,50.0,54,16.666666666666668,54,50.0,154,50.0,3.3333333333333335
-5.0,-5.0,55,-1.6666666666666667,55,50.0,157,50.0,-1.6666666666666667
50.0,10.0,56,3.3333333333333335,56,50.0,160,50.0,16.666666666666668
10.0,50.0,57,16.666666666666668,57,50.0,163,50.0,3.3333333333333335
10.0,50.0,58,16.666666666666668,58,50.0,166,50.0,3.3333333333333335
-5.0,-5.0,59,-1.6666666666666667,59,50.0,169,50.0,-1.6666666666666667
10.0,50.0,60,16.666666666666668,60,50.0,172,50.0,3.3333333333333335
50.0,10.0,61,3.3333333333333335,61,50.0,175,50.0,16.666666666666668
10.0,50.0,62,16.666666666666668,62,50.0,178,50.0,3.3333333333333335
50.0,10.0,63,3.3333333333333335,63,50.0,181,50.0,16.666666666666668
50.0,10.0,64,3.3333333333333335,64,50.0,184,50.0,16.666666666666668
10.0,50.0,65,16.666666666666668,65,50.0,187,50.0,3.3333333333333335
50.0,10.0,66,3.3333333333333335,66,50.0,190,50.0,16.666666666666668
50.0,10.0,67,3.3333333333333335,67,50.0,193,50.0,16.666666666666668
-5.0,-5.0,68,-1.6666666666666667,68,50.0,196,50.0,-1.6666666666666667
50.0,10.0,69,3.3333333333333335,69,50.0,199,50.0,16.666666666666668
-5.0,-5.0,70,-2.5,70,50.0,201,50.0,-2.5
10.0,50.0,71,16.666666666666668,71,50.0,204,50.0,3.3333333333333335
10.0,50.0,72,16.666666666666668,72,50.0,207,50.0,3.3333333333333335
-5.0,-5.0,73,-1.6666666666666667,73,50.0,210,50.0,-1.6666666666666667
50.0,10.0,74,3.3333333333333335,74,50.0,213,50.0,16.666666666666668
50.0,10.0,75,3.3333333333333335,75,50.0,216,50.0,16.666666666666668
10.0,50.0,76,16.666666666666668,76,50.0,219,50.0,3.3333333333333335
-5.0,-5.0,77,-2.5,77,50.0,221,50.0,-2.5
50.0,10.0,78,3.3333333333333335,78,50.0,224,50.0,16.666666666666668
-5.0,-5.0,79,-1.6666666666666667,79,50.0,227,50.0,-1.6666666666666667
50.0,10.0,80,3.3333333333333335,80,50.0,230,50.0,16.666666666666668
50.0,10.0,81,3.3333333333333335,81,50.0,233,50.0,16.666666666666668
10.0,50.0,82,12.5,82,50.0,237,50.0,2.5
-5.0,-5.0,83,-2.5,83,50.0,239,50.0,-2.5
-5.0,-5.0,84,-1.6666666666666667,84,50.0,242,50.0,-1.6666666666666667
-5.0,-5.0,85,-1.6666666666666667,85,50.0,245,50.0,-1.6666666666666667
-5.0,-5.0,86,-1.6666666666666667,86,50.0,248,50.0,-1.6666666666666667
50.0,10.0,87,3.3333333333333335,87,50.0,251,50.0,16.666666666666668
10.0,50.0,88,16.666666666666668,88,50.0,254,50.0,3.3333333333333335
50.0,10.0,89,5.0,89,50.0,256,50.0,25.0
-5.0,-5.0,90,-1.6666666666666667,90,50.0,259,50.0,-1.6666666666666667
-5.0,-5.0,91,-1.6666666666666667,91,50.0,262,50.0,-1.6666666666666667
50.0,10.0,92,3.3333333333333335,92,50.0,265,50.0,16.666666666666668
-5.0,-5.0,93,-1.6666666666666667,93,50.0,268,50.0,-1.6666666666666667
10.0,50.0,94,16.666666666666668,94,50.0,271,50.0,3.3333333333333335
50.0,10.0,95,3.3333333333333335,95,50.0,274,50.0,16.666666666666668
10.0,50.0,96,25.0,96,50.0,276,50.0,5.0
50.0,10.0,97,3.3333333333333335,97,50.0,279,50.0,16.666666666666668
10.0,50.0,98,16.666666666666668,98,50.0,282,50.0,3.3333333333333335
50.0,10.0,99,3.3333333333333335,99,50.0,285,50.0,16.666666666666668
-5.0,-5.0,100,-1.6666666666666667,100,50.0,288,50.0,-1.6666666666666667
-5.0,-5.0,101,-1.6666666666666667,101,50.0,291,50.0,-1.6666666666666667
50.0,10.0,102,3.3333333333333335,102,50.0,294,50.0,16.666666666666668
10.0,50.0,103,16.666666666666668,103,50.0,297,50.0,3.3333333333333335
10.0,50.0,104,16.666666666666668,104,50.0,300,50.0,3.3333333333333335
50.0,10.0,105,3.3333333333333335,105,50.0,303,50.0,16.666666666666668
10.0,50.0,106,16.666666666666668,106,50.0,306,50.0,3.3333333333333335
10.0,50.0,107,16.666666666666668,107,50.0,309,50.0,3.3333333333333335
10.0,50.0,108,16.666666666666668,108,50.0,312,50.0,3.3333333333333335
10.0,50.0,109,16.666666666666668,109,50.0,315,50.0,3.3333333333333335
10.0,50.0,110,16.666666666666668,110,50.0,318,50.0,3.3333333333333335
10.0,50.0,111,16.666666666666668,111,50.0,321,50.0,3.3333333333333335
10.0,50.0,112,25.0,112,50.0,323,50.0,5.0
10.0,50.0,113,16.666666666666668,113,50.0,326,50.0,3.3333333333333335
10.0,50.0,114,16.666666666666668,114,50.0,329,50.0,3.3333333333333335
-10.0,-10.0,115,-5.0,115,50.0,331,50.0,-5.0
-10.0,-10.0,116,-5.0,116,50.0,333,50.0,-5.0
50.0,10.0,117,3.3333333333333335,117,50.0,336,50.0,16.666666666666668
-5.0,-5.0,118,-2.5,118,50.0,338,50.0,-2.5
-5.0,-5.0,119,-2.5,119,50.0,340,50.0,-2.5
10.0,50.0,120,16.666666666666668,120,50.0,343,50.0,3.3333333333333335
50.0,10.0,121,3.3333333333333335,121,50.0,346,50.0,16.666666666666668
10.0,50.0,122,16.666666666666668,122,50.0,349,50.0,3.3333333333333335
-5.0,-5.0,123,-1.6666666666666667,123,50.0,352,50.0,-1.6666666666666667
-5.0,-5.0,124,-2.5,124,50.0,354,50.0,-2.5
-5.0,-5.0,125,-1.6666666666666667,125,50.0,357,50.0,-1.6666666666666667
50.0,10.0,126,3.3333333333333335,126,50.0,360,50.0,16.666666666666668
-5.0,-5.0,127,-1.6666666666666667,127,50.0,363,50.0,-1.6666666666666667
10.0,50.0,128,16.666666666666668,128,50.0,366,50.0,3.3333333333333335
-10.0,-10.0,129,-5.0,129,50.0,368,50.0,-5.0
10.0,50.0,130,16.666666666666668,130,50.0,371,50.0,3.3333333333333335
50.0,10.0,131,5.0,131,50.0,373,50.0,25.0
50.0,10.0,132,3.3333333333333335,132,50.0,376,50.0,16.666666666666668
10.0,50.0,133,16.666666666666668,133,50.0,379,50.0,3.3333333333333335
-10.0,-10.0,134,-5.0,134,50.0,381,50.0,-5.0
50.0,10.0,135,3.3333333333333335,135,50.0,384,50.0,16.666666666666668
50.0,10.0,136,3.3333333333333335,136,50.0,387,50.0,16.666666666666668
50.0,10.0,137,3.3333333333333335,137,50.0,390,50.0,16.666666666666668
-5.0,-5.0,138,-1.6666666666666667,138,50.0,393,50.0,-1.6666666666666667
10.0,50.0,139,16.666666666666668,139,50.0,396,50.0,3.3333333333333335
10.0,50.0,140,16.666666666666668,140,50.0,399,50.0,3.3333333333333335
10.0,50.0,141,16.666666666666668,141,50.0,402,50.0,3.3333333333333335
10.0,50.0,142,16.666666666666668,142,50.0,405,50.0,3.3333333333333335
10.0,50.0,143,16.666666666666668,143,50.0,408,50.0,3.3333333333333335
-5.0,-5.0,144,-2.5,144,50.0,410,50.0,-2.5
50.0,10.0,145,3.3333333333333335,145,50.0,413,50.0,16.666666666666668
50.0,10.0,146,3.3333333333333335,146,50.0,416,50.0,16.666666666666668
10.0,50.0,147,16.666666666666668,147,50.0,419,50.0,3.3333333333333335
10.0,50.0,148,16.666666666666668,148,50.0,422,50.0,3.3333333333333335
10.0,50.0,149,16.666666666666668,149,50.0,425,50.0,3.3333333333333335
-5.0,-5.0,150,-1.6666666666666667,150,50.0,428,50.0,-1.6666666666666667
50.0,10.0,151,3.3333333333333335,151,50.0,431,50.0,16.666666666666668
50.0,10.0,152,3.3333333333333335,152,50.0,434,50.0,16.666666666666668
-10.0,-10.0,153,-5.0,153,50.0,436,50.0,-5.0
