total-samples,episodes,last-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1,mean-path-return_agent_1,episode_reward,mean-path-return_agent_0,max-path-return_agent_0
3,1,-5.0,-5.0,-5.0,-1.6666666666666667,1,-1.6666666666666667,-5.0
6,2,10.0,50.0,50.0,16.666666666666668,2,3.3333333333333335,10.0
9,3,50.0,10.0,50.0,3.3333333333333335,3,16.666666666666668,50.0
12,4,50.0,10.0,50.0,3.3333333333333335,4,16.666666666666668,50.0
15,5,10.0,50.0,50.0,16.666666666666668,5,3.3333333333333335,50.0
18,6,50.0,10.0,50.0,3.3333333333333335,6,16.666666666666668,50.0
21,7,10.0,50.0,50.0,16.666666666666668,7,3.3333333333333335,50.0
24,8,10.0,50.0,50.0,16.666666666666668,8,3.3333333333333335,50.0
27,9,10.0,50.0,50.0,16.666666666666668,9,3.3333333333333335,50.0
30,10,10.0,50.0,50.0,16.666666666666668,10,3.3333333333333335,50.0
32,11,50.0,10.0,50.0,5.0,11,25.0,50.0
35,12,10.0,50.0,50.0,16.666666666666668,12,3.3333333333333335,50.0
38,13,-5.0,-5.0,50.0,-1.6666666666666667,13,-1.6666666666666667,50.0
41,14,50.0,10.0,50.0,3.3333333333333335,14,16.666666666666668,50.0
44,15,50.0,10.0,50.0,3.3333333333333335,15,16.666666666666668,50.0
47,16,10.0,50.0,50.0,16.666666666666668,16,3.3333333333333335,50.0
50,17,50.0,10.0,50.0,3.3333333333333335,17,16.666666666666668,50.0
52,18,-5.0,-5.0,50.0,-2.5,18,-2.5,50.0
55,19,-5.0,-5.0,50.0,-1.6666666666666667,19,-1.6666666666666667,50.0
58,20,50.0,10.0,50.0,3.3333333333333335,20,16.666666666666668,50.0
61,21,-5.0,-5.0,50.0,-1.6666666666666667,21,-1.6666666666666667,50.0
64,22,10.0,50.0,50.0,16.666666666666668,22,3.3333333333333335,50.0
67,23,50.0,10.0,50.0,3.3333333333333335,23,16.666666666666668,50.0
70,24,-5.0,-5.0,50.0,-1.6666666666666667,24,-1.6666666666666667,50.0
73,25,10.0,50.0,50.0,16.666666666666668,25,3.3333333333333335,50.0
76,26,50.0,10.0,50.0,3.3333333333333335,26,16.666666666666668,50.0
78,27,10.0,50.0,50.0,25.0,27,5.0,50.0
81,28,10.0,50.0,50.0,16.666666666666668,28,3.3333333333333335,50.0
84,29,50.0,10.0,50.0,3.3333333333333335,29,16.666666666666668,50.0
87,30,10.0,50.0,50.0,16.666666666666668,30,3.3333333333333335,50.0
90,31,50.0,10.0,50.0,3.3333333333333335,31,16.666666666666668,50.0
93,32,50.0,10.0,50.0,3.3333333333333335,32,16.666666666666668,50.0
96,33,50.0,10.0,50.0,3.3333333333333335,33,16.666666666666668,50.0
99,34,10.0,50.0,50.0,16.666666666666668,34,3.3333333333333335,50.0
102,35,-5.0,-5.0,50.0,-1.6666666666666667,35,-1.6666666666666667,50.0
105,36,10.0,50.0,50.0,16.666666666666668,36,3.3333333333333335,50.0
108,37,10.0,50.0,50.0,16.666666666666668,37,3.3333333333333335,50.0
111,38,10.0,50.0,50.0,16.666666666666668,38,3.3333333333333335,50.0
114,39,50.0,10.0,50.0,3.3333333333333335,39,16.666666666666668,50.0
117,40,50.0,10.0,50.0,3.3333333333333335,40,16.666666666666668,50.0
120,41,50.0,10.0,50.0,3.3333333333333335,41,16.666666666666668,50.0
123,42,50.0,10.0,50.0,3.3333333333333335,42,16.666666666666668,50.0
126,43,50.0,10.0,50.0,3.3333333333333335,43,16.666666666666668,50.0
129,44,10.0,50.0,50.0,16.666666666666668,44,3.3333333333333335,50.0
132,45,10.0,50.0,50.0,16.666666666666668,45,3.3333333333333335,50.0
135,46,50.0,10.0,50.0,3.3333333333333335,46,16.666666666666668,50.0
137,47,-10.0,-10.0,50.0,-5.0,47,-5.0,50.0
140,48,50.0,10.0,50.0,3.3333333333333335,48,16.666666666666668,50.0
143,49,10.0,50.0,50.0,16.666666666666668,49,3.3333333333333335,50.0
146,50,10.0,50.0,50.0,16.666666666666668,50,3.3333333333333335,50.0
148,51,50.0,10.0,50.0,5.0,51,25.0,50.0
151,52,50.0,10.0,50.0,3.3333333333333335,52,16.666666666666668,50.0
154,53,50.0,10.0,50.0,3.3333333333333335,53,16.666666666666668,50.0
157,54,50.0,10.0,50.0,3.3333333333333335,54,16.666666666666668,50.0
160,55,50.0,10.0,50.0,3.3333333333333335,55,16.666666666666668,50.0
163,56,50.0,10.0,50.0,3.3333333333333335,56,16.666666666666668,50.0
166,57,10.0,50.0,50.0,16.666666666666668,57,3.3333333333333335,50.0
169,58,10.0,50.0,50.0,16.666666666666668,58,3.3333333333333335,50.0
172,59,50.0,10.0,50.0,3.3333333333333335,59,16.666666666666668,50.0
175,60,50.0,10.0,50.0,3.3333333333333335,60,16.666666666666668,50.0
178,61,50.0,10.0,50.0,3.3333333333333335,61,16.666666666666668,50.0
181,62,10.0,50.0,50.0,16.666666666666668,62,3.3333333333333335,50.0
184,63,10.0,50.0,50.0,16.666666666666668,63,3.3333333333333335,50.0
187,64,10.0,50.0,50.0,16.666666666666668,64,3.3333333333333335,50.0
190,65,50.0,10.0,50.0,3.3333333333333335,65,16.666666666666668,50.0
192,66,-5.0,-5.0,50.0,-2.5,66,-2.5,50.0
195,67,50.0,10.0,50.0,3.3333333333333335,67,16.666666666666668,50.0
198,68,50.0,10.0,50.0,3.3333333333333335,68,16.666666666666668,50.0
200,69,-10.0,-10.0,50.0,-5.0,69,-5.0,50.0
203,70,-5.0,-5.0,50.0,-1.6666666666666667,70,-1.6666666666666667,50.0
206,71,10.0,50.0,50.0,16.666666666666668,71,3.3333333333333335,50.0
209,72,10.0,50.0,50.0,16.666666666666668,72,3.3333333333333335,50.0
212,73,50.0,10.0,50.0,3.3333333333333335,73,16.666666666666668,50.0
215,74,10.0,50.0,50.0,16.666666666666668,74,3.3333333333333335,50.0
218,75,-5.0,-5.0,50.0,-1.6666666666666667,75,-1.6666666666666667,50.0
221,76,10.0,50.0,50.0,16.666666666666668,76,3.3333333333333335,50.0
223,77,-10.0,-10.0,50.0,-5.0,77,-5.0,50.0
226,78,10.0,50.0,50.0,16.666666666666668,78,3.3333333333333335,50.0
229,79,10.0,50.0,50.0,16.666666666666668,79,3.3333333333333335,50.0
232,80,50.0,10.0,50.0,3.3333333333333335,80,16.666666666666668,50.0
235,81,50.0,10.0,50.0,3.3333333333333335,81,16.666666666666668,50.0
238,82,50.0,10.0,50.0,3.3333333333333335,82,16.666666666666668,50.0
241,83,-5.0,-5.0,50.0,-1.6666666666666667,83,-1.6666666666666667,50.0
244,84,50.0,10.0,50.0,3.3333333333333335,84,16.666666666666668,50.0
246,85,-5.0,-5.0,50.0,-2.5,85,-2.5,50.0
248,86,-5.0,-5.0,50.0,-2.5,86,-2.5,50.0
251,87,50.0,10.0,50.0,3.3333333333333335,87,16.666666666666668,50.0
254,88,50.0,10.0,50.0,3.3333333333333335,88,16.666666666666668,50.0
257,89,50.0,10.0,50.0,3.3333333333333335,89,16.666666666666668,50.0
260,90,10.0,50.0,50.0,16.666666666666668,90,3.3333333333333335,50.0
263,91,50.0,10.0,50.0,3.3333333333333335,91,16.666666666666668,50.0
266,92,50.0,10.0,50.0,3.3333333333333335,92,16.666666666666668,50.0
269,93,-5.0,-5.0,50.0,-1.6666666666666667,93,-1.6666666666666667,50.0
272,94,50.0,10.0,50.0,3.3333333333333335,94,16.666666666666668,50.0
275,95,-5.0,-5.0,50.0,-1.6666666666666667,95,-1.6666666666666667,50.0
278,96,10.0,50.0,50.0,16.666666666666668,96,3.3333333333333335,50.0
281,97,50.0,10.0,50.0,3.3333333333333335,97,16.666666666666668,50.0
284,98,50.0,10.0,50.0,3.3333333333333335,98,16.666666666666668,50.0
287,99,50.0,10.0,50.0,3.3333333333333335,99,16.666666666666668,50.0
290,100,50.0,10.0,50.0,3.3333333333333335,100,16.666666666666668,50.0
293,101,10.0,50.0,50.0,16.666666666666668,101,3.3333333333333335,50.0
296,102,50.0,10.0,50.0,3.3333333333333335,102,16.666666666666668,50.0
299,103,10.0,50.0,50.0,16.666666666666668,103,3.3333333333333335,50.0
302,104,10.0,50.0,50.0,16.666666666666668,104,3.3333333333333335,50.0
305,105,50.0,10.0,50.0,3.3333333333333335,105,16.666666666666668,50.0
308,106,50.0,10.0,50.0,3.3333333333333335,106,16.666666666666668,50.0
311,107,-5.0,-5.0,50.0,-1.6666666666666667,107,-1.6666666666666667,50.0
