episode_reward,max-path-return_agent_0,episodes,mean-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_1,last-path-return_agent_0,total-samples,mean-path-return_agent_0
1,50.0,1,3.3333333333333335,10.0,10.0,50.0,3,16.666666666666668
2,50.0,2,3.3333333333333335,10.0,10.0,50.0,6,16.666666666666668
3,50.0,3,3.3333333333333335,10.0,10.0,50.0,9,16.666666666666668
4,50.0,4,16.666666666666668,50.0,50.0,10.0,12,3.3333333333333335
5,50.0,5,-1.6666666666666667,-5.0,50.0,-5.0,15,-1.6666666666666667
6,50.0,6,16.666666666666668,50.0,50.0,10.0,18,3.3333333333333335
7,50.0,7,16.666666666666668,50.0,50.0,10.0,21,3.3333333333333335
8,50.0,8,-1.6666666666666667,-5.0,50.0,-5.0,24,-1.6666666666666667
9,50.0,9,16.666666666666668,50.0,50.0,10.0,27,3.3333333333333335
10,50.0,10,3.3333333333333335,10.0,50.0,50.0,30,16.666666666666668
11,50.0,11,16.666666666666668,50.0,50.0,10.0,33,3.3333333333333335
12,50.0,12,3.3333333333333335,10.0,50.0,50.0,36,16.666666666666668
13,50.0,13,-1.6666666666666667,-5.0,50.0,-5.0,39,-1.6666666666666667
14,50.0,14,16.666666666666668,50.0,50.0,10.0,42,3.3333333333333335
15,50.0,15,3.3333333333333335,10.0,50.0,50.0,45,16.666666666666668
16,50.0,16,-1.6666666666666667,-5.0,50.0,-5.0,48,-1.6666666666666667
17,50.0,17,3.3333333333333335,10.0,50.0,50.0,51,16.666666666666668
18,50.0,18,-2.5,-5.0,50.0,-5.0,53,-2.5
19,50.0,19,-5.0,-10.0,50.0,-10.0,55,-5.0
20,50.0,20,-2.5,-5.0,50.0,-5.0,57,-2.5
21,50.0,21,-5.0,-10.0,50.0,-10.0,59,-5.0
22,50.0,22,3.3333333333333335,10.0,50.0,50.0,62,16.666666666666668
23,50.0,23,-1.6666666666666667,-5.0,50.0,-5.0,65,-1.6666666666666667
24,50.0,24,-2.5,-5.0,50.0,-5.0,67,-2.5
25,50.0,25,3.3333333333333335,10.0,50.0,50.0,70,16.666666666666668
26,50.0,26,3.3333333333333335,10.0,50.0,50.0,73,16.666666666666668
27,50.0,27,3.3333333333333335,10.0,50.0,50.0,76,16.666666666666668
28,50.0,28,-5.0,-10.0,50.0,-10.0,78,-5.0
29,50.0,29,3.3333333333333335,10.0,50.0,50.0,81,16.666666666666668
30,50.0,30,25.0,50.0,50.0,10.0,83,5.0
31,50.0,31,3.3333333333333335,10.0,50.0,50.0,86,16.666666666666668
32,50.0,32,3.3333333333333335,10.0,50.0,50.0,89,16.666666666666668
33,50.0,33,-1.6666666666666667,-5.0,50.0,-5.0,92,-1.6666666666666667
34,50.0,34,-1.6666666666666667,-5.0,50.0,-5.0,95,-1.6666666666666667
35,50.0,35,16.666666666666668,50.0,50.0,10.0,98,3.3333333333333335
36,50.0,36,16.666666666666668,50.0,50.0,10.0,101,3.3333333333333335
37,50.0,37,3.3333333333333335,10.0,50.0,50.0,104,16.666666666666668
38,50.0,38,3.3333333333333335,10.0,50.0,50.0,107,16.666666666666668
