mean-path-return_agent_1,episodes,last-path-return_agent_0,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,total-samples,episode_reward,max-path-return_agent_1
16.666666666666668,1,10.0,10.0,3.3333333333333335,50.0,3,1,50.0
-1.6666666666666667,2,-5.0,10.0,-1.6666666666666667,-5.0,6,2,50.0
25.0,3,10.0,10.0,5.0,50.0,8,3,50.0
5.0,4,50.0,50.0,25.0,10.0,10,4,50.0
5.0,5,50.0,50.0,25.0,10.0,12,5,50.0
-2.5,6,-5.0,50.0,-2.5,-5.0,14,6,50.0
3.3333333333333335,7,50.0,50.0,16.666666666666668,10.0,17,7,50.0
-5.0,8,-10.0,50.0,-5.0,-10.0,19,8,50.0
3.3333333333333335,9,50.0,50.0,16.666666666666668,10.0,22,9,50.0
3.3333333333333335,10,50.0,50.0,16.666666666666668,10.0,25,10,50.0
