episodes,max-path-return_agent_0,episode_reward,total-samples,mean-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1
1,-10.0,1,2,-5.0,-10.0,-5.0,-10.0,-10.0
2,50.0,2,5,3.3333333333333335,50.0,16.666666666666668,10.0,10.0
3,50.0,3,8,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
4,50.0,4,10,-5.0,-10.0,-5.0,-10.0,50.0
5,50.0,5,13,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
6,50.0,6,16,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
7,50.0,7,19,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
8,50.0,8,22,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
9,50.0,9,25,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
10,50.0,10,28,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
11,50.0,11,31,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
12,50.0,12,34,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
13,50.0,13,37,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
14,50.0,14,40,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
15,50.0,15,43,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
16,50.0,16,46,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
17,50.0,17,48,5.0,50.0,25.0,10.0,50.0
18,50.0,18,51,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
19,50.0,19,54,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
20,50.0,20,57,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
21,50.0,21,60,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
22,50.0,22,62,5.0,50.0,25.0,10.0,50.0
23,50.0,23,65,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
24,50.0,24,68,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
25,50.0,25,71,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
26,50.0,26,73,-2.5,-5.0,-2.5,-5.0,50.0
27,50.0,27,75,5.0,50.0,25.0,10.0,50.0
28,50.0,28,78,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
29,50.0,29,81,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
30,50.0,30,83,5.0,50.0,25.0,10.0,50.0
31,50.0,31,86,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
32,50.0,32,89,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
33,50.0,33,92,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
34,50.0,34,95,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
35,50.0,35,98,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
36,50.0,36,101,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
37,50.0,37,104,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
38,50.0,38,107,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
39,50.0,39,110,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
40,50.0,40,113,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
41,50.0,41,116,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
42,50.0,42,119,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
43,50.0,43,121,5.0,50.0,25.0,10.0,50.0
44,50.0,44,123,-2.5,-5.0,-2.5,-5.0,50.0
45,50.0,45,126,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
46,50.0,46,129,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
47,50.0,47,131,5.0,50.0,25.0,10.0,50.0
48,50.0,48,134,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
49,50.0,49,137,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
50,50.0,50,140,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
51,50.0,51,143,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
52,50.0,52,146,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
53,50.0,53,149,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
54,50.0,54,152,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
55,50.0,55,155,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
56,50.0,56,158,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
57,50.0,57,161,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
58,50.0,58,164,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
59,50.0,59,167,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
60,50.0,60,169,25.0,10.0,5.0,50.0,50.0
61,50.0,61,172,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
62,50.0,62,174,-2.5,-5.0,-2.5,-5.0,50.0
63,50.0,63,177,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
64,50.0,64,180,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
65,50.0,65,183,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
66,50.0,66,186,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
67,50.0,67,188,25.0,10.0,5.0,50.0,50.0
68,50.0,68,191,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
69,50.0,69,194,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
70,50.0,70,197,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
71,50.0,71,200,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
72,50.0,72,203,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
73,50.0,73,206,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
74,50.0,74,209,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
75,50.0,75,212,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
76,50.0,76,215,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
77,50.0,77,218,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
78,50.0,78,221,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
79,50.0,79,223,25.0,10.0,5.0,50.0,50.0
80,50.0,80,226,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
81,50.0,81,228,-5.0,-10.0,-5.0,-10.0,50.0
82,50.0,82,231,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
83,50.0,83,233,-5.0,-10.0,-5.0,-10.0,50.0
84,50.0,84,236,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
85,50.0,85,239,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
86,50.0,86,242,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
87,50.0,87,245,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
88,50.0,88,248,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
89,50.0,89,251,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0,50.0
90,50.0,90,254,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
91,50.0,91,257,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
92,50.0,92,260,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
93,50.0,93,262,-2.5,-5.0,-2.5,-5.0,50.0
94,50.0,94,265,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
95,50.0,95,268,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
96,50.0,96,271,3.3333333333333335,50.0,16.666666666666668,10.0,50.0
97,50.0,97,274,16.666666666666668,10.0,3.3333333333333335,50.0,50.0
