episodes,total-samples,last-path-return_agent_0,mean-path-return_agent_1,mean-path-return_agent_0,episode_reward,max-path-return_agent_0,max-path-return_agent_1,last-path-return_agent_1
1,3,10.0,16.666666666666668,3.3333333333333335,1,10.0,50.0,50.0
2,6,50.0,3.3333333333333335,16.666666666666668,2,50.0,50.0,10.0
3,8,50.0,5.0,25.0,3,50.0,50.0,10.0
4,11,50.0,3.3333333333333335,16.666666666666668,4,50.0,50.0,10.0
5,14,50.0,3.3333333333333335,16.666666666666668,5,50.0,50.0,10.0
6,17,50.0,3.3333333333333335,16.666666666666668,6,50.0,50.0,10.0
7,20,10.0,16.666666666666668,3.3333333333333335,7,50.0,50.0,50.0
8,23,10.0,16.666666666666668,3.3333333333333335,8,50.0,50.0,50.0
9,25,-10.0,-5.0,-5.0,9,50.0,50.0,-10.0
10,28,50.0,3.3333333333333335,16.666666666666668,10,50.0,50.0,10.0
11,31,10.0,16.666666666666668,3.3333333333333335,11,50.0,50.0,50.0
12,34,-5.0,-1.6666666666666667,-1.6666666666666667,12,50.0,50.0,-5.0
13,37,50.0,3.3333333333333335,16.666666666666668,13,50.0,50.0,10.0
14,40,10.0,16.666666666666668,3.3333333333333335,14,50.0,50.0,50.0
15,43,50.0,3.3333333333333335,16.666666666666668,15,50.0,50.0,10.0
16,45,50.0,5.0,25.0,16,50.0,50.0,10.0
17,48,-5.0,-1.6666666666666667,-1.6666666666666667,17,50.0,50.0,-5.0
18,51,50.0,3.3333333333333335,16.666666666666668,18,50.0,50.0,10.0
19,54,10.0,16.666666666666668,3.3333333333333335,19,50.0,50.0,50.0
20,57,50.0,3.3333333333333335,16.666666666666668,20,50.0,50.0,10.0
21,60,50.0,3.3333333333333335,16.666666666666668,21,50.0,50.0,10.0
22,63,-5.0,-1.6666666666666667,-1.6666666666666667,22,50.0,50.0,-5.0
23,66,-5.0,-1.6666666666666667,-1.6666666666666667,23,50.0,50.0,-5.0
24,69,50.0,3.3333333333333335,16.666666666666668,24,50.0,50.0,10.0
25,71,10.0,25.0,5.0,25,50.0,50.0,50.0
26,74,-5.0,-1.6666666666666667,-1.6666666666666667,26,50.0,50.0,-5.0
27,77,-5.0,-1.6666666666666667,-1.6666666666666667,27,50.0,50.0,-5.0
28,80,50.0,3.3333333333333335,16.666666666666668,28,50.0,50.0,10.0
29,83,50.0,3.3333333333333335,16.666666666666668,29,50.0,50.0,10.0
30,86,10.0,16.666666666666668,3.3333333333333335,30,50.0,50.0,50.0
31,89,10.0,16.666666666666668,3.3333333333333335,31,50.0,50.0,50.0
32,92,50.0,3.3333333333333335,16.666666666666668,32,50.0,50.0,10.0
33,95,50.0,3.3333333333333335,16.666666666666668,33,50.0,50.0,10.0
34,98,50.0,3.3333333333333335,16.666666666666668,34,50.0,50.0,10.0
35,101,10.0,16.666666666666668,3.3333333333333335,35,50.0,50.0,50.0
36,104,10.0,16.666666666666668,3.3333333333333335,36,50.0,50.0,50.0
37,107,10.0,16.666666666666668,3.3333333333333335,37,50.0,50.0,50.0
38,110,50.0,3.3333333333333335,16.666666666666668,38,50.0,50.0,10.0
39,113,-5.0,-1.6666666666666667,-1.6666666666666667,39,50.0,50.0,-5.0
40,116,-5.0,-1.6666666666666667,-1.6666666666666667,40,50.0,50.0,-5.0
41,118,-10.0,-5.0,-5.0,41,50.0,50.0,-10.0
42,120,-5.0,-2.5,-2.5,42,50.0,50.0,-5.0
43,123,50.0,3.3333333333333335,16.666666666666668,43,50.0,50.0,10.0
44,126,50.0,3.3333333333333335,16.666666666666668,44,50.0,50.0,10.0
45,129,-5.0,-1.6666666666666667,-1.6666666666666667,45,50.0,50.0,-5.0
46,132,50.0,3.3333333333333335,16.666666666666668,46,50.0,50.0,10.0
47,135,10.0,16.666666666666668,3.3333333333333335,47,50.0,50.0,50.0
48,137,50.0,5.0,25.0,48,50.0,50.0,10.0
49,140,-5.0,-1.6666666666666667,-1.6666666666666667,49,50.0,50.0,-5.0
50,143,10.0,16.666666666666668,3.3333333333333335,50,50.0,50.0,50.0
51,145,-10.0,-5.0,-5.0,51,50.0,50.0,-10.0
52,148,50.0,3.3333333333333335,16.666666666666668,52,50.0,50.0,10.0
53,150,50.0,5.0,25.0,53,50.0,50.0,10.0
54,153,10.0,16.666666666666668,3.3333333333333335,54,50.0,50.0,50.0
55,156,50.0,3.3333333333333335,16.666666666666668,55,50.0,50.0,10.0
56,159,10.0,16.666666666666668,3.3333333333333335,56,50.0,50.0,50.0
57,162,10.0,16.666666666666668,3.3333333333333335,57,50.0,50.0,50.0
58,165,10.0,16.666666666666668,3.3333333333333335,58,50.0,50.0,50.0
59,168,10.0,16.666666666666668,3.3333333333333335,59,50.0,50.0,50.0
60,171,10.0,16.666666666666668,3.3333333333333335,60,50.0,50.0,50.0
61,174,-5.0,-1.6666666666666667,-1.6666666666666667,61,50.0,50.0,-5.0
62,177,-5.0,-1.6666666666666667,-1.6666666666666667,62,50.0,50.0,-5.0
63,180,50.0,3.3333333333333335,16.666666666666668,63,50.0,50.0,10.0
64,182,-10.0,-5.0,-5.0,64,50.0,50.0,-10.0
65,185,-5.0,-1.6666666666666667,-1.6666666666666667,65,50.0,50.0,-5.0
66,188,10.0,16.666666666666668,3.3333333333333335,66,50.0,50.0,50.0
