episode_reward,max-path-return_agent_1,max-path-return_agent_0,episodes,total-samples,mean-path-return_agent_1,last-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_1
1,10.0,50.0,1,3,3.3333333333333335,50.0,16.666666666666668,10.0
2,50.0,50.0,2,6,16.666666666666668,10.0,3.3333333333333335,50.0
3,50.0,50.0,3,8,5.0,50.0,25.0,10.0
4,50.0,50.0,4,10,-2.5,-5.0,-2.5,-5.0
5,50.0,50.0,5,13,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
6,50.0,50.0,6,16,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
7,50.0,50.0,7,19,3.3333333333333335,50.0,16.666666666666668,10.0
8,50.0,50.0,8,22,3.3333333333333335,50.0,16.666666666666668,10.0
9,50.0,50.0,9,25,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
10,50.0,50.0,10,28,16.666666666666668,10.0,3.3333333333333335,50.0
11,50.0,50.0,11,31,3.3333333333333335,50.0,16.666666666666668,10.0
12,50.0,50.0,12,33,-2.5,-5.0,-2.5,-5.0
13,50.0,50.0,13,36,16.666666666666668,10.0,3.3333333333333335,50.0
14,50.0,50.0,14,39,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
15,50.0,50.0,15,42,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
16,50.0,50.0,16,45,3.3333333333333335,50.0,16.666666666666668,10.0
17,50.0,50.0,17,48,16.666666666666668,10.0,3.3333333333333335,50.0
18,50.0,50.0,18,51,3.3333333333333335,50.0,16.666666666666668,10.0
19,50.0,50.0,19,54,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
20,50.0,50.0,20,57,16.666666666666668,10.0,3.3333333333333335,50.0
21,50.0,50.0,21,60,3.3333333333333335,50.0,16.666666666666668,10.0
22,50.0,50.0,22,62,25.0,10.0,5.0,50.0
23,50.0,50.0,23,65,3.3333333333333335,50.0,16.666666666666668,10.0
24,50.0,50.0,24,68,16.666666666666668,10.0,3.3333333333333335,50.0
25,50.0,50.0,25,71,16.666666666666668,10.0,3.3333333333333335,50.0
26,50.0,50.0,26,73,5.0,50.0,25.0,10.0
27,50.0,50.0,27,76,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
28,50.0,50.0,28,79,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
29,50.0,50.0,29,82,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
30,50.0,50.0,30,85,3.3333333333333335,50.0,16.666666666666668,10.0
31,50.0,50.0,31,87,-2.5,-5.0,-2.5,-5.0
32,50.0,50.0,32,89,-2.5,-5.0,-2.5,-5.0
33,50.0,50.0,33,92,3.3333333333333335,50.0,16.666666666666668,10.0
34,50.0,50.0,34,94,-2.5,-5.0,-2.5,-5.0
35,50.0,50.0,35,96,-2.5,-5.0,-2.5,-5.0
36,50.0,50.0,36,99,16.666666666666668,10.0,3.3333333333333335,50.0
37,50.0,50.0,37,102,16.666666666666668,10.0,3.3333333333333335,50.0
38,50.0,50.0,38,104,5.0,50.0,25.0,10.0
39,50.0,50.0,39,107,16.666666666666668,10.0,3.3333333333333335,50.0
40,50.0,50.0,40,110,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
41,50.0,50.0,41,113,16.666666666666668,10.0,3.3333333333333335,50.0
42,50.0,50.0,42,115,-5.0,-10.0,-5.0,-10.0
43,50.0,50.0,43,118,3.3333333333333335,50.0,16.666666666666668,10.0
44,50.0,50.0,44,120,-2.5,-5.0,-2.5,-5.0
45,50.0,50.0,45,123,3.3333333333333335,50.0,16.666666666666668,10.0
46,50.0,50.0,46,125,25.0,10.0,5.0,50.0
47,50.0,50.0,47,128,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
48,50.0,50.0,48,131,3.3333333333333335,50.0,16.666666666666668,10.0
49,50.0,50.0,49,134,3.3333333333333335,50.0,16.666666666666668,10.0
50,50.0,50.0,50,136,25.0,10.0,5.0,50.0
51,50.0,50.0,51,139,16.666666666666668,10.0,3.3333333333333335,50.0
52,50.0,50.0,52,142,16.666666666666668,10.0,3.3333333333333335,50.0
53,50.0,50.0,53,145,3.3333333333333335,50.0,16.666666666666668,10.0
54,50.0,50.0,54,148,16.666666666666668,10.0,3.3333333333333335,50.0
55,50.0,50.0,55,151,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
56,50.0,50.0,56,154,16.666666666666668,10.0,3.3333333333333335,50.0
57,50.0,50.0,57,157,3.3333333333333335,50.0,16.666666666666668,10.0
58,50.0,50.0,58,160,16.666666666666668,10.0,3.3333333333333335,50.0
59,50.0,50.0,59,163,16.666666666666668,10.0,3.3333333333333335,50.0
60,50.0,50.0,60,166,16.666666666666668,10.0,3.3333333333333335,50.0
61,50.0,50.0,61,169,16.666666666666668,10.0,3.3333333333333335,50.0
62,50.0,50.0,62,172,16.666666666666668,10.0,3.3333333333333335,50.0
63,50.0,50.0,63,175,16.666666666666668,10.0,3.3333333333333335,50.0
64,50.0,50.0,64,178,16.666666666666668,10.0,3.3333333333333335,50.0
65,50.0,50.0,65,181,3.3333333333333335,50.0,16.666666666666668,10.0
66,50.0,50.0,66,184,3.3333333333333335,50.0,16.666666666666668,10.0
67,50.0,50.0,67,186,25.0,10.0,5.0,50.0
68,50.0,50.0,68,189,-1.6666666666666667,-5.0,-1.6666666666666667,-5.0
69,50.0,50.0,69,191,-2.5,-5.0,-2.5,-5.0
