episodes,mean-path-return_agent_1,episode_reward,max-path-return_agent_1,last-path-return_agent_0,total-samples,last-path-return_agent_1,max-path-return_agent_0,mean-path-return_agent_0
1,16.666666666666668,1,50.0,10.0,3,50.0,10.0,3.3333333333333335
2,-5.0,2,50.0,-10.0,5,-10.0,10.0,-5.0
3,3.3333333333333335,3,50.0,50.0,8,10.0,50.0,16.666666666666668
4,3.3333333333333335,4,50.0,50.0,11,10.0,50.0,16.666666666666668
5,16.666666666666668,5,50.0,10.0,14,50.0,50.0,3.3333333333333335
6,-1.6666666666666667,6,50.0,-5.0,17,-5.0,50.0,-1.6666666666666667
7,16.666666666666668,7,50.0,10.0,20,50.0,50.0,3.3333333333333335
8,-2.5,8,50.0,-5.0,22,-5.0,50.0,-2.5
9,16.666666666666668,9,50.0,10.0,25,50.0,50.0,3.3333333333333335
10,3.3333333333333335,10,50.0,50.0,28,10.0,50.0,16.666666666666668
11,25.0,11,50.0,10.0,30,50.0,50.0,5.0
12,16.666666666666668,12,50.0,10.0,33,50.0,50.0,3.3333333333333335
13,16.666666666666668,13,50.0,10.0,36,50.0,50.0,3.3333333333333335
14,-1.6666666666666667,14,50.0,-5.0,39,-5.0,50.0,-1.6666666666666667
15,-1.6666666666666667,15,50.0,-5.0,42,-5.0,50.0,-1.6666666666666667
16,-1.6666666666666667,16,50.0,-5.0,45,-5.0,50.0,-1.6666666666666667
17,3.3333333333333335,17,50.0,50.0,48,10.0,50.0,16.666666666666668
18,-2.5,18,50.0,-5.0,50,-5.0,50.0,-2.5
19,3.3333333333333335,19,50.0,50.0,53,10.0,50.0,16.666666666666668
20,16.666666666666668,20,50.0,10.0,56,50.0,50.0,3.3333333333333335
21,16.666666666666668,21,50.0,10.0,59,50.0,50.0,3.3333333333333335
22,-1.6666666666666667,22,50.0,-5.0,62,-5.0,50.0,-1.6666666666666667
23,16.666666666666668,23,50.0,10.0,65,50.0,50.0,3.3333333333333335
24,16.666666666666668,24,50.0,10.0,68,50.0,50.0,3.3333333333333335
