max-path-return_agent_1,episode_reward,max-path-return_agent_0,last-path-return_agent_0,mean-episode_cost_agent_0,episodes,total-samples,last-path-return_agent_1,mean-path-return_agent_0,mean-path-return_agent_1,mean-episode_cost_agent_1
10.0,1,50.0,50.0,0.0,1,3,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,2,50.0,10.0,0.0,2,6,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,3,50.0,-10.0,25.0,3,8,-10.0,-5.0,-5.0,25.0
50.0,4,50.0,-10.0,25.0,4,10,-10.0,-5.0,-5.0,25.0
50.0,5,50.0,10.0,0.0,5,13,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,6,50.0,-10.0,25.0,6,15,-10.0,-5.0,-5.0,25.0
50.0,7,50.0,50.0,0.0,7,18,10.0,16.666666666666668,3.3333333333333335,3.3333333333333335
50.0,8,50.0,10.0,3.3333333333333335,8,21,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,9,50.0,10.0,0.0,9,24,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,10,50.0,10.0,0.0,10,27,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,11,50.0,-5.0,16.666666666666668,11,30,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,12,50.0,50.0,0.0,12,33,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,13,50.0,-5.0,25.0,13,35,-5.0,-2.5,-2.5,25.0
50.0,14,50.0,10.0,0.0,14,38,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,15,50.0,-5.0,16.666666666666668,15,41,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,16,50.0,50.0,0.0,16,44,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,17,50.0,10.0,0.0,17,46,50.0,5.0,25.0,0.0
50.0,18,50.0,10.0,0.0,18,49,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,19,50.0,50.0,0.0,19,52,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,20,50.0,-10.0,25.0,20,54,-10.0,-5.0,-5.0,25.0
50.0,21,50.0,50.0,0.0,21,57,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,22,50.0,10.0,0.0,22,60,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,23,50.0,10.0,0.0,23,63,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,24,50.0,50.0,0.0,24,66,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,25,50.0,10.0,0.0,25,69,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,26,50.0,10.0,3.3333333333333335,26,72,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,27,50.0,50.0,0.0,27,75,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,28,50.0,50.0,0.0,28,78,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,29,50.0,-10.0,25.0,29,80,-10.0,-5.0,-5.0,25.0
50.0,30,50.0,50.0,0.0,30,83,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,31,50.0,-5.0,20.0,31,86,-5.0,-1.6666666666666667,-1.6666666666666667,20.0
50.0,32,50.0,-5.0,16.666666666666668,32,89,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,33,50.0,50.0,0.0,33,92,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,34,50.0,10.0,0.0,34,95,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,35,50.0,10.0,6.666666666666667,35,98,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,36,50.0,10.0,0.0,36,101,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,37,50.0,10.0,0.0,37,104,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,38,50.0,50.0,0.0,38,107,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,39,50.0,-5.0,16.666666666666668,39,110,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,40,50.0,-5.0,20.0,40,113,-5.0,-1.6666666666666667,-1.6666666666666667,20.0
50.0,41,50.0,10.0,0.0,41,116,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,42,50.0,50.0,0.0,42,119,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,43,50.0,-5.0,16.666666666666668,43,122,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,44,50.0,50.0,0.0,44,124,10.0,25.0,5.0,0.0
50.0,45,50.0,-5.0,25.0,45,126,-5.0,-2.5,-2.5,25.0
50.0,46,50.0,50.0,0.0,46,129,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,47,50.0,50.0,0.0,47,132,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,48,50.0,-10.0,25.0,48,134,-10.0,-5.0,-5.0,25.0
50.0,49,50.0,50.0,0.0,49,137,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,50,50.0,-5.0,25.0,50,139,-5.0,-2.5,-2.5,25.0
50.0,51,50.0,-5.0,25.0,51,141,-5.0,-2.5,-2.5,25.0
50.0,52,50.0,50.0,0.0,52,144,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,53,50.0,50.0,0.0,53,147,10.0,16.666666666666668,3.3333333333333335,3.3333333333333335
50.0,54,50.0,50.0,0.0,54,150,10.0,16.666666666666668,3.3333333333333335,6.666666666666667
50.0,55,50.0,-5.0,25.0,55,152,-5.0,-2.5,-2.5,25.0
50.0,56,50.0,10.0,0.0,56,155,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,57,50.0,-5.0,16.666666666666668,57,158,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,58,50.0,10.0,0.0,58,161,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,59,50.0,50.0,0.0,59,164,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,60,50.0,50.0,0.0,60,167,10.0,16.666666666666668,3.3333333333333335,3.3333333333333335
50.0,61,50.0,10.0,0.0,61,170,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,62,50.0,-5.0,25.0,62,172,-5.0,-2.5,-2.5,25.0
50.0,63,50.0,10.0,0.0,63,175,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,64,50.0,10.0,0.0,64,178,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,65,50.0,-5.0,25.0,65,180,-5.0,-2.5,-2.5,25.0
50.0,66,50.0,50.0,0.0,66,183,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,67,50.0,10.0,0.0,67,186,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,68,50.0,10.0,0.0,68,189,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,69,50.0,10.0,0.0,69,192,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,70,50.0,10.0,0.0,70,195,50.0,3.3333333333333335,16.666666666666668,0.0
50.0,71,50.0,-5.0,16.666666666666668,71,198,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,72,50.0,10.0,0.0,72,200,50.0,5.0,25.0,0.0
50.0,73,50.0,50.0,0.0,73,202,10.0,25.0,5.0,0.0
50.0,74,50.0,50.0,0.0,74,205,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,75,50.0,-5.0,16.666666666666668,75,208,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,76,50.0,50.0,0.0,76,211,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,77,50.0,50.0,0.0,77,214,10.0,16.666666666666668,3.3333333333333335,3.3333333333333335
50.0,78,50.0,50.0,0.0,78,217,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,79,50.0,50.0,0.0,79,220,10.0,16.666666666666668,3.3333333333333335,3.3333333333333335
50.0,80,50.0,-5.0,16.666666666666668,80,223,-5.0,-1.6666666666666667,-1.6666666666666667,16.666666666666668
50.0,81,50.0,50.0,0.0,81,226,10.0,16.666666666666668,3.3333333333333335,0.0
50.0,82,50.0,10.0,0.0,82,229,50.0,3.3333333333333335,16.666666666666668,0.0
