episodes,last-path-return_agent_0,mean-path-return_agent_0,mean-path-return_agent_1,max-path-return_agent_1,mean-episode_cost_agent_1,max-path-return_agent_0,episode_reward,last-path-return_agent_1,mean-episode_cost_agent_0,total-samples
1,-5.0,-1.6666666666666667,-1.6666666666666667,-5.0,16.666666666666668,-5.0,1,-5.0,16.666666666666668,3
2,50.0,16.666666666666668,3.3333333333333335,10.0,3.3333333333333335,50.0,2,10.0,0.0,6
3,-5.0,-1.6666666666666667,-1.6666666666666667,10.0,16.666666666666668,50.0,3,-5.0,16.666666666666668,9
4,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,4,50.0,0.0,12
5,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,5,50.0,0.0,15
6,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,23.333333333333332,50.0,6,-5.0,23.333333333333332,18
7,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,7,50.0,0.0,21
8,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,8,10.0,0.0,24
9,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,9,10.0,0.0,27
10,-10.0,-5.0,-5.0,50.0,25.0,50.0,10,-10.0,25.0,29
11,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,11,50.0,0.0,32
12,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,12,10.0,0.0,35
13,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,13,50.0,0.0,38
14,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,14,10.0,0.0,41
15,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,15,-5.0,16.666666666666668,44
16,-5.0,-2.5,-2.5,50.0,25.0,50.0,16,-5.0,25.0,46
17,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,17,-5.0,16.666666666666668,49
18,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,18,10.0,0.0,52
19,50.0,25.0,5.0,50.0,0.0,50.0,19,10.0,0.0,54
20,10.0,5.0,25.0,50.0,0.0,50.0,20,50.0,0.0,56
21,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,21,10.0,0.0,59
22,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,22,10.0,0.0,62
23,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,23,50.0,0.0,65
24,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,24,-5.0,16.666666666666668,68
25,-10.0,-5.0,-5.0,50.0,25.0,50.0,25,-10.0,25.0,70
26,-10.0,-5.0,-5.0,50.0,25.0,50.0,26,-10.0,25.0,72
27,50.0,25.0,5.0,50.0,0.0,50.0,27,10.0,0.0,74
28,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,28,50.0,0.0,77
29,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,29,50.0,0.0,80
30,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,30,50.0,3.3333333333333335,83
31,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,31,-5.0,16.666666666666668,86
32,-10.0,-5.0,-5.0,50.0,25.0,50.0,32,-10.0,25.0,88
33,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,33,10.0,0.0,91
34,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,34,50.0,0.0,94
35,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,35,50.0,0.0,97
36,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,36,-5.0,16.666666666666668,100
37,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,37,10.0,0.0,103
38,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,38,-5.0,16.666666666666668,106
39,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,39,-5.0,16.666666666666668,109
40,50.0,16.666666666666668,3.3333333333333335,50.0,6.666666666666667,50.0,40,10.0,0.0,112
41,50.0,16.666666666666668,3.3333333333333335,50.0,3.3333333333333335,50.0,41,10.0,0.0,115
42,50.0,16.666666666666668,3.3333333333333335,50.0,3.3333333333333335,50.0,42,10.0,0.0,118
43,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,43,-5.0,16.666666666666668,121
44,50.0,16.666666666666668,3.3333333333333335,50.0,0.0,50.0,44,10.0,0.0,124
45,50.0,16.666666666666668,3.3333333333333335,50.0,6.666666666666667,50.0,45,10.0,3.3333333333333335,127
46,10.0,3.3333333333333335,16.666666666666668,50.0,0.0,50.0,46,50.0,0.0,130
47,-5.0,-1.6666666666666667,-1.6666666666666667,50.0,16.666666666666668,50.0,47,-5.0,16.666666666666668,133
48,-5.0,-2.5,-2.5,50.0,25.0,50.0,48,-5.0,25.0,135
