mean-episode_cost_agent_1,max-path-return_agent_0,mean-episode_cost_agent_0,max-path-return_agent_1,mean-path-return_agent_1,total-samples,episodes,last-path-return_agent_0,last-path-return_agent_1,episode_reward,mean-path-return_agent_0
0.0,50.0,0.0,10.0,3.3333333333333335,3,1,50.0,10.0,1,16.666666666666668
0.0,50.0,6.666666666666667,50.0,16.666666666666668,6,2,10.0,50.0,2,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,9,3,10.0,50.0,3,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,12,4,-5.0,-5.0,4,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,15,5,10.0,50.0,5,3.3333333333333335
7.5,50.0,0.0,50.0,2.5,19,6,50.0,10.0,6,12.5
25.0,50.0,25.0,50.0,-2.5,21,7,-5.0,-5.0,7,-2.5
0.0,50.0,6.666666666666667,50.0,16.666666666666668,24,8,10.0,50.0,8,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,27,9,10.0,50.0,9,3.3333333333333335
20.0,50.0,20.0,50.0,-1.6666666666666667,30,10,-5.0,-5.0,10,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,33,11,10.0,50.0,11,3.3333333333333335
0.0,50.0,6.666666666666667,50.0,16.666666666666668,36,12,10.0,50.0,12,3.3333333333333335
25.0,50.0,25.0,50.0,-5.0,38,13,-10.0,-10.0,13,-5.0
0.0,50.0,0.0,50.0,16.666666666666668,41,14,10.0,50.0,14,3.3333333333333335
0.0,50.0,3.3333333333333335,50.0,16.666666666666668,44,15,10.0,50.0,15,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,47,16,-5.0,-5.0,16,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,50,17,10.0,50.0,17,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,53,18,50.0,10.0,18,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,56,19,10.0,50.0,19,3.3333333333333335
0.0,50.0,0.0,50.0,5.0,58,20,50.0,10.0,20,25.0
0.0,50.0,0.0,50.0,3.3333333333333335,61,21,50.0,10.0,21,16.666666666666668
0.0,50.0,3.3333333333333335,50.0,16.666666666666668,64,22,10.0,50.0,22,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,67,23,10.0,50.0,23,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,70,24,-5.0,-5.0,24,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,73,25,10.0,50.0,25,3.3333333333333335
0.0,50.0,0.0,50.0,5.0,75,26,50.0,10.0,26,25.0
25.0,50.0,25.0,50.0,-5.0,77,27,-10.0,-10.0,27,-5.0
0.0,50.0,3.3333333333333335,50.0,16.666666666666668,80,28,10.0,50.0,28,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,83,29,10.0,50.0,29,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,86,30,10.0,50.0,30,3.3333333333333335
3.3333333333333335,50.0,0.0,50.0,3.3333333333333335,89,31,50.0,10.0,31,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,92,32,-5.0,-5.0,32,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,95,33,-5.0,-5.0,33,-1.6666666666666667
25.0,50.0,25.0,50.0,-5.0,97,34,-10.0,-10.0,34,-5.0
0.0,50.0,0.0,50.0,16.666666666666668,100,35,10.0,50.0,35,3.3333333333333335
25.0,50.0,25.0,50.0,-5.0,102,36,-10.0,-10.0,36,-5.0
0.0,50.0,0.0,50.0,16.666666666666668,105,37,10.0,50.0,37,3.3333333333333335
25.0,50.0,25.0,50.0,-5.0,107,38,-10.0,-10.0,38,-5.0
0.0,50.0,0.0,50.0,5.0,109,39,50.0,10.0,39,25.0
0.0,50.0,0.0,50.0,25.0,111,40,10.0,50.0,40,5.0
0.0,50.0,0.0,50.0,3.3333333333333335,114,41,50.0,10.0,41,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,117,42,10.0,50.0,42,3.3333333333333335
25.0,50.0,25.0,50.0,-5.0,119,43,-10.0,-10.0,43,-5.0
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,122,44,-5.0,-5.0,44,-1.6666666666666667
25.0,50.0,25.0,50.0,-2.5,124,45,-5.0,-5.0,45,-2.5
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,127,46,-5.0,-5.0,46,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,130,47,-5.0,-5.0,47,-1.6666666666666667
0.0,50.0,0.0,50.0,25.0,132,48,10.0,50.0,48,5.0
0.0,50.0,0.0,50.0,3.3333333333333335,135,49,50.0,10.0,49,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,138,50,10.0,50.0,50,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,141,51,10.0,50.0,51,3.3333333333333335
25.0,50.0,25.0,50.0,-2.5,143,52,-5.0,-5.0,52,-2.5
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,146,53,-5.0,-5.0,53,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,149,54,10.0,50.0,54,3.3333333333333335
0.0,50.0,3.3333333333333335,50.0,3.3333333333333335,152,55,50.0,10.0,55,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,155,56,50.0,10.0,56,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,158,57,10.0,50.0,57,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,161,58,10.0,50.0,58,3.3333333333333335
0.0,50.0,0.0,50.0,25.0,163,59,10.0,50.0,59,5.0
0.0,50.0,6.666666666666667,50.0,16.666666666666668,166,60,10.0,50.0,60,3.3333333333333335
25.0,50.0,25.0,50.0,-5.0,168,61,-10.0,-10.0,61,-5.0
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,171,62,-5.0,-5.0,62,-1.6666666666666667
25.0,50.0,25.0,50.0,-5.0,173,63,-10.0,-10.0,63,-5.0
0.0,50.0,0.0,50.0,16.666666666666668,176,64,10.0,50.0,64,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,179,65,-5.0,-5.0,65,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,182,66,10.0,50.0,66,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,185,67,-5.0,-5.0,67,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,188,68,-5.0,-5.0,68,-1.6666666666666667
0.0,50.0,0.0,50.0,3.3333333333333335,191,69,50.0,10.0,69,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,194,70,50.0,10.0,70,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,197,71,10.0,50.0,71,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,200,72,10.0,50.0,72,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,203,73,50.0,10.0,73,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,206,74,50.0,10.0,74,16.666666666666668
3.3333333333333335,50.0,0.0,50.0,3.3333333333333335,209,75,50.0,10.0,75,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,212,76,-5.0,-5.0,76,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,215,77,10.0,50.0,77,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,218,78,-5.0,-5.0,78,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,221,79,10.0,50.0,79,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,224,80,50.0,10.0,80,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,227,81,50.0,10.0,81,16.666666666666668
25.0,50.0,25.0,50.0,-5.0,229,82,-10.0,-10.0,82,-5.0
0.0,50.0,0.0,50.0,3.3333333333333335,232,83,50.0,10.0,83,16.666666666666668
0.0,50.0,0.0,50.0,3.3333333333333335,235,84,50.0,10.0,84,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,238,85,10.0,50.0,85,3.3333333333333335
0.0,50.0,0.0,50.0,16.666666666666668,241,86,10.0,50.0,86,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,244,87,-5.0,-5.0,87,-1.6666666666666667
7.5,50.0,5.0,50.0,2.5,248,88,50.0,10.0,88,12.5
0.0,50.0,0.0,50.0,3.3333333333333335,251,89,50.0,10.0,89,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,254,90,-5.0,-5.0,90,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,257,91,10.0,50.0,91,3.3333333333333335
0.0,50.0,0.0,50.0,25.0,259,92,10.0,50.0,92,5.0
3.3333333333333335,50.0,0.0,50.0,3.3333333333333335,262,93,50.0,10.0,93,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,265,94,-5.0,-5.0,94,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,268,95,-5.0,-5.0,95,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,271,96,-5.0,-5.0,96,-1.6666666666666667
0.0,50.0,0.0,50.0,3.3333333333333335,274,97,50.0,10.0,97,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,277,98,10.0,50.0,98,3.3333333333333335
0.0,50.0,6.666666666666667,50.0,16.666666666666668,280,99,10.0,50.0,99,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,283,100,-5.0,-5.0,100,-1.6666666666666667
0.0,50.0,0.0,50.0,3.3333333333333335,286,101,50.0,10.0,101,16.666666666666668
