episodes,max-path-return_agent_0,mean-path-return_agent_0,last-path-return_agent_0,last-path-return_agent_1,mean-path-return_agent_1,mean-episode_cost_agent_1,episode_reward,max-path-return_agent_1,total-samples,mean-episode_cost_agent_0
1,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,1,10.0,3,0.0
2,50.0,-2.5,-5.0,-5.0,-2.5,25.0,2,10.0,5,25.0
3,50.0,-5.0,-10.0,-10.0,-5.0,25.0,3,10.0,7,25.0
4,50.0,25.0,50.0,10.0,5.0,0.0,4,10.0,9,0.0
5,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,5,10.0,12,0.0
6,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,6,10.0,15,0.0
7,50.0,5.0,10.0,50.0,25.0,0.0,7,50.0,17,0.0
8,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,8,50.0,20,0.0
9,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,16.666666666666668,9,50.0,23,16.666666666666668
10,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,10,50.0,26,0.0
11,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,6.666666666666667,11,50.0,29,0.0
12,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,6.666666666666667,12,50.0,32,0.0
13,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,16.666666666666668,13,50.0,35,16.666666666666668
14,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,14,50.0,38,0.0
15,50.0,5.0,10.0,50.0,25.0,0.0,15,50.0,40,0.0
16,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,16.666666666666668,16,50.0,43,16.666666666666668
17,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,16.666666666666668,17,50.0,46,16.666666666666668
18,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,16.666666666666668,18,50.0,49,16.666666666666668
19,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,19,50.0,52,0.0
20,50.0,5.0,10.0,50.0,25.0,0.0,20,50.0,54,5.0
21,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,21,50.0,57,0.0
22,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,22,50.0,60,0.0
23,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,23,50.0,63,0.0
24,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,24,50.0,66,0.0
25,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,25,50.0,69,0.0
26,50.0,25.0,50.0,10.0,5.0,0.0,26,50.0,71,0.0
27,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,27,50.0,74,0.0
28,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,28,50.0,77,0.0
29,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,29,50.0,80,0.0
30,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,30,50.0,83,0.0
31,50.0,-2.5,-5.0,-5.0,-2.5,25.0,31,50.0,85,25.0
32,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,32,50.0,88,0.0
33,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,33,50.0,91,3.3333333333333335
34,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,34,50.0,94,0.0
35,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,35,50.0,97,0.0
36,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,36,50.0,100,0.0
37,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,20.0,37,50.0,103,20.0
38,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,6.666666666666667,38,50.0,106,0.0
39,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,39,50.0,109,0.0
40,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,40,50.0,112,3.3333333333333335
41,50.0,-5.0,-10.0,-10.0,-5.0,25.0,41,50.0,114,25.0
42,50.0,5.0,10.0,50.0,25.0,0.0,42,50.0,116,0.0
43,50.0,3.3333333333333335,10.0,50.0,16.666666666666668,0.0,43,50.0,119,0.0
44,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,16.666666666666668,44,50.0,122,16.666666666666668
45,50.0,-5.0,-10.0,-10.0,-5.0,25.0,45,50.0,124,25.0
46,50.0,-5.0,-10.0,-10.0,-5.0,25.0,46,50.0,126,25.0
47,50.0,-1.6666666666666667,-5.0,-5.0,-1.6666666666666667,16.666666666666668,47,50.0,129,16.666666666666668
48,50.0,16.666666666666668,50.0,10.0,3.3333333333333335,0.0,48,50.0,132,0.0
