episodes,max-path-return_agent_0,max-path-return_agent_1,last-path-return_agent_0,mean-episode_cost_agent_0,total-samples,last-path-return_agent_1,episode_reward,mean-path-return_agent_0,mean-episode_cost_agent_1,mean-path-return_agent_1
1,10.0,50.0,10.0,3.3333333333333335,3,50.0,1,3.3333333333333335,0.0,16.666666666666668
2,50.0,50.0,50.0,0.0,6,10.0,2,16.666666666666668,0.0,3.3333333333333335
3,50.0,50.0,10.0,0.0,9,50.0,3,3.3333333333333335,0.0,16.666666666666668
4,50.0,50.0,50.0,0.0,12,10.0,4,16.666666666666668,0.0,3.3333333333333335
5,50.0,50.0,50.0,0.0,15,10.0,5,16.666666666666668,0.0,3.3333333333333335
6,50.0,50.0,10.0,0.0,18,50.0,6,3.3333333333333335,0.0,16.666666666666668
7,50.0,50.0,10.0,0.0,21,50.0,7,3.3333333333333335,0.0,16.666666666666668
8,50.0,50.0,50.0,0.0,23,10.0,8,25.0,0.0,5.0
9,50.0,50.0,10.0,0.0,26,50.0,9,3.3333333333333335,0.0,16.666666666666668
10,50.0,50.0,10.0,0.0,29,50.0,10,3.3333333333333335,0.0,16.666666666666668
11,50.0,50.0,-5.0,20.0,32,-5.0,11,-1.6666666666666667,20.0,-1.6666666666666667
12,50.0,50.0,50.0,0.0,35,10.0,12,16.666666666666668,0.0,3.3333333333333335
13,50.0,50.0,10.0,0.0,38,50.0,13,3.3333333333333335,0.0,16.666666666666668
14,50.0,50.0,-5.0,16.666666666666668,41,-5.0,14,-1.6666666666666667,16.666666666666668,-1.6666666666666667
15,50.0,50.0,10.0,0.0,44,50.0,15,3.3333333333333335,0.0,16.666666666666668
16,50.0,50.0,10.0,0.0,47,50.0,16,3.3333333333333335,0.0,16.666666666666668
17,50.0,50.0,10.0,0.0,50,50.0,17,3.3333333333333335,0.0,16.666666666666668
18,50.0,50.0,50.0,0.0,53,10.0,18,16.666666666666668,0.0,3.3333333333333335
19,50.0,50.0,10.0,0.0,56,50.0,19,3.3333333333333335,0.0,16.666666666666668
20,50.0,50.0,50.0,0.0,59,10.0,20,16.666666666666668,0.0,3.3333333333333335
21,50.0,50.0,10.0,6.666666666666667,62,50.0,21,3.3333333333333335,0.0,16.666666666666668
22,50.0,50.0,-5.0,16.666666666666668,65,-5.0,22,-1.6666666666666667,16.666666666666668,-1.6666666666666667
23,50.0,50.0,10.0,0.0,67,50.0,23,5.0,0.0,25.0
24,50.0,50.0,10.0,0.0,70,50.0,24,3.3333333333333335,0.0,16.666666666666668
25,50.0,50.0,50.0,0.0,73,10.0,25,16.666666666666668,0.0,3.3333333333333335
26,50.0,50.0,-5.0,16.666666666666668,76,-5.0,26,-1.6666666666666667,16.666666666666668,-1.6666666666666667
27,50.0,50.0,-5.0,16.666666666666668,79,-5.0,27,-1.6666666666666667,16.666666666666668,-1.6666666666666667
28,50.0,50.0,-5.0,16.666666666666668,82,-5.0,28,-1.6666666666666667,16.666666666666668,-1.6666666666666667
29,50.0,50.0,10.0,0.0,85,50.0,29,3.3333333333333335,0.0,16.666666666666668
30,50.0,50.0,50.0,0.0,88,10.0,30,16.666666666666668,0.0,3.3333333333333335
31,50.0,50.0,10.0,0.0,91,50.0,31,3.3333333333333335,3.3333333333333335,16.666666666666668
32,50.0,50.0,50.0,0.0,94,10.0,32,16.666666666666668,0.0,3.3333333333333335
33,50.0,50.0,50.0,0.0,97,10.0,33,16.666666666666668,0.0,3.3333333333333335
