episodes,episode_reward,last-path-return_agent_0,total-samples,mean-path-return_agent_1,max-path-return_agent_1,mean-episode_cost_agent_1,mean-episode_cost_agent_0,mean-path-return_agent_0,max-path-return_agent_0,last-path-return_agent_1
1,1,-5.0,3,-1.6666666666666667,-5.0,16.666666666666668,16.666666666666668,-1.6666666666666667,-5.0,-5.0
2,2,-5.0,6,-1.6666666666666667,-5.0,16.666666666666668,16.666666666666668,-1.6666666666666667,-5.0,-5.0
3,3,10.0,9,16.666666666666668,50.0,0.0,0.0,3.3333333333333335,10.0,50.0
4,4,50.0,12,3.3333333333333335,50.0,0.0,0.0,16.666666666666668,50.0,10.0
5,5,-5.0,15,-1.6666666666666667,50.0,20.0,20.0,-1.6666666666666667,50.0,-5.0
6,6,10.0,17,25.0,50.0,0.0,0.0,5.0,50.0,50.0
7,7,-5.0,20,-1.6666666666666667,50.0,16.666666666666668,16.666666666666668,-1.6666666666666667,50.0,-5.0
8,8,10.0,23,16.666666666666668,50.0,0.0,0.0,3.3333333333333335,50.0,50.0
9,9,10.0,26,16.666666666666668,50.0,0.0,0.0,3.3333333333333335,50.0,50.0
10,10,-10.0,28,-5.0,50.0,25.0,25.0,-5.0,50.0,-10.0
11,11,10.0,30,25.0,50.0,0.0,0.0,5.0,50.0,50.0
12,12,10.0,33,16.666666666666668,50.0,0.0,0.0,3.3333333333333335,50.0,50.0
13,13,50.0,36,3.3333333333333335,50.0,0.0,0.0,16.666666666666668,50.0,10.0
14,14,-5.0,39,-1.6666666666666667,50.0,16.666666666666668,16.666666666666668,-1.6666666666666667,50.0,-5.0
15,15,10.0,42,16.666666666666668,50.0,0.0,0.0,3.3333333333333335,50.0,50.0
16,16,50.0,45,3.3333333333333335,50.0,0.0,0.0,16.666666666666668,50.0,10.0
17,17,-5.0,48,-1.6666666666666667,50.0,16.666666666666668,16.666666666666668,-1.6666666666666667,50.0,-5.0
18,18,10.0,51,16.666666666666668,50.0,0.0,0.0,3.3333333333333335,50.0,50.0
19,19,10.0,53,25.0,50.0,0.0,0.0,5.0,50.0,50.0
